Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,2,0,0
3/23/20,2,0,0
3/24/20,2,0,0
3/25/20,2,0,0
3/26/20,3,0,0
3/27/20,3,0,0
3/28/20,5,0,0
3/29/20,5,0,2
3/30/20,5,1,2
3/31/20,6,1,2
4/1/20,6,1,2
4/2/20,6,1,2
4/3/20,6,1,2
4/4/20,6,1,2
4/5/20,6,1,2
4/6/20,6,1,2
4/7/20,6,1,2
4/8/20,6,1,2
4/9/20,7,1,2
4/10/20,7,1,2
4/11/20,7,1,2
4/12/20,7,1,2
4/13/20,7,1,2
4/14/20,7,1,2
4/15/20,7,1,2
4/16/20,7,1,2
4/17/20,7,1,2
4/18/20,7,1,2
4/19/20,7,1,6
4/20/20,7,1,6
4/21/20,7,1,6
4/22/20,7,1,6
4/23/20,7,1,6
4/24/20,7,1,6
4/25/20,7,1,6
4/26/20,7,1,6
4/27/20,7,1,6
4/28/20,7,1,6
4/29/20,8,1,6
4/30/20,8,1,6
5/1/20,8,1,6
5/2/20,8,1,6
5/3/20,8,1,6
5/4/20,8,1,6
5/5/20,8,1,6
5/6/20,8,1,6
5/7/20,8,1,6
5/8/20,8,1,6
5/9/20,8,1,6
5/10/20,8,1,6
5/11/20,8,1,6
5/12/20,9,1,6
5/13/20,15,2,6
5/14/20,20,2,7
5/15/20,29,3,7
5/16/20,40,4,7
5/17/20,62,4,7
5/18/20,81,4,7
5/19/20,131,4,7
5/20/20,141,4,7
5/21/20,173,5,7
5/22/20,200,6,7
5/23/20,227,6,7
5/24/20,237,6,15
5/25/20,262,9,15
5/26/20,268,13,15
5/27/20,292,16,15
5/28/20,346,19,15
5/29/20,423,20,21
5/30/20,483,20,21
5/31/20,530,23,27
6/1/20,588,23,27
6/2/20,668,31,55
6/3/20,745,34,57
6/4/20,784,39,65
6/5/20,883,43,69
6/6/20,947,49,104
6/7/20,1049,55,108
6/8/20,1104,59,119
6/9/20,1162,61,139
6/10/20,1283,71,142
6/11/20,1439,74,250
6/12/20,1572,81,278
6/13/20,1682,83,311
6/14/20,1783,87,332
6/15/20,1887,91,360
6/16/20,2057,93,373
6/17/20,2223,95,427
