Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,3,0,0
3/19/20,3,0,0
3/20/20,12,0,0
3/21/20,14,1,0
3/22/20,28,2,0
3/23/20,36,2,0
3/24/20,42,2,0
3/25/20,48,2,0
3/26/20,81,2,0
3/27/20,94,2,0
3/28/20,102,2,0
3/29/20,107,3,0
3/30/20,128,3,0
3/31/20,143,5,0
4/1/20,161,6,0
4/2/20,169,7,0
4/3/20,186,7,0
4/4/20,196,7,7
4/5/20,227,7,7
4/6/20,244,7,7
4/7/20,268,7,8
4/8/20,273,7,19
4/9/20,314,7,23
4/10/20,318,9,23
4/11/20,319,9,28
4/12/20,324,9,42
4/13/20,324,9,42
4/14/20,324,9,51
4/15/20,324,9,65
4/16/20,324,9,81
4/17/20,324,9,108
4/18/20,325,9,180
4/19/20,328,9,208
4/20/20,328,9,224
4/21/20,328,9,243
4/22/20,329,9,261
4/23/20,331,9,266
4/24/20,331,9,285
4/25/20,331,9,295
4/26/20,332,9,299
4/27/20,334,10,302
4/28/20,334,10,303
4/29/20,332,10,306
4/30/20,332,10,310
5/1/20,332,10,312
5/2/20,332,10,314
5/3/20,332,10,315
5/4/20,332,10,316
5/5/20,332,10,319
5/6/20,332,10,320
5/7/20,332,10,320
5/8/20,332,10,320
5/9/20,332,10,320
5/10/20,332,10,320
5/11/20,332,10,322
5/12/20,332,10,322
5/13/20,332,10,322
5/14/20,332,10,322
5/15/20,332,10,322
5/16/20,332,10,322
5/17/20,332,10,322
5/18/20,332,10,322
5/19/20,332,10,322
5/20/20,332,10,322
5/21/20,332,10,322
5/22/20,332,10,322
5/23/20,332,10,322
5/24/20,334,10,322
5/25/20,334,10,322
5/26/20,334,10,322
5/27/20,334,10,322
5/28/20,334,10,322
5/29/20,335,10,322
5/30/20,335,10,322
5/31/20,335,10,322
6/1/20,335,10,322
6/2/20,335,10,322
6/3/20,335,10,322
6/4/20,335,10,322
6/5/20,337,10,324
6/6/20,337,10,324
6/7/20,337,10,324
6/8/20,337,10,324
6/9/20,337,10,324
6/10/20,337,10,325
6/11/20,337,10,325
6/12/20,337,10,325
6/13/20,337,10,325
6/14/20,337,10,325
6/15/20,337,10,325
6/16/20,337,10,325
6/17/20,337,10,325
