Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,4,0,0
3/1/20,5,0,0
3/2/20,5,0,0
3/3/20,5,0,1
3/4/20,5,0,1
3/5/20,5,0,1
3/6/20,6,0,1
3/7/20,6,0,1
3/8/20,7,0,1
3/9/20,7,0,1
3/10/20,7,0,4
3/11/20,8,0,4
3/12/20,12,0,4
3/13/20,26,0,4
3/14/20,41,0,4
3/15/20,53,0,4
3/16/20,82,0,4
3/17/20,93,0,4
3/18/20,118,0,4
3/19/20,164,1,4
3/20/20,203,2,4
3/21/20,251,2,4
3/22/20,316,3,4
3/23/20,367,4,4
3/24/20,405,5,4
3/25/20,475,6,4
3/26/20,585,8,4
3/27/20,717,12,4
3/28/20,848,16,4
3/29/20,993,20,4
3/30/20,1094,28,35
3/31/20,1215,29,35
4/1/20,1378,37,35
4/2/20,1510,50,35
4/3/20,1688,60,633
4/4/20,1890,79,633
4/5/20,2143,94,633
4/6/20,2439,125,633
4/7/20,2785,141,633
4/8/20,3181,174,633
4/9/20,3441,194,633
4/10/20,3844,233,633
4/11/20,4219,273,633
4/12/20,4661,296,1772
4/13/20,5014,332,1843
4/14/20,5399,406,1964
4/15/20,5847,449,2125
4/16/20,6297,486,2125
4/17/20,6875,546,2125
4/18/20,7497,650,2125
4/19/20,8261,686,2627
4/20/20,8772,712,2627
4/21/20,9501,857,2627
4/22/20,10544,970,2627
4/23/20,11633,1069,2627
4/24/20,12872,1221,2627
4/25/20,13842,1305,7149
4/26/20,14677,1351,8354
4/27/20,15529,1434,9086
4/28/20,16752,1569,11423
4/29/20,17799,1732,11423
4/30/20,19224,1859,11423
5/1/20,20739,1972,12377
5/2/20,22088,2061,12377
5/3/20,23471,2154,13447
5/4/20,24905,2271,13447
5/5/20,26025,2507,16810
5/6/20,27634,2704,17781
5/7/20,29616,2961,17781
5/8/20,31522,3160,20314
5/9/20,33460,3353,21824
5/10/20,35022,3465,21824
5/11/20,36327,3573,23100
5/12/20,38324,3926,25935
5/13/20,40186,4220,26990
5/14/20,42595,4477,28475
5/15/20,45032,4767,30451
5/16/20,47144,5045,31848
5/17/20,49219,5177,33329
5/18/20,51633,5332,35388
5/19/20,54346,5666,37325
5/20/20,56594,6090,38419
5/21/20,59567,6510,40152
5/22/20,62527,6989,42191
5/23/20,65856,7179,44424
5/24/20,68620,7394,46979
5/25/20,71105,7633,49452
5/26/20,74560,8134,51708
5/27/20,78023,8597,53834
5/28/20,81400,9044,56041
5/29/20,84627,9415,59003
5/30/20,87512,9779,61247
5/31/20,90664,9930,63772
6/1/20,93435,10167,66965
6/2/20,97326,10637,69749
6/3/20,101238,11729,72680
6/4/20,105680,12545,74758
6/5/20,110026,13170,77841
6/6/20,113619,13511,80830
6/7/20,117103,13699,83775
6/8/20,120102,14053,87633
6/9/20,124301,14649,90748
6/10/20,129184,15357,93930
6/11/20,133974,15944,97198
6/12/20,139196,16448,100876
6/13/20,142690,16872,104078
6/14/20,146837,17141,107298
6/15/20,150264,17580,112292
6/16/20,154863,18310,115394
6/17/20,159793,19080,118504
