Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,3,0,0
3/11/20,3,0,0
3/12/20,3,0,0
3/13/20,6,0,0
3/14/20,12,0,0
3/15/20,23,0,0
3/16/20,23,0,0
3/17/20,30,0,1
3/18/20,30,1,1
3/19/20,49,1,1
3/20/20,66,1,1
3/21/20,80,1,1
3/22/20,94,1,1
3/23/20,109,1,1
3/24/20,125,1,2
3/25/20,149,1,2
3/26/20,177,1,2
3/27/20,199,2,2
3/28/20,231,2,2
3/29/20,263,2,2
3/30/20,298,2,15
3/31/20,353,4,18
4/1/20,423,5,23
4/2/20,505,6,23
4/3/20,591,8,26
4/4/20,752,12,29
4/5/20,864,15,30
4/6/20,965,19,37
4/7/20,1056,22,40
4/8/20,1174,27,40
4/9/20,1289,29,50
4/10/20,1438,29,56
4/11/20,1560,30,75
4/12/20,1662,31,94
4/13/20,1712,35,107
4/14/20,1934,40,134
4/15/20,2049,46,171
4/16/20,2154,54,235
4/17/20,2264,56,276
4/18/20,2378,57,391
4/19/20,2472,67,457
4/20/20,2548,70,457
4/21/20,2614,72,505
4/22/20,2778,75,560
4/23/20,2926,80,661
4/24/20,3110,84,755
4/25/20,3304,94,825
4/26/20,3408,96,895
4/27/20,3481,102,925
4/28/20,3638,103,975
4/29/20,3771,111,1114
4/30/20,3897,116,1182
5/1/20,3980,122,1272
5/2/20,4052,124,1334
5/3/20,4121,125,1382
5/4/20,4248,132,1423
5/5/20,4363,136,1544
5/6/20,4476,143,1658
5/7/20,4605,145,1747
5/8/20,4728,150,1826
5/9/20,4867,161,1925
5/10/20,4927,169,1958
5/11/20,4995,175,1980
5/12/20,5154,182,2069
5/13/20,5406,185,2176
5/14/20,5553,194,2228
5/15/20,5745,202,2228
5/16/20,5934,207,2344
5/17/20,6060,211,2344
5/18/20,6138,217,2425
5/19/20,6340,221,2508
5/20/20,6553,228,2953
5/21/20,6704,233,2953
5/22/20,6847,237,3369
5/23/20,6994,242,3452
5/24/20,7093,250,3713
5/25/20,7147,261,3802
5/26/20,7305,267,3884
5/27/20,7537,274,3884
5/28/20,7725,282,4123
5/29/20,7896,288,4278
5/30/20,8098,291,4455
5/31/20,8251,295,4581
6/1/20,8360,305,4622
6/2/20,8548,307,4738
6/3/20,8795,310,4863
6/4/20,9018,315,5009
6/5/20,9247,323,5240
6/6/20,9511,331,5450
6/7/20,9700,341,5638
6/8/20,9807,353,5738
6/9/20,10025,365,5797
6/10/20,10321,371,5930
6/11/20,10727,375,6072
6/12/20,11093,385,6229
6/13/20,11459,398,6421
6/14/20,11740,406,6623
6/15/20,11879,411,6794
6/16/20,12254,423,6901
6/17/20,12732,433,7077
