Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,5,0,0
3/18/20,6,0,0
3/19/20,6,0,0
3/20/20,6,0,0
3/21/20,10,0,0
3/22/20,10,0,0
3/23/20,10,0,0
3/24/20,10,0,0
3/25/20,10,0,0
3/26/20,11,0,0
3/27/20,11,0,0
3/28/20,12,0,0
3/29/20,12,0,0
3/30/20,12,0,2
3/31/20,12,0,2
4/1/20,14,0,2
4/2/20,14,0,2
4/3/20,14,0,2
4/4/20,14,0,2
4/5/20,14,0,2
4/6/20,15,0,2
4/7/20,15,0,4
4/8/20,16,0,4
4/9/20,16,0,4
4/10/20,16,0,4
4/11/20,16,0,4
4/12/20,16,0,4
4/13/20,17,0,4
4/14/20,30,0,5
4/15/20,30,0,5
4/16/20,31,0,5
4/17/20,31,0,5
4/18/20,31,0,5
4/19/20,32,0,7
4/20/20,33,0,7
4/21/20,34,0,8
4/22/20,35,0,8
4/23/20,36,0,9
4/24/20,37,0,9
4/25/20,37,0,9
4/26/20,38,0,9
4/27/20,38,0,10
4/28/20,38,0,10
4/29/20,38,0,10
4/30/20,38,0,10
5/1/20,38,0,10
5/2/20,39,0,10
5/3/20,39,0,10
5/4/20,40,0,12
5/5/20,41,0,13
5/6/20,41,0,13
5/7/20,41,0,13
5/8/20,42,0,13
5/9/20,42,0,14
5/10/20,42,0,14
5/11/20,42,0,14
5/12/20,42,0,15
5/13/20,42,0,15
5/14/20,98,0,15
5/15/20,98,0,20
5/16/20,135,0,20
5/17/20,136,0,21
5/18/20,140,0,24
5/19/20,140,0,26
5/20/20,140,0,26
5/21/20,140,0,26
5/22/20,141,0,28
5/23/20,141,0,30
5/24/20,141,0,32
5/25/20,141,0,33
5/26/20,141,0,37
5/27/20,148,0,43
5/28/20,161,0,43
5/29/20,179,0,43
5/30/20,179,0,44
5/31/20,179,0,44
6/1/20,185,0,44
6/2/20,185,0,44
6/3/20,185,0,44
6/4/20,186,0,65
6/5/20,191,0,70
6/6/20,193,0,75
6/7/20,193,0,75
6/8/20,194,0,75
6/9/20,194,0,87
6/10/20,194,0,89
6/11/20,197,0,95
6/12/20,197,0,95
6/13/20,197,0,98
6/14/20,197,0,98
6/15/20,197,0,109
6/16/20,197,0,111
6/17/20,201,0,127
