Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,2,0,0
3/18/20,2,0,0
3/19/20,3,0,0
3/20/20,14,0,0
3/21/20,14,0,0
3/22/20,21,0,0
3/23/20,27,1,0
3/24/20,47,1,0
3/25/20,52,1,0
3/26/20,69,1,0
3/27/20,82,1,0
3/28/20,84,1,0
3/29/20,85,1,0
3/30/20,91,1,0
3/31/20,109,2,0
4/1/20,123,2,0
4/2/20,144,2,0
4/3/20,174,2,1
4/4/20,201,2,1
4/5/20,214,2,1
4/6/20,233,2,1
4/7/20,241,2,4
4/8/20,248,2,4
4/9/20,252,2,4
4/10/20,255,2,4
4/11/20,263,2,5
4/12/20,272,3,5
4/13/20,274,3,5
4/14/20,283,4,46
4/15/20,288,4,55
4/16/20,303,4,55
4/17/20,303,5,55
4/18/20,307,5,55
4/19/20,308,5,55
4/20/20,312,5,88
4/21/20,313,5,101
4/22/20,315,5,116
4/23/20,316,5,123
4/24/20,319,6,123
4/25/20,320,6,153
4/26/20,321,7,153
4/27/20,321,7,189
4/28/20,321,7,199
4/29/20,322,7,203
4/30/20,322,7,214
5/1/20,322,7,233
5/2/20,322,8,245
5/3/20,322,8,249
5/4/20,323,8,253
5/5/20,324,8,253
5/6/20,324,8,261
5/7/20,324,8,265
5/8/20,324,8,267
5/9/20,324,8,274
5/10/20,324,9,290
5/11/20,324,9,294
5/12/20,324,9,298
5/13/20,324,9,307
5/14/20,324,9,309
5/15/20,324,9,311
5/16/20,324,9,311
5/17/20,324,9,311
5/18/20,324,9,311
5/19/20,324,9,312
5/20/20,324,9,312
5/21/20,324,9,314
5/22/20,324,9,314
5/23/20,324,9,314
5/24/20,324,9,315
5/25/20,324,9,315
5/26/20,324,9,315
5/27/20,324,9,315
5/28/20,324,9,315
5/29/20,324,9,315
5/30/20,324,9,315
5/31/20,324,9,315
6/1/20,324,9,315
6/2/20,324,9,315
6/3/20,324,9,315
6/4/20,324,9,315
6/5/20,324,9,315
6/6/20,324,9,315
6/7/20,324,9,315
6/8/20,324,9,315
6/9/20,324,9,315
6/10/20,324,9,315
6/11/20,324,9,315
6/12/20,324,9,315
6/13/20,324,9,315
6/14/20,325,9,315
6/15/20,326,9,315
6/16/20,326,9,315
6/17/20,333,9,315
