Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,2,0,0
3/6/20,2,0,0
3/7/20,2,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,3,1,0
3/11/20,5,1,0
3/12/20,6,1,0
3/13/20,7,1,1
3/14/20,17,1,1
3/15/20,28,1,1
3/16/20,29,1,1
3/17/20,38,2,1
3/18/20,49,2,1
3/19/20,63,2,1
3/20/20,77,3,1
3/21/20,96,3,3
3/22/20,115,4,3
3/23/20,143,4,3
3/24/20,170,5,6
3/25/20,225,6,7
3/26/20,275,11,8
3/27/20,345,23,11
3/28/20,402,25,11
3/29/20,479,26,13
3/30/20,556,33,15
3/31/20,617,36,24
4/1/20,654,39,29
4/2/20,708,44,31
4/3/20,791,48,57
4/4/20,919,59,66
4/5/20,1021,70,76
4/6/20,1120,80,81
4/7/20,1184,90,93
4/8/20,1275,93,97
4/9/20,1374,97,109
4/10/20,1448,107,122
4/11/20,1545,111,146
4/12/20,1661,118,177
4/13/20,1763,126,203
4/14/20,1888,126,217
4/15/20,2024,127,229
4/16/20,2283,130,249
4/17/20,2564,135,281
4/18/20,2685,137,314
4/19/20,2855,141,327
4/20/20,3046,143,350
4/21/20,3209,145,393
4/22/20,3446,149,417
4/23/20,3568,155,456
4/24/20,3758,158,486
4/25/20,3897,159,537
4/26/20,4065,161,593
4/27/20,4120,162,695
4/28/20,4252,165,778
4/29/20,4321,168,928
4/30/20,4423,170,984
5/1/20,4569,171,1083
5/2/20,4729,173,1256
5/3/20,4903,174,1438
5/4/20,5053,179,1653
5/5/20,5219,181,1838
5/6/20,5408,183,2017
5/7/20,5548,183,2179
5/8/20,5711,186,2324
5/9/20,5910,186,2461
5/10/20,6063,188,2554
5/11/20,6281,188,2811
5/12/20,6418,188,2991
5/13/20,6512,188,3131
5/14/20,6607,190,3310
5/15/20,6652,190,3400
5/16/20,6741,192,3487
5/17/20,6870,192,3660
5/18/20,6952,192,3758
5/19/20,7023,193,3901
5/20/20,7133,194,4098
5/21/20,7211,196,4280
5/22/20,7332,197,4377
5/23/20,7406,198,4638
5/24/20,7433,199,4703
5/25/20,7532,200,4774
5/26/20,7577,202,4881
5/27/20,7601,202,4978
5/28/20,7643,202,5195
5/29/20,7714,202,5271
5/30/20,7780,204,5401
5/31/20,7807,205,5459
6/1/20,7833,205,5893
6/2/20,7866,206,6410
6/3/20,7922,206,6866
6/4/20,8003,208,7195
6/5/20,8071,208,7268
6/6/20,8151,208,7315
6/7/20,8224,208,7364
6/8/20,8302,208,7408
6/9/20,8437,210,7493
6/10/20,8508,211,7565
6/11/20,8537,211,7583
6/12/20,8610,212,7618
6/13/20,8692,212,7696
6/14/20,8793,212,7765
6/15/20,8885,212,7828
6/16/20,8931,212,7937
6/17/20,8997,213,7993
