Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,1,0,0
3/23/20,1,0,0
3/24/20,3,0,0
3/25/20,5,0,0
3/26/20,7,0,0
3/27/20,7,0,0
3/28/20,8,0,0
3/29/20,8,0,0
3/30/20,8,0,0
3/31/20,8,0,0
4/1/20,10,0,0
4/2/20,10,0,0
4/3/20,10,0,0
4/4/20,10,0,1
4/5/20,10,0,1
4/6/20,10,0,1
4/7/20,10,0,1
4/8/20,17,0,1
4/9/20,17,0,1
4/10/20,20,0,2
4/11/20,20,0,2
4/12/20,21,0,2
4/13/20,21,0,2
4/14/20,28,0,2
4/15/20,29,0,2
4/16/20,31,0,2
4/17/20,34,0,2
4/18/20,35,0,4
4/19/20,39,0,8
4/20/20,39,0,8
4/21/20,39,0,8
4/22/20,41,0,8
4/23/20,46,0,9
4/24/20,65,0,12
4/25/20,70,0,12
4/26/20,76,0,12
4/27/20,76,0,12
4/28/20,76,0,12
4/29/20,76,0,12
4/30/20,76,0,12
5/1/20,79,0,12
5/2/20,79,0,18
5/3/20,80,0,19
5/4/20,80,0,19
5/5/20,81,0,19
5/6/20,81,0,21
5/7/20,81,0,24
5/8/20,82,0,27
5/9/20,87,0,34
5/10/20,91,0,34
5/11/20,103,0,34
5/12/20,104,0,34
5/13/20,104,0,34
5/14/20,115,0,35
5/15/20,119,0,42
5/16/20,129,0,43
5/17/20,137,0,44
5/18/20,145,0,44
5/19/20,146,0,44
5/20/20,156,0,48
5/21/20,162,0,48
5/22/20,164,0,48
5/23/20,168,0,48
5/24/20,194,0,51
5/25/20,209,1,71
5/26/20,213,1,71
5/27/20,227,1,71
5/28/20,233,2,82
5/29/20,234,2,84
5/30/20,244,2,90
5/31/20,254,2,91
6/1/20,254,2,97
6/2/20,307,2,98
6/3/20,316,2,109
6/4/20,352,2,114
6/5/20,354,2,119
6/6/20,409,2,126
6/7/20,424,2,127
6/8/20,433,2,131
6/9/20,453,2,136
6/10/20,472,2,138
6/11/20,489,2,144
6/12/20,509,2,145
6/13/20,553,2,151
6/14/20,583,3,151
6/15/20,609,3,157
6/16/20,638,4,160
6/17/20,651,4,160
