Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,1,0,0
1/26/20,1,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,1,0,0
2/10/20,1,0,0
2/11/20,1,0,0
2/12/20,1,0,1
2/13/20,1,0,1
2/14/20,1,0,1
2/15/20,1,0,1
2/16/20,1,0,1
2/17/20,1,0,1
2/18/20,1,0,1
2/19/20,1,0,1
2/20/20,1,0,1
2/21/20,1,0,1
2/22/20,1,0,1
2/23/20,1,0,1
2/24/20,1,0,1
2/25/20,1,0,1
2/26/20,1,0,1
2/27/20,1,0,1
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,1,0,1
3/2/20,1,0,1
3/3/20,1,0,1
3/4/20,1,0,1
3/5/20,1,0,1
3/6/20,1,0,1
3/7/20,1,0,1
3/8/20,1,0,1
3/9/20,1,0,1
3/10/20,1,0,1
3/11/20,1,0,1
3/12/20,1,0,1
3/13/20,1,0,1
3/14/20,1,0,1
3/15/20,1,0,1
3/16/20,1,0,1
3/17/20,1,0,1
3/18/20,1,0,1
3/19/20,1,0,1
3/20/20,1,0,1
3/21/20,1,0,1
3/22/20,1,0,1
3/23/20,2,0,1
3/24/20,2,0,1
3/25/20,3,0,1
3/26/20,3,0,1
3/27/20,4,0,1
3/28/20,5,0,1
3/29/20,5,0,1
3/30/20,5,0,1
3/31/20,5,0,1
4/1/20,5,0,1
4/2/20,6,0,1
4/3/20,6,0,1
4/4/20,9,0,1
4/5/20,9,0,1
4/6/20,9,0,1
4/7/20,9,0,1
4/8/20,9,0,1
4/9/20,9,0,1
4/10/20,9,0,1
4/11/20,9,0,1
4/12/20,12,0,1
4/13/20,14,0,1
4/14/20,16,0,1
4/15/20,16,0,1
4/16/20,16,0,2
4/17/20,30,0,2
4/18/20,31,0,2
4/19/20,31,0,4
4/20/20,31,0,4
4/21/20,43,0,4
4/22/20,45,0,7
4/23/20,48,0,10
4/24/20,49,0,11
4/25/20,49,0,12
4/26/20,52,0,16
4/27/20,52,0,16
4/28/20,54,0,16
4/29/20,57,0,16
4/30/20,57,0,16
5/1/20,59,0,16
5/2/20,59,0,16
5/3/20,75,0,16
5/4/20,75,0,16
5/5/20,82,0,16
5/6/20,99,0,22
5/7/20,101,0,22
5/8/20,102,0,31
5/9/20,110,0,31
5/10/20,110,0,31
5/11/20,134,0,33
5/12/20,217,0,33
5/13/20,250,0,35
5/14/20,249,0,35
5/15/20,267,0,36
5/16/20,291,1,36
5/17/20,295,2,36
5/18/20,375,2,36
5/19/20,402,2,37
5/20/20,427,2,45
5/21/20,457,3,49
5/22/20,516,3,70
5/23/20,584,3,70
5/24/20,603,3,87
5/25/20,682,4,112
5/26/20,772,4,155
5/27/20,886,4,183
5/28/20,1042,5,187
5/29/20,1212,6,206
5/30/20,1401,6,219
5/31/20,1572,8,220
6/1/20,1811,8,221
6/2/20,2099,8,266
6/3/20,2300,9,278
6/4/20,2634,10,290
6/5/20,2912,11,333
6/6/20,3235,13,365
6/7/20,3448,13,467
6/8/20,3762,14,488
6/9/20,4086,15,584
6/10/20,4364,15,674
6/11/20,4614,15,861
6/12/20,5062,16,877
6/13/20,5335,18,913
6/14/20,5760,19,974
6/15/20,6211,19,1041
6/16/20,6591,19,1158
6/17/20,7177,20,1167
