Date,Confirmed,Deaths,Recovered
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,6,0,0
3/1/20,10,0,0
3/2/20,18,0,0
3/3/20,24,0,0
3/4/20,38,0,0
3/5/20,82,0,0
3/6/20,128,1,0
3/7/20,188,1,0
3/8/20,265,3,0
3/9/20,321,3,0
3/10/20,382,4,0
3/11/20,503,5,0
3/12/20,503,5,0
3/13/20,806,10,0
3/14/20,962,12,0
3/15/20,1138,20,0
3/16/20,1416,24,0
3/17/20,1711,43,0
3/18/20,2058,58,0
3/19/20,2467,77,0
3/20/20,3003,107,0
3/21/20,3640,137,0
3/22/20,4217,180,0
3/23/20,4764,214,0
3/24/20,5580,277,1
3/25/20,6438,357,1
3/26/20,7468,435,3
3/27/20,8647,547,3
3/28/20,9819,640,3
3/29/20,10930,772,3
3/30/20,11817,865,3
3/31/20,12667,1040,3
4/1/20,13696,1175,10
4/2/20,14788,1341,10
4/3/20,15821,1490,10
4/4/20,16727,1656,12
4/5/20,17953,1771,7
4/6/20,18926,1874,8
4/7/20,19709,2108,22
4/8/20,20682,2255,22
4/9/20,21903,2403,28
4/10/20,23249,2520,37
4/11/20,24571,2653,41
4/12/20,25746,2747,45
4/13/20,26710,2833,45
4/14/20,27580,2955,47
4/15/20,28316,3145,54
4/16/20,29383,3327,61
4/17/20,30619,3471,65
4/18/20,31766,3613,67
4/19/20,32838,3697,72
4/20/20,33588,3764,72
4/21/20,34317,3929,74
4/22/20,35032,4068,101
4/23/20,35921,4192,101
4/24/20,36729,4304,102
4/25/20,37384,4424,102
4/26/20,38040,4491,117
4/27/20,38440,4534,117
4/28/20,38612,4582,117
4/29/20,38998,4727,119
4/30/20,39512,4811,125
5/1/20,39989,4909,138
5/2/20,40434,5003,138
5/3/20,40769,5072,138
5/4/20,40968,5098,138
5/5/20,41286,5185,139
5/6/20,41518,5221,146
5/7/20,41973,5306,147
5/8/20,42292,5377,147
5/9/20,42581,5441,149
5/10/20,42826,5459,149
5/11/20,42987,5475,149
5/12/20,43183,5529,149
5/13/20,43410,5581,157
5/14/20,43680,5609,159
5/15/20,43880,5662,159
5/16/20,44070,5689,167
5/17/20,44195,5699,167
5/18/20,44341,5713,167
5/19/20,44449,5734,167
5/20/20,44647,5767,169
5/21/20,44900,5794,169
5/22/20,45088,5807,174
5/23/20,45265,5830,174
5/24/20,45437,5841,174
5/25/20,45647,5849,174
5/26/20,45780,5875,174
5/27/20,45970,5890,177
5/28/20,46152,5922,178
5/29/20,46328,5950,178
5/30/20,46460,5970,178
5/31/20,46645,5975,178
6/1/20,46749,5981,179
6/2/20,46852,5986,180
6/3/20,46939,5996,180
6/4/20,47148,6009,180
6/5/20,47358,6024,181
6/6/20,47541,6030,181
6/7/20,47780,6032,181
6/8/20,47945,6035,181
6/9/20,48109,6050,181
6/10/20,48294,6061,181
6/11/20,48458,6063,181
6/12/20,48668,6072,181
6/13/20,48847,6076,181
6/14/20,48990,6078,181
6/15/20,49155,6084,186
6/16/20,49295,6089,186
6/17/20,49412,6093,186
