Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,2,0,0
3/16/20,2,0,0
3/17/20,3,0,0
3/18/20,4,0,0
3/19/20,4,0,0
3/20/20,5,0,0
3/21/20,5,0,0
3/22/20,9,0,0
3/23/20,9,0,0
3/24/20,12,0,1
3/25/20,17,0,1
3/26/20,28,0,1
3/27/20,33,0,1
3/28/20,46,0,1
3/29/20,50,0,1
3/30/20,50,0,1
3/31/20,55,0,1
4/1/20,55,0,1
4/2/20,60,0,1
4/3/20,62,0,1
4/4/20,64,0,1
4/5/20,64,0,1
4/6/20,71,0,2
4/7/20,74,0,14
4/8/20,77,0,14
4/9/20,82,0,20
4/10/20,86,0,27
4/11/20,92,0,29
4/12/20,92,0,32
4/13/20,92,0,32
4/14/20,92,0,32
4/15/20,93,1,39
4/16/20,95,2,39
4/17/20,96,2,43
4/18/20,96,2,44
4/19/20,97,2,49
4/20/20,97,2,49
4/21/20,97,2,51
4/22/20,100,2,68
4/23/20,100,2,68
4/24/20,100,2,69
4/25/20,100,2,69
4/26/20,100,2,73
4/27/20,100,2,73
4/28/20,100,2,73
4/29/20,100,2,73
4/30/20,100,2,79
5/1/20,100,2,81
5/2/20,100,2,81
5/3/20,100,2,81
5/4/20,100,2,81
5/5/20,101,2,82
5/6/20,101,2,89
5/7/20,101,3,89
5/8/20,101,3,89
5/9/20,101,3,89
5/10/20,101,3,89
5/11/20,101,3,89
5/12/20,101,3,89
5/13/20,101,3,91
5/14/20,101,3,93
5/15/20,101,3,93
5/16/20,101,3,93
5/17/20,101,3,93
5/18/20,101,3,93
5/19/20,101,3,93
5/20/20,101,3,95
5/21/20,101,3,95
5/22/20,101,3,95
5/23/20,101,3,95
5/24/20,101,3,95
5/25/20,101,3,95
5/26/20,101,3,95
5/27/20,101,3,97
5/28/20,101,3,98
5/29/20,101,3,98
5/30/20,101,3,98
5/31/20,101,3,98
6/1/20,101,3,98
6/2/20,101,3,98
6/3/20,101,3,98
6/4/20,101,3,98
6/5/20,101,3,98
6/6/20,101,3,98
6/7/20,101,3,98
6/8/20,101,3,98
6/9/20,101,3,98
6/10/20,101,3,98
6/11/20,101,3,98
6/12/20,101,3,98
6/13/20,101,3,98
6/14/20,101,3,98
6/15/20,101,3,98
6/16/20,101,3,98
6/17/20,101,3,98
