Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,3,0,0
3/18/20,3,0,0
3/19/20,3,1,0
3/20/20,3,1,0
3/21/20,3,1,0
3/22/20,3,1,0
3/23/20,4,1,0
3/24/20,6,1,0
3/25/20,6,1,0
3/26/20,6,1,2
3/27/20,8,1,2
3/28/20,8,1,2
3/29/20,8,1,2
3/30/20,11,1,2
3/31/20,11,1,2
4/1/20,11,1,3
4/2/20,11,1,3
4/3/20,11,1,3
4/4/20,11,1,5
4/5/20,11,1,5
4/6/20,13,1,5
4/7/20,13,1,7
4/8/20,14,1,7
4/9/20,14,1,7
4/10/20,14,1,7
4/11/20,14,1,7
4/12/20,14,1,8
4/13/20,14,1,8
4/14/20,14,1,10
4/15/20,14,1,10
4/16/20,14,1,10
4/17/20,14,1,10
4/18/20,14,1,11
4/19/20,14,1,11
4/20/20,14,1,11
4/21/20,14,1,11
4/22/20,14,1,11
4/23/20,14,1,11
4/24/20,16,1,11
4/25/20,16,1,11
4/26/20,16,1,11
4/27/20,16,1,11
4/28/20,16,1,11
4/29/20,16,1,13
4/30/20,16,1,13
5/1/20,16,1,13
5/2/20,16,1,13
5/3/20,16,1,13
5/4/20,16,1,13
5/5/20,16,1,13
5/6/20,16,1,13
5/7/20,16,1,14
5/8/20,16,1,14
5/9/20,16,1,14
5/10/20,16,1,14
5/11/20,16,1,14
5/12/20,16,1,14
5/13/20,16,1,14
5/14/20,16,1,14
5/15/20,16,1,14
5/16/20,16,1,14
5/17/20,16,1,14
5/18/20,16,1,14
5/19/20,16,1,14
5/20/20,16,1,14
5/21/20,16,1,14
5/22/20,16,1,14
5/23/20,17,1,14
5/24/20,17,1,14
5/25/20,18,1,14
5/26/20,18,1,14
5/27/20,18,1,14
5/28/20,18,1,14
5/29/20,18,1,14
5/30/20,19,1,14
5/31/20,19,1,14
6/1/20,19,1,14
6/2/20,20,1,15
6/3/20,21,1,15
6/4/20,21,1,15
6/5/20,21,1,15
6/6/20,21,1,15
6/7/20,21,1,15
6/8/20,21,1,15
6/9/20,21,1,15
6/10/20,22,1,15
6/11/20,22,1,15
6/12/20,22,1,15
6/13/20,22,1,15
6/14/20,22,1,15
6/15/20,22,1,19
6/16/20,23,1,19
6/17/20,23,1,19
