Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,1,0,0
3/23/20,2,0,0
3/24/20,2,0,0
3/25/20,3,0,0
3/26/20,3,0,0
3/27/20,3,0,0
3/28/20,3,0,0
3/29/20,6,0,0
3/30/20,6,0,0
3/31/20,6,0,0
4/1/20,16,1,6
4/2/20,18,1,6
4/3/20,23,2,6
4/4/20,23,4,6
4/5/20,25,4,1
4/6/20,37,6,1
4/7/20,40,6,1
4/8/20,40,6,1
4/9/20,43,6,1
4/10/20,50,8,3
4/11/20,50,9,5
4/12/20,50,9,5
4/13/20,50,9,5
4/14/20,52,9,5
4/15/20,53,9,5
4/16/20,57,9,12
4/17/20,57,9,12
4/18/20,64,9,12
4/19/20,67,10,12
4/20/20,67,10,12
4/21/20,67,10,12
4/22/20,71,11,22
4/23/20,73,12,22
4/24/20,73,12,22
4/25/20,73,12,22
4/26/20,74,13,33
4/27/20,74,13,33
4/28/20,75,13,33
4/29/20,75,13,33
4/30/20,75,13,33
5/1/20,76,13,44
5/2/20,76,13,44
5/3/20,76,13,44
5/4/20,76,13,44
5/5/20,76,14,44
5/6/20,76,14,44
5/7/20,76,14,44
5/8/20,76,14,44
5/9/20,76,15,46
5/10/20,76,15,46
5/11/20,76,15,46
5/12/20,76,15,46
5/13/20,76,15,46
5/14/20,76,15,46
5/15/20,76,15,46
5/16/20,77,15,54
5/17/20,77,15,54
5/18/20,77,15,54
5/19/20,77,15,54
5/20/20,77,15,54
5/21/20,77,15,54
5/22/20,77,15,59
5/23/20,77,15,59
5/24/20,77,15,59
5/25/20,77,15,59
5/26/20,77,15,59
5/27/20,77,15,60
5/28/20,77,15,60
5/29/20,77,15,60
5/30/20,77,15,60
5/31/20,77,15,60
6/1/20,77,15,60
6/2/20,77,15,60
6/3/20,77,15,60
6/4/20,77,15,60
6/5/20,77,15,61
6/6/20,77,15,61
6/7/20,77,15,61
6/8/20,77,15,61
6/9/20,77,15,61
6/10/20,77,15,61
6/11/20,77,15,61
6/12/20,77,15,61
6/13/20,77,15,61
6/14/20,77,15,61
6/15/20,77,15,62
6/16/20,77,15,62
6/17/20,77,15,62
