Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,3,0,0
3/5/20,3,0,0
3/6/20,4,0,0
3/7/20,5,0,0
3/8/20,5,0,0
3/9/20,5,0,0
3/10/20,5,0,0
3/11/20,5,0,0
3/12/20,5,0,0
3/13/20,5,0,0
3/14/20,6,0,0
3/15/20,8,0,0
3/16/20,8,0,0
3/17/20,12,0,0
3/18/20,20,0,0
3/19/20,28,0,0
3/20/20,39,0,0
3/21/20,52,0,0
3/22/20,102,0,0
3/23/20,102,0,0
3/24/20,155,0,12
3/25/20,205,0,22
3/26/20,283,0,27
3/27/20,368,0,37
3/28/20,451,0,50
3/29/20,514,1,56
3/30/20,589,1,63
3/31/20,647,1,74
4/1/20,708,1,83
4/2/20,797,1,92
4/3/20,868,1,103
4/4/20,950,1,127
4/5/20,1039,1,156
4/6/20,1106,1,176
4/7/20,1160,1,241
4/8/20,1210,1,282
4/9/20,1239,1,317
4/10/20,1283,2,373
4/11/20,1312,4,422
4/12/20,1330,4,471
4/13/20,1349,5,546
4/14/20,1366,9,628
4/15/20,1386,9,728
4/16/20,1401,9,770
4/17/20,1409,11,816
4/18/20,1422,11,867
4/19/20,1431,12,912
4/20/20,1440,12,974
4/21/20,1445,13,1006
4/22/20,1451,14,1036
4/23/20,1456,17,1095
4/24/20,1461,18,1118
4/25/20,1470,18,1142
4/26/20,1469,19,1180
4/27/20,1472,19,1214
4/28/20,1474,19,1229
4/29/20,1476,19,1241
4/30/20,1479,19,1252
5/1/20,1485,20,1263
5/2/20,1487,20,1266
5/3/20,1487,20,1276
5/4/20,1486,20,1302
5/5/20,1488,21,1316
5/6/20,1489,21,1332
5/7/20,1490,21,1347
5/8/20,1492,21,1368
5/9/20,1494,21,1371
5/10/20,1497,21,1386
5/11/20,1497,21,1398
5/12/20,1497,21,1402
5/13/20,1497,21,1411
5/14/20,1498,21,1421
5/15/20,1498,21,1428
5/16/20,1499,21,1433
5/17/20,1499,21,1433
5/18/20,1499,21,1433
5/19/20,1503,21,1447
5/20/20,1503,21,1452
5/21/20,1504,21,1455
5/22/20,1504,21,1455
5/23/20,1504,21,1456
5/24/20,1504,21,1456
5/25/20,1504,21,1461
5/26/20,1504,21,1462
5/27/20,1504,22,1474
5/28/20,1504,22,1481
5/29/20,1504,22,1481
5/30/20,1504,22,1481
5/31/20,1504,22,1481
6/1/20,1504,22,1481
6/2/20,1504,22,1481
6/3/20,1504,22,1481
6/4/20,1504,22,1481
6/5/20,1504,22,1481
6/6/20,1504,22,1481
6/7/20,1504,22,1482
6/8/20,1504,22,1482
6/9/20,1504,22,1482
6/10/20,1504,22,1482
6/11/20,1504,22,1482
6/12/20,1504,22,1482
6/13/20,1504,22,1482
6/14/20,1504,22,1482
6/15/20,1506,22,1482
6/16/20,1506,22,1482
6/17/20,1507,22,1482
