Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,2,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,7,1,0
3/26/20,10,1,0
3/27/20,10,1,0
3/28/20,10,1,0
3/29/20,18,1,0
3/30/20,27,3,0
3/31/20,27,3,0
4/1/20,74,5,0
4/2/20,98,5,0
4/3/20,120,5,0
4/4/20,144,8,0
4/5/20,184,10,13
4/6/20,253,10,26
4/7/20,278,11,26
4/8/20,342,11,28
4/9/20,410,11,40
4/10/20,438,11,41
4/11/20,491,11,41
4/12/20,529,12,75
4/13/20,529,12,75
4/14/20,570,14,90
4/15/20,584,14,90
4/16/20,584,14,90
4/17/20,627,18,110
4/18/20,639,19,113
4/19/20,648,20,117
4/20/20,648,20,117
4/21/20,657,20,127
4/22/20,662,22,193
4/23/20,671,24,256
4/24/20,681,24,289
4/25/20,684,27,325
4/26/20,696,29,350
4/27/20,701,29,385
4/28/20,709,31,403
4/29/20,713,32,435
4/30/20,719,32,452
5/1/20,728,33,478
5/2/20,736,35,507
5/3/20,750,36,518
5/4/20,755,37,534
5/5/20,763,38,543
5/6/20,770,38,561
5/7/20,781,42,586
5/8/20,795,44,600
5/9/20,815,45,617
5/10/20,821,46,624
5/11/20,832,46,637
5/12/20,854,47,648
5/13/20,860,49,658
5/14/20,876,50,677
5/15/20,885,51,684
5/16/20,889,51,689
5/17/20,904,54,698
5/18/20,909,55,714
5/19/20,914,55,734
5/20/20,920,58,738
5/21/20,924,60,753
5/22/20,937,60,764
5/23/20,943,61,775
5/24/20,945,61,783
5/25/20,951,62,786
5/26/20,952,63,796
5/27/20,952,63,796
5/28/20,955,64,803
5/29/20,955,64,813
5/30/20,956,64,818
5/31/20,958,64,839
6/1/20,958,65,844
6/2/20,960,65,848
6/3/20,961,65,857
6/4/20,963,65,860
6/5/20,966,65,863
6/6/20,970,65,867
6/7/20,973,65,867
6/8/20,973,65,869
6/9/20,974,65,871
6/10/20,974,65,876
6/11/20,974,65,878
6/12/20,978,65,881
6/13/20,980,66,881
6/14/20,980,66,885
6/15/20,980,66,885
6/16/20,1016,66,885
6/17/20,1020,67,893
