Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,2,0,0
3/10/20,2,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,2,0,0
3/16/20,2,0,0
3/17/20,3,0,0
3/18/20,8,0,1
3/19/20,8,0,1
3/20/20,12,0,1
3/21/20,22,0,1
3/22/20,30,0,2
3/23/20,40,1,2
3/24/20,44,1,2
3/25/20,51,1,2
3/26/20,65,1,2
3/27/20,70,1,3
3/28/20,89,1,3
3/29/20,111,1,3
3/30/20,131,2,8
3/31/20,135,2,8
4/1/20,174,2,9
4/2/20,184,2,20
4/3/20,210,4,25
4/4/20,214,4,25
4/5/20,232,5,33
4/6/20,238,5,35
4/7/20,254,6,44
4/8/20,276,6,44
4/9/20,288,7,51
4/10/20,305,7,58
4/11/20,318,10,70
4/12/20,323,10,85
4/13/20,343,10,91
4/14/20,373,11,99
4/15/20,407,12,128
4/16/20,442,13,152
4/17/20,493,17,159
4/18/20,542,19,166
4/19/20,627,21,170
4/20/20,665,22,188
4/21/20,665,22,188
4/22/20,873,28,197
4/23/20,981,31,197
4/24/20,1095,32,208
4/25/20,1182,35,222
4/26/20,1273,40,239
4/27/20,1337,40,255
4/28/20,1532,44,255
4/29/20,1728,51,307
4/30/20,1932,58,319
5/1/20,2170,68,351
5/2/20,2388,85,351
5/3/20,2558,87,400
5/4/20,2802,93,417
5/5/20,2950,98,481
5/6/20,3145,103,534
5/7/20,3526,107,601
5/8/20,3912,117,679
5/9/20,4151,128,745
5/10/20,4399,143,778
5/11/20,4641,150,902
5/12/20,4787,158,959
5/13/20,4971,164,1070
5/14/20,5162,167,1180
5/15/20,5450,171,1320
5/16/20,5621,176,1472
5/17/20,5959,182,1594
5/18/20,6175,191,1644
5/19/20,6401,192,1734
5/20/20,6677,200,1840
5/21/20,7016,211,1907
5/22/20,7261,221,2007
5/23/20,7526,221,2174
5/24/20,7839,226,2263
5/25/20,8068,233,2311
5/26/20,8344,249,2385
5/27/20,8733,254,2501
5/28/20,8915,259,2592
5/29/20,9302,261,2697
5/30/20,9855,273,2856
5/31/20,10162,287,3007
6/1/20,10578,299,3122
6/2/20,10819,314,3240
6/3/20,11166,315,3329
6/4/20,11516,323,3535
6/5/20,11844,333,3696
6/6/20,12233,342,3826
6/7/20,12486,354,3959
6/8/20,12801,361,4040
6/9/20,13464,365,4206
6/10/20,13873,382,4351
6/11/20,14554,387,4494
6/12/20,15181,399,4891
6/13/20,15682,407,5101
6/14/20,16085,420,5220
6/15/20,16658,424,5349
6/16/20,17148,455,5623
6/17/20,17735,469,5967
