Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,3,0,0
3/7/20,3,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,7,0,0
3/11/20,7,0,0
3/12/20,7,0,0
3/13/20,14,0,1
3/14/20,14,0,1
3/15/20,14,0,1
3/16/20,18,0,1
3/17/20,26,0,1
3/18/20,35,0,1
3/19/20,48,0,1
3/20/20,67,0,1
3/21/20,85,0,1
3/22/20,115,1,1
3/23/20,136,2,1
3/24/20,148,2,1
3/25/20,177,3,1
3/26/20,201,3,3
3/27/20,219,3,3
3/28/20,241,4,3
3/29/20,259,6,3
3/30/20,285,7,12
3/31/20,329,9,12
4/1/20,354,11,17
4/2/20,384,11,17
4/3/20,430,12,20
4/4/20,483,17,20
4/5/20,555,18,23
4/6/20,570,23,30
4/7/20,599,26,30
4/8/20,617,29,35
4/9/20,663,30,37
4/10/20,711,32,41
4/11/20,760,34,41
4/12/20,828,34,41
4/13/20,854,38,44
4/14/20,908,44,86
4/15/20,974,45,98
4/16/20,1081,46,121
4/17/20,1117,49,139
4/18/20,1170,49,164
4/19/20,1207,51,179
4/20/20,1225,54,200
4/21/20,1231,55,224
4/22/20,1259,56,272
4/23/20,1300,56,301
4/24/20,1326,57,337
4/25/20,1367,59,374
4/26/20,1386,61,500
4/27/20,1399,65,553
4/28/20,1421,71,589
4/29/20,1442,73,627
4/30/20,1465,77,738
5/1/20,1494,81,807
5/2/20,1506,82,852
5/3/20,1511,84,945
5/4/20,1518,85,992
5/5/20,1526,86,1013
5/6/20,1539,88,1057
5/7/20,1572,89,1079
5/8/20,1586,90,1099
5/9/20,1622,91,1112
5/10/20,1642,91,1136
5/11/20,1664,91,1200
5/12/20,1674,92,1205
5/13/20,1694,95,1229
5/14/20,1723,95,1235
5/15/20,1740,97,1251
5/16/20,1762,98,1267
5/17/20,1792,101,1293
5/18/20,1817,104,1301
5/19/20,1839,106,1351
5/20/20,1858,110,1367
5/21/20,1898,111,1378
5/22/20,1921,112,1387
5/23/20,1941,113,1411
5/24/20,1978,113,1422
5/25/20,1999,113,1439
5/26/20,2014,116,1453
5/27/20,2039,119,1470
5/28/20,2077,121,1486
5/29/20,2129,126,1516
5/30/20,2164,131,1535
5/31/20,2226,133,1552
6/1/20,2315,140,1569
6/2/20,2391,141,1595
6/3/20,2492,145,1605
6/4/20,2611,147,1621
6/5/20,2790,149,1632
6/6/20,2915,151,1640
6/7/20,3025,153,1646
6/8/20,3152,156,1653
6/9/20,3239,157,1658
6/10/20,3364,164,1664
6/11/20,3538,169,1682
6/12/20,3701,171,1694
6/13/20,3895,179,1705
6/14/20,4057,188,1710
6/15/20,4157,193,1723
6/16/20,4299,201,1757
6/17/20,4482,210,1803
