Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,6,0,0
2/29/20,15,0,0
3/1/20,19,0,0
3/2/20,25,0,0
3/3/20,32,0,0
3/4/20,56,0,0
3/5/20,87,0,0
3/6/20,108,0,0
3/7/20,147,0,0
3/8/20,176,0,0
3/9/20,205,0,1
3/10/20,400,0,1
3/11/20,598,0,1
3/12/20,702,0,1
3/13/20,996,0,1
3/14/20,1090,3,1
3/15/20,1221,3,1
3/16/20,1333,3,1
3/17/20,1463,3,1
3/18/20,1550,6,1
3/19/20,1746,7,1
3/20/20,1914,7,1
3/21/20,2118,7,1
3/22/20,2385,7,1
3/23/20,2621,10,1
3/24/20,2863,12,6
3/25/20,3084,14,6
3/26/20,3369,14,6
3/27/20,3755,19,6
3/28/20,4015,23,7
3/29/20,4284,25,7
3/30/20,4445,32,12
3/31/20,4641,39,13
4/1/20,4863,44,13
4/2/20,5147,50,32
4/3/20,5370,59,32
4/4/20,5550,62,32
4/5/20,5687,71,32
4/6/20,5865,76,32
4/7/20,6086,89,32
4/8/20,6086,101,32
4/9/20,6211,108,32
4/10/20,6314,113,32
4/11/20,6409,119,32
4/12/20,6525,128,32
4/13/20,6603,134,32
4/14/20,6623,139,32
4/15/20,6740,150,32
4/16/20,6896,152,32
4/17/20,6937,161,32
4/18/20,7036,164,32
4/19/20,7078,165,32
4/20/20,7156,181,32
4/21/20,7191,182,32
4/22/20,7338,187,32
4/23/20,7401,194,32
4/24/20,7463,199,32
4/25/20,7499,201,32
4/26/20,7527,201,32
4/27/20,7599,205,32
4/28/20,7660,206,32
4/29/20,7710,207,32
4/30/20,7738,210,32
5/1/20,7783,210,32
5/2/20,7809,211,32
5/3/20,7847,211,32
5/4/20,7904,214,32
5/5/20,7955,215,32
5/6/20,7996,216,32
5/7/20,8034,217,32
5/8/20,8070,218,32
5/9/20,8099,219,32
5/10/20,8105,219,32
5/11/20,8132,224,32
5/12/20,8157,228,32
5/13/20,8175,229,32
5/14/20,8196,232,32
5/15/20,8219,232,32
5/16/20,8237,232,32
5/17/20,8249,232,32
5/18/20,8257,233,32
5/19/20,8267,233,32
5/20/20,8281,234,32
5/21/20,8309,235,32
5/22/20,8332,235,7727
5/23/20,8346,235,7727
5/24/20,8352,235,7727
5/25/20,8364,235,7727
5/26/20,8383,235,7727
5/27/20,8401,235,7727
5/28/20,8411,236,7727
5/29/20,8422,236,7727
5/30/20,8437,236,7727
5/31/20,8440,236,7727
6/1/20,8446,236,7727
6/2/20,8455,237,7727
6/3/20,8477,237,7727
6/4/20,8504,238,8138
6/5/20,8522,238,8138
6/6/20,8531,238,8138
6/7/20,8547,238,8138
6/8/20,8561,239,8138
6/9/20,8576,239,8138
6/10/20,8594,239,8138
6/11/20,8608,242,8138
6/12/20,8620,242,8138
6/13/20,8628,242,8138
6/14/20,8631,242,8138
6/15/20,8647,242,8138
6/16/20,8660,242,8138
6/17/20,8692,243,8138
