Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,2,0,0
2/25/20,2,0,0
2/26/20,4,0,0
2/27/20,4,0,0
2/28/20,4,0,0
2/29/20,6,0,1
3/1/20,6,0,1
3/2/20,6,0,1
3/3/20,12,0,2
3/4/20,15,0,2
3/5/20,16,0,2
3/6/20,16,0,2
3/7/20,16,0,2
3/8/20,16,0,2
3/9/20,16,0,2
3/10/20,18,0,9
3/11/20,18,0,9
3/12/20,18,0,9
3/13/20,19,0,9
3/14/20,19,0,9
3/15/20,22,0,9
3/16/20,22,0,9
3/17/20,24,0,9
3/18/20,39,0,12
3/19/20,48,0,12
3/20/20,48,0,12
3/21/20,52,0,12
3/22/20,55,0,17
3/23/20,66,0,17
3/24/20,84,0,17
3/25/20,99,0,17
3/26/20,109,0,23
3/27/20,131,0,23
3/28/20,152,0,23
3/29/20,167,0,23
3/30/20,179,0,29
3/31/20,192,1,34
4/1/20,210,1,34
4/2/20,231,1,57
4/3/20,252,1,57
4/4/20,277,2,61
4/5/20,298,2,61
4/6/20,331,2,61
4/7/20,371,2,67
4/8/20,419,2,72
4/9/20,457,3,109
4/10/20,484,3,109
4/11/20,546,3,109
4/12/20,599,4,109
4/13/20,727,4,124
4/14/20,813,4,130
4/15/20,910,4,131
4/16/20,1019,4,176
4/17/20,1069,6,176
4/18/20,1180,6,176
4/19/20,1266,7,233
4/20/20,1410,7,238
4/21/20,1508,8,238
4/22/20,1614,8,238
4/23/20,1716,9,307
4/24/20,1790,10,325
4/25/20,1905,10,329
4/26/20,1998,10,333
4/27/20,2049,10,364
4/28/20,2131,10,364
4/29/20,2274,10,364
4/30/20,2348,11,495
5/1/20,2447,11,495
5/2/20,2483,12,750
5/3/20,2568,12,750
5/4/20,2637,12,816
5/5/20,2735,13,858
5/6/20,2903,13,888
5/7/20,2958,15,980
5/8/20,3112,16,1025
5/9/20,3224,17,1068
5/10/20,3399,17,1117
5/11/20,3573,17,1250
5/12/20,3721,17,1250
5/13/20,4019,17,1289
5/14/20,4341,18,1303
5/15/20,4625,20,1350
5/16/20,5029,21,1436
5/17/20,5186,22,1465
5/18/20,5379,25,1496
5/19/20,5671,27,1574
5/20/20,6043,30,1661
5/21/20,6370,31,1821
5/22/20,6794,34,1821
5/23/20,7257,36,1848
5/24/20,7770,37,1933
5/25/20,7770,37,1933
5/26/20,8118,37,2067
5/27/20,8373,39,2177
5/28/20,9009,40,2177
5/29/20,9820,40,2396
5/30/20,10423,42,2396
5/31/20,11437,49,2682
6/1/20,12223,50,2682
6/2/20,12799,59,2812
6/3/20,13537,67,2845
6/4/20,14316,67,3451
6/5/20,15086,72,3451
6/6/20,16016,72,3451
6/7/20,16882,75,3451
6/8/20,17486,81,3793
6/9/20,18198,83,4152
6/10/20,18887,84,5640
6/11/20,19954,89,6623
6/12/20,21071,96,7489
6/13/20,22077,99,7530
6/14/20,23481,104,8454
6/15/20,24524,108,9533
6/16/20,25269,114,11089
6/17/20,26079,116,11797
