Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,0,0
3/11/20,8,1,0
3/12/20,11,1,0
3/13/20,27,1,0
3/14/20,36,1,0
3/15/20,43,1,0
3/16/20,55,1,0
3/17/20,69,1,0
3/18/20,86,1,0
3/19/20,109,1,0
3/20/20,137,1,0
3/21/20,200,1,0
3/22/20,313,3,0
3/23/20,345,6,0
3/24/20,345,6,1
3/25/20,443,8,1
3/26/20,558,8,2
3/27/20,674,9,2
3/28/20,786,14,2
3/29/20,901,17,4
3/30/20,989,24,4
3/31/20,1181,30,9
4/1/20,1181,30,9
4/2/20,1317,32,9
4/3/20,1475,37,10
4/4/20,1673,41,13
4/5/20,1801,46,13
4/6/20,1988,54,13
4/7/20,2100,55,14
4/8/20,2249,59,16
4/9/20,2528,63,16
4/10/20,2752,66,16
4/11/20,2974,74,17
4/12/20,3234,79,23
4/13/20,3400,87,29
4/14/20,3472,94,61
4/15/20,3574,95,72
4/16/20,3751,103,75
4/17/20,4016,109,98
4/18/20,4210,116,122
4/19/20,4273,120,140
4/20/20,4467,126,165
4/21/20,4658,136,204
4/22/20,4821,141,231
4/23/20,5166,146,271
4/24/20,5338,154,319
4/25/20,5538,159,338
4/26/20,5779,165,338
4/27/20,6021,167,455
4/28/20,6021,167,455
4/29/20,6378,178,527
4/30/20,6532,188,576
5/1/20,6720,192,622
5/2/20,7090,197,641
5/3/20,7090,197,641
5/4/20,7197,200,641
5/5/20,7523,210,823
5/6/20,7731,218,859
5/7/20,7868,225,886
5/8/20,8070,231,886
5/9/20,8282,237,4501
5/10/20,8448,244,4687
5/11/20,8616,249,4687
5/12/20,8783,252,6021
5/13/20,8944,256,6067
5/14/20,9118,260,6080
5/15/20,9268,266,6080
5/16/20,9449,269,6080
5/17/20,9606,275,6081
5/18/20,9726,279,6081
5/19/20,9867,281,6194
5/20/20,9977,287,6194
5/21/20,10116,291,6245
5/22/20,10267,295,6275
5/23/20,10577,299,6279
5/24/20,10926,306,6279
5/25/20,11183,310,6279
5/26/20,11447,313,6379
5/27/20,11728,315,7379
5/28/20,12131,320,7379
5/29/20,12531,326,7540
5/30/20,13018,330,9414
5/31/20,13463,336,9514
6/1/20,13837,344,9514
6/2/20,14095,352,9514
6/3/20,14609,357,9519
6/4/20,15044,363,9619
6/5/20,15463,370,9719
6/6/20,16004,386,10118
6/7/20,16425,393,10218
6/8/20,16854,398,10401
6/9/20,17233,403,10561
6/10/20,17889,413,10977
6/11/20,18586,418,10977
6/12/20,19211,421,13759
6/13/20,20059,429,13759
6/14/20,21418,437,13766
6/15/20,21422,448,13766
6/16/20,21962,457,13774
6/17/20,22597,470,13774
