Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,5,0,0
3/12/20,5,0,0
3/13/20,6,0,0
3/14/20,6,0,0
3/15/20,6,0,0
3/16/20,8,0,0
3/17/20,9,0,0
3/18/20,11,0,0
3/19/20,11,0,0
3/20/20,13,0,0
3/21/20,18,1,0
3/22/20,22,1,0
3/23/20,22,1,0
3/24/20,27,2,0
3/25/20,37,3,0
3/26/20,41,3,0
3/27/20,52,3,1
3/28/20,56,3,1
3/29/20,59,3,1
3/30/20,64,3,1
3/31/20,65,3,1
4/1/20,69,3,1
4/2/20,77,3,2
4/3/20,92,3,6
4/4/20,96,3,12
4/5/20,104,3,12
4/6/20,113,5,12
4/7/20,115,5,15
4/8/20,119,5,15
4/9/20,124,5,18
4/10/20,129,6,18
4/11/20,133,6,18
4/12/20,134,6,22
4/13/20,147,6,22
4/14/20,159,7,22
4/15/20,161,8,23
4/16/20,174,8,30
4/17/20,199,8,30
4/18/20,202,8,35
4/19/20,206,8,41
4/20/20,208,8,46
4/21/20,208,8,53
4/22/20,213,9,62
4/23/20,213,9,67
4/24/20,223,9,78
4/25/20,228,9,85
4/26/20,228,9,85
4/27/20,228,9,93
4/28/20,239,9,102
4/29/20,239,9,102
4/30/20,266,10,113
5/1/20,333,10,115
5/2/20,370,10,119
5/3/20,396,10,126
5/4/20,415,10,130
5/5/20,431,10,135
5/6/20,440,10,142
5/7/20,462,10,148
5/8/20,563,10,152
5/9/20,689,10,155
5/10/20,713,10,165
5/11/20,724,10,170
5/12/20,737,10,173
5/13/20,740,11,182
5/14/20,754,11,184
5/15/20,759,11,193
5/16/20,778,11,198
5/17/20,786,11,202
5/18/20,788,11,219
5/19/20,829,11,230
5/20/20,833,11,242
5/21/20,836,11,256
5/22/20,838,11,264
5/23/20,850,11,298
5/24/20,862,11,307
5/25/20,865,11,344
5/26/20,877,11,382
5/27/20,884,11,392
5/28/20,900,11,402
5/29/20,917,11,413
5/30/20,964,11,466
5/31/20,986,11,477
6/1/20,995,11,488
6/2/20,1013,11,498
6/3/20,1070,11,511
6/4/20,1086,11,511
6/5/20,1087,11,516
6/6/20,1090,11,532
6/7/20,1135,11,575
6/8/20,1145,11,603
6/9/20,1187,11,604
6/10/20,1202,11,619
6/11/20,1230,11,624
6/12/20,1254,11,633
6/13/20,1261,11,647
6/14/20,1289,11,650
6/15/20,1296,12,673
6/16/20,1303,13,699
6/17/20,1308,13,711
