Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,5,0,0
3/7/20,5,0,0
3/8/20,11,0,0
3/9/20,16,0,0
3/10/20,22,0,0
3/11/20,31,0,0
3/12/20,49,1,0
3/13/20,68,2,0
3/14/20,103,3,0
3/15/20,119,3,0
3/16/20,177,4,13
3/17/20,238,5,13
3/18/20,251,5,13
3/19/20,355,5,1
3/20/20,425,5,1
3/21/20,536,5,1
3/22/20,634,7,1
3/23/20,749,8,1
3/24/20,901,10,1
3/25/20,1051,14,7
3/26/20,1221,16,7
3/27/20,1389,16,7
3/28/20,1638,18,7
3/29/20,1862,22,7
3/30/20,2055,31,7
3/31/20,2311,33,7
4/1/20,2554,43,47
4/2/20,2946,57,56
4/3/20,3383,71,56
4/4/20,3627,79,116
4/5/20,4102,94,134
4/6/20,4413,107,162
4/7/20,4848,129,191
4/8/20,5205,159,222
4/9/20,5575,174,284
4/10/20,5955,181,318
4/11/20,6356,208,375
4/12/20,6674,232,439
4/13/20,6934,245,487
4/14/20,7202,263,618
4/15/20,7582,286,668
4/16/20,7918,314,774
4/17/20,8379,332,866
4/18/20,8742,347,981
4/19/20,9287,360,1040
4/20/20,9593,380,1133
4/21/20,9856,401,1297
4/22/20,10169,426,1513
4/23/20,10511,454,1740
4/24/20,10892,494,1944
4/25/20,11273,524,2126
4/26/20,11617,535,2265
4/27/20,11902,562,2466
4/28/20,12218,596,2655
4/29/20,12640,624,3025
4/30/20,12877,644,3236
5/1/20,13105,651,3491
5/2/20,13375,664,3762
5/3/20,13693,678,3945
5/4/20,14006,698,4095
5/5/20,14431,716,4280
5/6/20,14740,733,4655
5/7/20,15047,755,4862
5/8/20,15366,776,5184
5/9/20,15651,785,5437
5/10/20,15996,800,5698
5/11/20,16326,811,5816
5/12/20,16921,839,6131
5/13/20,17204,861,6410
5/14/20,17615,883,6696
5/15/20,18016,907,6918
5/16/20,18257,915,7175
5/17/20,18529,925,7451
5/18/20,18885,936,7628
5/19/20,19268,948,7903
5/20/20,19739,962,8183
5/21/20,20143,972,8452
5/22/20,20619,982,8731
5/23/20,20931,993,8977
5/24/20,21326,996,9194
5/25/20,21631,1007,9276
5/26/20,22074,1024,10020
5/27/20,22473,1028,10330
5/28/20,22825,1038,10560
5/29/20,23155,1051,10692
5/30/20,23571,1061,11016
5/31/20,23786,1064,11271
6/1/20,24165,1074,11449
6/2/20,24395,1092,11726
6/3/20,24687,1115,12014
6/4/20,25048,1117,12227
6/5/20,25410,1137,12410
6/6/20,25986,1153,12641
6/7/20,26561,1157,12855
6/8/20,27160,1166,12998
6/9/20,27560,1183,13196
6/10/20,27842,1206,13411
6/11/20,28201,1215,13696
6/12/20,28577,1222,13805
6/13/20,29017,1237,14104
6/14/20,29392,1247,14226
6/15/20,29788,1256,14383
6/16/20,30195,1272,14654
6/17/20,30701,1286,14921
