Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,2,0,0
3/3/20,2,0,0
3/4/20,5,0,0
3/5/20,8,0,0
3/6/20,13,0,0
3/7/20,20,0,0
3/8/20,30,0,0
3/9/20,30,0,0
3/10/20,41,0,0
3/11/20,59,0,0
3/12/20,59,0,0
3/13/20,112,0,1
3/14/20,169,0,2
3/15/20,245,0,2
3/16/20,331,0,3
3/17/20,448,1,3
3/18/20,448,2,3
3/19/20,785,3,3
3/20/20,1020,6,5
3/21/20,1280,12,5
3/22/20,1600,14,5
3/23/20,2060,23,5
3/24/20,2362,33,22
3/25/20,2995,43,22
3/26/20,3544,60,43
3/27/20,4268,76,43
3/28/20,5170,100,43
3/29/20,5962,119,43
3/30/20,6408,140,43
3/31/20,7443,160,43
4/1/20,8251,187,43
4/2/20,9034,209,68
4/3/20,9886,246,68
4/4/20,10524,266,75
4/5/20,11278,295,75
4/6/20,11730,311,140
4/7/20,12442,345,184
4/8/20,13141,380,196
4/9/20,13956,409,205
4/10/20,15472,435,233
4/11/20,15987,470,266
4/12/20,16585,504,277
4/13/20,16934,535,277
4/14/20,17448,567,347
4/15/20,18091,599,383
4/16/20,18841,629,493
4/17/20,19022,657,519
4/18/20,19685,687,610
4/19/20,20206,714,610
4/20/20,20863,735,610
4/21/20,21379,762,917
4/22/20,21982,785,1143
4/23/20,22353,820,1201
4/24/20,22797,854,1228
4/25/20,23392,880,1277
4/26/20,23864,903,1329
4/27/20,24027,928,1357
4/28/20,24322,948,1389
4/29/20,24505,973,1470
4/30/20,25045,989,1519
5/1/20,25351,1007,1647
5/2/20,25190,1023,1671
5/3/20,25282,1043,1689
5/4/20,25524,1063,1712
5/5/20,25702,1074,1743
5/6/20,26182,1089,2076
5/7/20,26715,1105,2258
5/8/20,27268,1114,2422
5/9/20,27406,1126,2499
5/10/20,27581,1135,2549
5/11/20,27679,1144,2549
5/12/20,27913,1163,3013
5/13/20,28132,1175,3182
5/14/20,28319,1184,3198
5/15/20,28583,1190,3328
5/16/20,28810,1203,3822
5/17/20,29036,1218,4636
5/18/20,29209,1231,6430
5/19/20,29432,1247,6431
5/20/20,29660,1263,6452
5/21/20,29912,1277,6452
5/22/20,30200,1289,7590
5/23/20,30471,1302,7705
5/24/20,30623,1316,17549
5/25/20,30788,1330,17822
5/26/20,31007,1342,18096
5/27/20,31292,1356,18349
5/28/20,31596,1369,18637
5/29/20,31946,1383,18911
5/30/20,32203,1396,19186
5/31/20,32500,1410,19409
6/1/20,32700,1424,19552
6/2/20,32895,1436,19869
6/3/20,33261,1447,20079
6/4/20,33592,1455,20323
6/5/20,33969,1465,20526
6/6/20,34351,1474,20807
6/7/20,34693,1479,20995
6/8/20,34885,1485,21156
6/9/20,35306,1492,21339
6/10/20,35600,1497,21742
6/11/20,35910,1504,22002
6/12/20,36180,1505,22200
6/13/20,36463,1512,22438
6/14/20,36690,1517,22669
6/15/20,37036,1520,22852
6/16/20,37336,1522,23212
6/17/20,37672,1523,23580
