Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,1,0,0
3/1/20,3,0,0
3/2/20,3,0,0
3/3/20,7,0,0
3/4/20,8,0,0
3/5/20,8,0,0
3/6/20,8,0,0
3/7/20,8,0,0
3/8/20,15,0,0
3/9/20,18,0,0
3/10/20,24,0,0
3/11/20,262,0,0
3/12/20,262,0,0
3/13/20,320,0,0
3/14/20,337,0,4
3/15/20,401,0,4
3/16/20,439,0,4
3/17/20,439,0,4
3/18/20,452,0,4
3/19/20,460,0,4
3/20/20,470,0,10
3/21/20,481,0,27
3/22/20,494,0,33
3/23/20,501,0,33
3/24/20,526,0,41
3/25/20,537,0,41
3/26/20,549,0,43
3/27/20,562,0,43
3/28/20,590,1,45
3/29/20,634,1,48
3/30/20,693,1,51
3/31/20,781,2,62
4/1/20,835,2,71
4/2/20,949,3,72
4/3/20,1075,3,93
4/4/20,1325,3,109
4/5/20,1604,4,123
4/6/20,1832,4,131
4/7/20,2057,6,150
4/8/20,2210,6,178
4/9/20,2376,6,206
4/10/20,2512,6,227
4/11/20,2728,6,247
4/12/20,2979,7,275
4/13/20,3231,7,334
4/14/20,3428,7,373
4/15/20,3711,7,406
4/16/20,4103,7,415
4/17/20,4663,7,464
4/18/20,5008,8,510
4/19/20,5448,8,518
4/20/20,6015,9,555
4/21/20,6533,9,614
4/22/20,7141,10,689
4/23/20,7764,10,750
4/24/20,8525,10,809
4/25/20,9358,10,929
4/26/20,10287,10,1012
4/27/20,11244,10,1066
4/28/20,11921,10,1134
4/29/20,12564,10,1243
4/30/20,13409,10,1372
5/1/20,14096,12,1436
5/2/20,14872,12,1534
5/3/20,15551,12,1664
5/4/20,16191,12,1810
5/5/20,17142,12,1924
5/6/20,17972,12,2070
5/7/20,18890,12,2286
5/8/20,20201,12,2370
5/9/20,21331,13,2449
5/10/20,22520,14,2753
5/11/20,23623,14,2840
5/12/20,25149,14,3019
5/13/20,26539,14,3143
5/14/20,28272,14,3356
5/15/20,29425,14,3546
5/16/20,30972,15,3788
5/17/20,32604,15,4370
5/18/20,33969,15,4899
5/19/20,35606,15,5634
5/20/20,37097,16,6600
5/21/20,38651,17,7288
5/22/20,40481,19,7893
5/23/20,42213,21,8513
5/24/20,43714,23,9170
5/25/20,45465,26,10363
5/26/20,47207,28,11844
5/27/20,48947,30,13283
5/28/20,50914,33,15399
5/29/20,52907,36,20604
5/30/20,55262,36,25839
5/31/20,56910,38,30290
6/1/20,58433,40,33437
6/2/20,60259,43,36036
6/3/20,62160,45,37542
6/4/20,63741,45,39468
6/5/20,65495,49,40935
6/6/20,67195,51,42527
6/7/20,68790,54,44338
6/8/20,70158,57,45935
6/9/20,71879,62,47569
6/10/20,73595,66,49413
6/11/20,75071,69,51331
6/12/20,76588,70,53296
6/13/20,78416,70,55252
6/14/20,79602,73,56898
6/15/20,80876,76,58681
6/16/20,82077,80,60461
6/17/20,83174,82,62172
