Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,1,0,0
2/28/20,3,0,0
2/29/20,3,0,0
3/1/20,3,0,0
3/2/20,3,0,0
3/3/20,3,0,0
3/4/20,4,0,1
3/5/20,6,0,1
3/6/20,9,0,1
3/7/20,9,0,3
3/8/20,15,0,3
3/9/20,15,0,3
3/10/20,25,0,3
3/11/20,45,0,6
3/12/20,49,0,6
3/13/20,89,0,7
3/14/20,123,0,9
3/15/20,131,0,9
3/16/20,158,0,9
3/17/20,184,0,16
3/18/20,260,0,19
3/19/20,277,0,25
3/20/20,308,0,25
3/21/20,367,0,52
3/22/20,433,3,64
3/23/20,576,7,64
3/24/20,794,11,79
3/25/20,906,17,86
3/26/20,1029,23,94
3/27/20,1292,26,115
3/28/20,1452,37,139
3/29/20,1815,43,206
3/30/20,2109,65,209
3/31/20,2245,82,220
4/1/20,2460,92,252
4/2/20,2738,115,267
4/3/20,3183,133,283
4/4/20,3613,146,329
4/5/20,3864,151,374
4/6/20,4057,176,406
4/7/20,4417,197,460
4/8/20,4761,220,528
4/9/20,5202,248,647
4/10/20,5467,270,729
4/11/20,5990,291,758
4/12/20,6300,316,852
4/13/20,6633,331,914
4/14/20,6879,351,1051
4/15/20,7216,372,1217
4/16/20,7707,392,1357
4/17/20,8067,411,1508
4/18/20,8418,421,1730
4/19/20,8746,451,1892
4/20/20,8936,478,2017
4/21/20,9242,498,2153
4/22/20,9710,524,2406
4/23/20,10096,545,2478
4/24/20,10417,567,2817
4/25/20,10635,601,2890
4/26/20,11036,619,3054
4/27/20,11339,641,3141
4/28/20,11616,663,3404
4/29/20,11978,693,3569
4/30/20,12240,717,4017
5/1/20,12567,744,4328
5/2/20,12732,771,4547
5/3/20,13163,790,4869
5/4/20,13512,818,5269
5/5/20,13837,841,5454
5/6/20,14107,864,5788
5/7/20,14499,888,6144
5/8/20,14811,923,6423
5/9/20,15131,939,6912
5/10/20,15362,961,7051
5/11/20,15588,982,7245
5/12/20,15778,1002,7685
5/13/20,16002,1036,7961
5/14/20,16247,1053,9053
5/15/20,16437,1070,9370
5/16/20,16704,1094,9574
5/17/20,16871,1107,9890
5/18/20,17036,1120,9930
5/19/20,17191,1137,10166
5/20/20,17387,1147,10356
5/21/20,17585,1156,10581
5/22/20,17712,1166,10777
5/23/20,17857,1176,11187
5/24/20,18070,1185,11399
5/25/20,18283,1205,11630
5/26/20,18429,1216,11874
5/27/20,18594,1227,12162
5/28/20,18791,1235,12629
5/29/20,18982,1248,12829
5/30/20,19133,1259,13046
5/31/20,19257,1266,13256
6/1/20,19398,1276,13426
6/2/20,19517,1288,13526
6/3/20,19669,1296,13800
6/4/20,19907,1305,13919
6/5/20,20103,1316,14145
6/6/20,20290,1322,14419
6/7/20,20479,1333,14638
6/8/20,20604,1339,14826
6/9/20,20749,1354,14910
6/10/20,20945,1360,15103
6/11/20,21182,1369,15283
6/12/20,21404,1380,15445
6/13/20,21679,1394,15635
6/14/20,21999,1410,15719
6/15/20,22165,1427,15817
6/16/20,22415,1437,16071
6/17/20,22760,1451,16117
