Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,5,0,0
3/17/20,7,0,0
3/18/20,8,0,0
3/19/20,8,0,0
3/20/20,17,0,0
3/21/20,17,0,0
3/22/20,19,0,0
3/23/20,36,0,0
3/24/20,40,0,0
3/25/20,41,0,0
3/26/20,50,0,0
3/27/20,54,0,0
3/28/20,60,0,0
3/29/20,70,0,0
3/30/20,70,0,0
3/31/20,75,0,0
4/1/20,82,0,0
4/2/20,84,0,0
4/3/20,89,0,0
4/4/20,102,0,0
4/5/20,104,0,4
4/6/20,105,0,4
4/7/20,105,0,7
4/8/20,110,0,7
4/9/20,110,0,7
4/10/20,118,0,7
4/11/20,120,0,18
4/12/20,126,0,25
4/13/20,127,0,42
4/14/20,134,0,49
4/15/20,136,0,54
4/16/20,138,0,60
4/17/20,143,0,65
4/18/20,144,0,69
4/19/20,147,0,76
4/20/20,147,0,76
4/21/20,150,0,84
4/22/20,153,0,84
4/23/20,154,0,87
4/24/20,176,0,87
4/25/20,183,0,88
4/26/20,191,0,92
4/27/20,207,0,93
4/28/20,212,0,95
4/29/20,225,0,98
4/30/20,243,0,104
5/1/20,249,0,109
5/2/20,255,0,120
5/3/20,259,0,124
5/4/20,261,0,128
5/5/20,261,0,129
5/6/20,268,0,130
5/7/20,271,0,133
5/8/20,273,0,136
5/9/20,280,0,140
5/10/20,284,0,140
5/11/20,285,0,150
5/12/20,286,0,153
5/13/20,287,0,164
5/14/20,287,0,168
5/15/20,287,0,177
5/16/20,289,0,178
5/17/20,292,0,197
5/18/20,297,0,203
5/19/20,308,0,209
5/20/20,314,0,216
5/21/20,320,0,217
5/22/20,321,0,222
5/23/20,325,0,227
5/24/20,327,0,237
5/25/20,336,0,238
5/26/20,339,0,244
5/27/20,346,0,245
5/28/20,349,0,245
5/29/20,355,0,247
5/30/20,359,1,250
5/31/20,370,1,256
6/1/20,377,1,262
6/2/20,384,2,269
6/3/20,397,2,271
6/4/20,410,2,280
6/5/20,420,2,282
6/6/20,431,2,283
6/7/20,439,2,290
6/8/20,451,2,297
6/9/20,463,2,300
6/10/20,476,2,307
6/11/20,494,2,313
6/12/20,510,2,321
6/13/20,541,2,332
6/14/20,582,2,332
6/15/20,612,2,338
6/16/20,636,2,338
6/17/20,639,2,347
