Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,1,0,0
2/28/20,1,0,0
2/29/20,1,0,0
3/1/20,1,0,0
3/2/20,8,0,0
3/3/20,10,1,0
3/4/20,16,1,0
3/5/20,21,1,0
3/6/20,21,1,0
3/7/20,23,1,0
3/8/20,36,1,0
3/9/20,36,1,0
3/10/20,51,2,0
3/11/20,62,2,0
3/12/20,69,3,0
3/13/20,80,5,0
3/14/20,80,5,4
3/15/20,101,5,4
3/16/20,109,7,4
3/17/20,109,7,4
3/18/20,119,11,4
3/19/20,119,11,4
3/20/20,144,14,4
3/21/20,144,20,4
3/22/20,175,20,4
3/23/20,187,20,4
3/24/20,187,21,4
3/25/20,208,21,4
3/26/20,208,21,4
3/27/20,223,21,4
3/28/20,224,22,6
3/29/20,224,22,6
3/30/20,230,25,13
3/31/20,236,26,13
4/1/20,236,26,13
4/2/20,245,30,21
4/3/20,245,30,21
4/4/20,259,32,27
4/5/20,266,32,35
4/6/20,266,32,35
4/7/20,279,34,40
4/8/20,279,34,40
4/9/20,333,34,49
4/10/20,344,34,50
4/11/20,356,35,53
4/12/20,356,35,53
4/13/20,356,35,53
4/14/20,371,36,53
4/15/20,372,36,53
4/16/20,426,38,55
4/17/20,435,39,57
4/18/20,455,39,60
4/19/20,461,39,60
4/20/20,462,39,61
4/21/20,476,40,62
4/22/20,488,40,62
4/23/20,501,40,63
4/24/20,513,40,64
4/25/20,513,40,64
4/26/20,538,41,64
4/27/20,538,41,64
4/28/20,553,41,64
4/29/20,563,41,69
4/30/20,569,41,78
5/1/20,580,41,82
5/2/20,580,41,83
5/3/20,582,41,86
5/4/20,582,41,86
5/5/20,589,41,92
5/6/20,608,41,97
5/7/20,622,41,106
5/8/20,623,41,114
5/9/20,637,41,126
5/10/20,628,41,126
5/11/20,628,41,130
5/12/20,638,41,161
5/13/20,643,41,161
5/14/20,648,41,172
5/15/20,652,41,189
5/16/20,653,41,198
5/17/20,654,41,201
5/18/20,654,41,203
5/19/20,655,41,211
5/20/20,656,41,220
5/21/20,658,41,235
5/22/20,661,41,254
5/23/20,665,42,266
5/24/20,665,42,266
5/25/20,666,42,270
5/26/20,666,42,275
5/27/20,667,42,294
5/28/20,670,42,322
5/29/20,671,42,344
5/30/20,671,42,357
5/31/20,671,42,357
6/1/20,671,42,359
6/2/20,672,42,384
6/3/20,674,42,391
6/4/20,678,42,408
6/5/20,680,42,428
6/6/20,680,42,428
6/7/20,680,42,428
6/8/20,687,42,478
6/9/20,688,42,483
6/10/20,691,42,496
6/11/20,691,42,496
6/12/20,694,42,520
6/13/20,694,42,520
6/14/20,694,42,520
6/15/20,694,42,575
6/16/20,694,42,590
6/17/20,696,42,591
