Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,0,0,0
3/28/20,0,0,0
3/29/20,0,0,0
3/30/20,0,0,0
3/31/20,0,0,0
4/1/20,0,0,0
4/2/20,0,0,0
4/3/20,0,0,0
4/4/20,0,0,0
4/5/20,0,0,0
4/6/20,4,0,0
4/7/20,4,0,0
4/8/20,4,0,0
4/9/20,4,0,0
4/10/20,4,0,0
4/11/20,4,0,0
4/12/20,4,0,0
4/13/20,4,0,0
4/14/20,4,0,0
4/15/20,4,0,0
4/16/20,4,0,0
4/17/20,4,0,0
4/18/20,4,0,0
4/19/20,4,0,0
4/20/20,4,0,0
4/21/20,4,0,0
4/22/20,4,0,0
4/23/20,4,0,0
4/24/20,4,0,0
4/25/20,4,0,0
4/26/20,4,0,0
4/27/20,4,0,0
4/28/20,8,0,4
4/29/20,8,0,4
4/30/20,14,0,4
5/1/20,16,1,4
5/2/20,16,1,4
5/3/20,16,1,4
5/4/20,23,3,4
5/5/20,174,3,4
5/6/20,174,3,4
5/7/20,187,4,4
5/8/20,208,5,4
5/9/20,208,5,4
5/10/20,208,5,4
5/11/20,208,5,4
5/12/20,208,5,4
5/13/20,220,6,4
5/14/20,235,7,4
5/15/20,235,7,4
5/16/20,235,7,4
5/17/20,235,7,4
5/18/20,246,7,4
5/19/20,251,8,4
5/20/20,251,8,4
5/21/20,251,8,4
5/22/20,251,8,4
5/23/20,251,8,4
5/24/20,251,8,4
5/25/20,299,11,4
5/26/20,441,12,68
5/27/20,443,12,68
5/28/20,458,12,68
5/29/20,463,12,68
5/30/20,479,12,68
5/31/20,483,12,68
6/1/20,484,12,68
6/2/20,484,12,68
6/3/20,484,12,68
6/4/20,485,12,68
6/5/20,499,12,68
6/6/20,499,12,68
6/7/20,513,12,68
6/8/20,513,12,68
6/9/20,514,12,76
6/10/20,611,12,135
6/11/20,632,12,146
6/12/20,639,12,156
6/13/20,659,12,176
6/14/20,661,12,177
6/15/20,662,12,177
6/16/20,671,12,182
6/17/20,683,12,188
