Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,5,0,0
3/6/20,5,0,0
3/7/20,5,0,0
3/8/20,11,0,0
3/9/20,15,0,0
3/10/20,20,0,1
3/11/20,21,0,1
3/12/20,45,0,1
3/13/20,86,0,1
3/14/20,103,0,1
3/15/20,103,0,1
3/16/20,118,0,2
3/17/20,171,0,6
3/18/20,171,0,6
3/19/20,274,0,6
3/20/20,344,0,8
3/21/20,392,0,16
3/22/20,511,0,16
3/23/20,562,0,16
3/24/20,767,1,28
3/25/20,900,2,29
3/26/20,1012,3,33
3/27/20,1104,3,35
3/28/20,1203,4,37
3/29/20,1299,8,66
3/30/20,1453,8,115
3/31/20,1563,10,165
4/1/20,1720,16,264
4/2/20,1885,21,328
4/3/20,2039,25,351
4/4/20,2179,29,420
4/5/20,2402,34,488
4/6/20,2605,38,551
4/7/20,2795,41,615
4/8/20,2932,41,631
4/9/20,3287,44,666
4/10/20,3651,47,685
4/11/20,4033,52,720
4/12/20,4462,59,761
4/13/20,4934,65,805
4/14/20,5369,73,889
4/15/20,5862,79,931
4/16/20,6380,83,990
4/17/20,7142,87,1049
4/18/20,8274,92,1329
4/19/20,9362,97,1398
4/20/20,10484,103,1490
4/21/20,11631,109,1640
4/22/20,12772,114,1812
4/23/20,13930,121,1925
4/24/20,15102,127,2049
4/25/20,16299,136,2215
4/26/20,17522,139,2357
4/27/20,18811,144,2531
4/28/20,20077,152,2784
4/29/20,21402,157,2953
4/30/20,22753,162,3163
5/1/20,24097,169,3555
5/2/20,25459,176,3765
5/3/20,27011,184,4134
5/4/20,28656,191,4476
5/5/20,30251,200,5431
5/6/20,31938,209,6783
5/7/20,33731,219,7798
5/8/20,35432,229,9120
5/9/20,37136,239,10144
5/10/20,39048,246,11457
5/11/20,41014,255,12737
5/12/20,42925,264,15257
5/13/20,44830,273,17622
5/14/20,46869,283,19051
5/15/20,49176,292,21869
5/16/20,52016,302,23666
5/17/20,54752,312,25722
5/18/20,57345,320,28748
5/19/20,59854,329,31634
5/20/20,62545,339,33478
5/21/20,65077,351,36040
5/22/20,67719,364,39003
5/23/20,70161,379,41236
5/24/20,72560,390,43520
5/25/20,74795,399,45668
5/26/20,76726,411,48450
5/27/20,78541,425,51022
5/28/20,80185,441,54553
5/29/20,81766,458,57013
5/30/20,83384,480,58883
5/31/20,85261,503,62442
6/1/20,87142,525,64306
6/2/20,89011,549,65790
6/3/20,91182,579,68159
6/4/20,93157,611,68965
6/5/20,95748,642,70616
6/6/20,98869,676,71791
6/7/20,101914,712,72817
6/8/20,105283,746,74524
6/9/20,108571,783,76339
6/10/20,112288,819,77954
6/11/20,116021,857,80019
6/12/20,119942,893,81029
6/13/20,123308,932,82548
6/14/20,127541,972,84720
6/15/20,132048,1011,87890
6/16/20,136315,1052,89540
6/17/20,141234,1091,91662
