Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,1,0,0
3/3/20,2,0,0
3/4/20,4,0,0
3/5/20,4,0,0
3/6/20,4,0,0
3/7/20,4,0,0
3/8/20,4,0,1
3/9/20,4,0,1
3/10/20,4,0,1
3/11/20,4,0,1
3/12/20,4,0,1
3/13/20,10,0,1
3/14/20,10,0,1
3/15/20,24,0,1
3/16/20,24,0,2
3/17/20,26,0,2
3/18/20,31,0,2
3/19/20,31,0,2
3/20/20,38,0,2
3/21/20,47,0,5
3/22/20,67,0,5
3/23/20,79,0,5
3/24/20,86,0,8
3/25/20,99,0,9
3/26/20,105,0,9
3/27/20,119,0,11
3/28/20,130,0,18
3/29/20,142,0,27
3/30/20,162,0,27
3/31/20,175,0,40
4/1/20,190,1,45
4/2/20,195,1,55
4/3/20,207,1,66
4/4/20,219,2,72
4/5/20,222,2,82
4/6/20,226,2,92
4/7/20,237,2,105
4/8/20,244,2,113
4/9/20,250,2,123
4/10/20,265,2,137
4/11/20,278,2,152
4/12/20,280,2,171
4/13/20,291,2,178
4/14/20,299,2,183
4/15/20,314,2,190
4/16/20,335,2,194
4/17/20,342,2,198
4/18/20,350,3,211
4/19/20,367,3,220
4/20/20,377,5,235
4/21/20,412,5,242
4/22/20,442,6,253
4/23/20,479,6,257
4/24/20,545,7,262
4/25/20,614,7,276
4/26/20,671,9,283
4/27/20,736,9,284
4/28/20,823,9,296
4/29/20,882,9,315
4/30/20,933,9,334
5/1/20,1024,9,356
5/2/20,1115,9,368
5/3/20,1182,9,372
5/4/20,1271,10,415
5/5/20,1329,11,470
5/6/20,1433,12,493
5/7/20,1492,13,562
5/8/20,1551,13,611
5/9/20,1634,17,643
5/10/20,1709,19,650
5/11/20,1886,19,715
5/12/20,1995,19,742
5/13/20,2105,21,782
5/14/20,2189,23,842
5/15/20,2310,25,890
5/16/20,2429,25,949
5/17/20,2480,25,973
5/18/20,2544,26,1076
5/19/20,2617,30,1133
5/20/20,2714,30,1186
5/21/20,2812,33,1251
5/22/20,2909,33,1311
5/23/20,2976,34,1416
5/24/20,3047,35,1456
5/25/20,3130,35,1515
5/26/20,3161,36,1565
5/27/20,3253,38,1586
5/28/20,3348,39,1686
5/29/20,3429,41,1738
5/30/20,3535,42,1761
5/31/20,3645,42,1801
6/1/20,3739,42,1858
6/2/20,3836,43,1954
6/3/20,3932,45,2063
6/4/20,4021,45,2162
6/5/20,4155,45,2276
6/6/20,4249,47,2512
6/7/20,4328,49,2588
6/8/20,4427,49,2699
6/9/20,4516,52,2809
6/10/20,4640,52,2885
6/11/20,4759,55,2994
6/12/20,4851,56,3100
6/13/20,4996,60,3228
6/14/20,5090,60,3344
6/15/20,5173,64,3424
6/16/20,5247,70,3525
6/17/20,5369,73,3606
