Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,5,0,0
3/11/20,12,0,0
3/12/20,19,0,0
3/13/20,35,0,0
3/14/20,46,0,0
3/15/20,48,0,0
3/16/20,55,0,1
3/17/20,65,0,1
3/18/20,83,0,1
3/19/20,103,0,1
3/20/20,135,1,1
3/21/20,171,1,1
3/22/20,222,2,1
3/23/20,249,3,1
3/24/20,303,3,15
3/25/20,384,4,15
3/26/20,384,1,0
3/27/20,457,1,0
3/28/20,659,10,0
3/29/20,741,13,0
3/30/20,785,16,0
3/31/20,900,16,0
4/1/20,1060,28,0
4/2/20,1171,31,0
4/3/20,1476,39,0
4/4/20,1624,44,0
4/5/20,1908,51,0
4/6/20,2200,58,0
4/7/20,2447,61,0
4/8/20,2666,65,0
4/9/20,2867,66,0
4/10/20,3105,71,0
4/11/20,3380,74,0
4/12/20,3630,80,0
4/13/20,4054,85,0
4/14/20,4465,94,0
4/15/20,4873,99,0
4/16/20,5318,103,0
4/17/20,5690,110,534
4/18/20,5994,117,637
4/19/20,6318,122,753
4/20/20,6630,125,870
4/21/20,6890,130,977
4/22/20,7144,134,1025
4/23/20,7276,139,1067
4/24/20,7483,144,1094
4/25/20,7779,151,1152
4/26/20,8042,156,1182
4/27/20,8275,162,1209
4/28/20,8497,168,1260
4/29/20,8724,173,1292
4/30/20,9009,179,1343
5/1/20,9009,179,1343
5/2/20,9362,189,1426
5/3/20,9464,193,1551
5/4/20,9557,197,1574
5/5/20,9677,200,1723
5/6/20,9791,203,1971
5/7/20,9848,206,2160
5/8/20,9943,209,2453
5/9/20,10032,215,2732
5/10/20,10032,215,2732
5/11/20,10176,218,3290
5/12/20,10243,220,3600
5/13/20,10295,222,3824
5/14/20,10374,224,4084
5/15/20,10438,225,4301
5/16/20,10496,228,4479
5/17/20,10610,230,4713
5/18/20,10699,231,4799
5/19/20,10733,234,4904
5/20/20,10833,235,5067
5/21/20,10919,237,5370
5/22/20,11024,237,5541
5/23/20,11092,238,5699
5/24/20,11159,238,5857
5/25/20,11193,239,5920
5/26/20,11227,239,6067
5/27/20,11275,240,6277
5/28/20,11300,241,6438
5/29/20,11354,242,6524
5/30/20,11381,242,6606
5/31/20,11412,243,6698
6/1/20,11430,244,6726
6/2/20,11454,245,6766
6/3/20,11523,245,6852
6/4/20,11571,246,6910
6/5/20,11667,247,6931
6/6/20,11741,248,11056
6/7/20,11823,249,11348
6/8/20,11896,250,11189
6/9/20,11965,250,11268
6/10/20,12031,251,11348
6/11/20,12102,252,11362
6/12/20,12175,252,11411
6/13/20,12251,253,11465
6/14/20,12310,254,11511
6/15/20,12367,255,11561
6/16/20,12426,256,11624
6/17/20,12522,257,11697
