Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,0,0,0
3/28/20,0,0,0
3/29/20,0,0,0
3/30/20,0,0,0
3/31/20,1,0,0
4/1/20,2,0,0
4/2/20,2,0,0
4/3/20,2,0,0
4/4/20,4,0,0
4/5/20,6,0,0
4/6/20,6,0,0
4/7/20,6,0,0
4/8/20,7,0,0
4/9/20,7,0,0
4/10/20,8,0,0
4/11/20,8,0,0
4/12/20,10,0,0
4/13/20,10,0,0
4/14/20,11,0,0
4/15/20,13,0,0
4/16/20,15,0,0
4/17/20,26,0,0
4/18/20,30,0,0
4/19/20,35,0,6
4/20/20,43,0,6
4/21/20,50,0,6
4/22/20,61,0,6
4/23/20,64,1,10
4/24/20,82,2,10
4/25/20,82,2,10
4/26/20,93,4,10
4/27/20,93,4,10
4/28/20,104,4,12
4/29/20,104,4,12
4/30/20,124,7,21
5/1/20,136,7,21
5/2/20,155,8,21
5/3/20,166,8,29
5/4/20,178,9,37
5/5/20,199,11,43
5/6/20,225,14,54
5/7/20,231,16,54
5/8/20,257,17,54
5/9/20,291,18,58
5/10/20,307,18,67
5/11/20,338,19,72
5/12/20,338,19,72
5/13/20,387,26,97
5/14/20,408,26,97
5/15/20,447,27,97
5/16/20,462,29,106
5/17/20,505,32,141
5/18/20,519,33,148
5/19/20,534,33,167
5/20/20,570,34,205
5/21/20,585,35,205
5/22/20,606,38,230
5/23/20,621,39,241
5/24/20,707,40,241
5/25/20,735,42,293
5/26/20,754,44,297
5/27/20,782,45,297
5/28/20,812,45,361
5/29/20,829,45,386
5/30/20,852,46,415
5/31/20,861,46,454
6/1/20,865,46,475
6/2/20,896,46,480
6/3/20,909,47,491
6/4/20,914,47,491
6/5/20,929,47,580
6/6/20,946,48,600
6/7/20,969,48,608
6/8/20,1001,49,611
6/9/20,1025,50,621
6/10/20,1062,50,637
6/11/20,1085,50,642
6/12/20,1103,51,648
6/13/20,1132,51,670
6/14/20,1169,51,680
6/15/20,1176,51,683
6/16/20,1225,51,686
6/17/20,1249,51,707
