Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,7,0,0
1/29/20,7,0,0
1/30/20,10,0,0
1/31/20,13,0,0
2/1/20,16,0,0
2/2/20,18,0,0
2/3/20,18,0,0
2/4/20,24,0,0
2/5/20,28,0,0
2/6/20,28,0,0
2/7/20,30,0,0
2/8/20,33,0,2
2/9/20,40,0,2
2/10/20,45,0,2
2/11/20,47,0,9
2/12/20,50,0,15
2/13/20,58,0,15
2/14/20,67,0,17
2/15/20,72,0,18
2/16/20,75,0,18
2/17/20,77,0,24
2/18/20,81,0,29
2/19/20,84,0,34
2/20/20,84,0,34
2/21/20,85,0,37
2/22/20,85,0,37
2/23/20,89,0,51
2/24/20,89,0,51
2/25/20,91,0,53
2/26/20,93,0,62
2/27/20,93,0,62
2/28/20,93,0,62
2/29/20,102,0,72
3/1/20,106,0,72
3/2/20,108,0,78
3/3/20,110,0,78
3/4/20,110,0,78
3/5/20,117,0,78
3/6/20,130,0,78
3/7/20,138,0,78
3/8/20,150,0,78
3/9/20,150,0,78
3/10/20,160,0,78
3/11/20,178,0,96
3/12/20,178,0,96
3/13/20,200,0,97
3/14/20,212,0,105
3/15/20,226,0,105
3/16/20,243,0,109
3/17/20,266,0,114
3/18/20,313,0,114
3/19/20,345,0,114
3/20/20,385,0,124
3/21/20,432,2,140
3/22/20,455,2,144
3/23/20,509,2,144
3/24/20,558,2,156
3/25/20,631,2,160
3/26/20,683,2,172
3/27/20,732,2,183
3/28/20,802,2,198
3/29/20,844,3,212
3/30/20,879,3,228
3/31/20,926,3,240
4/1/20,1000,3,245
4/2/20,1049,4,266
4/3/20,1114,5,282
4/4/20,1189,6,297
4/5/20,1309,6,320
4/6/20,1375,6,344
4/7/20,1481,6,377
4/8/20,1623,6,406
4/9/20,1910,6,460
4/10/20,2108,7,492
4/11/20,2299,8,528
4/12/20,2532,8,560
4/13/20,2918,9,586
4/14/20,3252,10,611
4/15/20,3699,10,652
4/16/20,4427,10,683
4/17/20,5050,11,708
4/18/20,5992,11,740
4/19/20,6588,11,768
4/20/20,8014,11,801
4/21/20,9125,11,839
4/22/20,10141,12,896
4/23/20,11178,12,924
4/24/20,12075,12,956
4/25/20,12693,12,1002
4/26/20,13624,12,1060
4/27/20,14423,14,1095
4/28/20,14951,14,1128
4/29/20,15641,14,1188
4/30/20,16169,15,1244
5/1/20,17101,16,1268
5/2/20,17548,17,1347
5/3/20,18205,18,1408
5/4/20,18778,18,1457
5/5/20,19410,18,1519
5/6/20,20198,20,1634
5/7/20,20939,20,1712
5/8/20,21707,20,2040
5/9/20,22460,20,2296
5/10/20,23336,20,2721
5/11/20,23822,21,3225
5/12/20,24671,21,3851
5/13/20,25346,21,4809
5/14/20,26098,21,5973
5/15/20,26891,21,7248
5/16/20,27356,22,8342
5/17/20,28038,22,9340
5/18/20,28343,22,9835
5/19/20,28794,22,10365
5/20/20,29364,22,11207
5/21/20,29812,23,12117
5/22/20,30426,23,12995
5/23/20,31068,23,13882
5/24/20,31616,23,14876
5/25/20,31960,23,15738
5/26/20,32343,23,16444
5/27/20,32876,23,17276
5/28/20,33249,23,18294
5/29/20,33860,23,19631
5/30/20,34366,23,20727
5/31/20,34884,23,21699
6/1/20,35292,24,22466
6/2/20,35836,24,23175
6/3/20,36405,24,23582
6/4/20,36922,24,23904
6/5/20,37183,24,24209
6/6/20,37527,25,24559
6/7/20,37910,25,24886
6/8/20,38296,25,25368
6/9/20,38514,25,25877
6/10/20,38965,25,26532
6/11/20,39387,25,27286
6/12/20,39850,25,28040
6/13/20,40197,26,28808
6/14/20,40604,26,29589
6/15/20,40818,26,30366
6/16/20,40969,26,31163
6/17/20,41216,26,31938
