Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,7,0,0
3/11/20,10,0,0
3/12/20,16,0,0
3/13/20,32,0,0
3/14/20,44,0,0
3/15/20,54,0,0
3/16/20,63,0,0
3/17/20,72,0,0
3/18/20,105,1,0
3/19/20,123,1,0
3/20/20,137,1,0
3/21/20,178,1,0
3/22/20,185,0,7
3/23/20,186,0,7
3/24/20,204,0,7
3/25/20,216,0,7
3/26/20,226,0,2
3/27/20,269,0,2
3/28/20,292,0,2
3/29/20,314,0,2
3/30/20,336,0,7
3/31/20,363,0,3
4/1/20,400,1,3
4/2/20,426,1,5
4/3/20,450,1,10
4/4/20,471,1,10
4/5/20,485,1,10
4/6/20,534,2,8
4/7/20,581,2,13
4/8/20,682,2,16
4/9/20,701,2,23
4/10/20,715,2,23
4/11/20,728,2,23
4/12/20,742,2,23
4/13/20,769,2,107
4/14/20,835,2,113
4/15/20,863,6,151
4/16/20,977,8,167
4/17/20,1049,9,175
4/18/20,1089,11,213
4/19/20,1161,12,229
4/20/20,1173,13,251
4/21/20,1199,14,258
4/22/20,1244,14,284
4/23/20,1325,15,288
4/24/20,1360,17,355
4/25/20,1373,17,386
4/26/20,1379,18,394
4/27/20,1381,18,403
4/28/20,1384,20,423
4/29/20,1391,22,484
4/30/20,1396,23,524
5/1/20,1403,23,558
5/2/20,1407,24,608
5/3/20,1408,24,619
5/4/20,1413,25,643
5/5/20,1421,25,741
5/6/20,1429,25,762
5/7/20,1445,26,806
5/8/20,1455,26,905
5/9/20,1455,26,919
5/10/20,1457,26,941
5/11/20,1457,26,959
5/12/20,1465,27,983
5/13/20,1469,27,1060
5/14/20,1477,27,1112
5/15/20,1480,27,1131
5/16/20,1493,28,1151
5/17/20,1494,28,1163
5/18/20,1495,28,1185
5/19/20,1495,28,1192
5/20/20,1496,28,1231
5/21/20,1502,28,1245
5/22/20,1503,28,1256
5/23/20,1504,28,1280
5/24/20,1509,28,1301
5/25/20,1511,28,1307
5/26/20,1513,28,1322
5/27/20,1515,28,1327
5/28/20,1520,28,1332
5/29/20,1520,28,1338
5/30/20,1521,28,1356
5/31/20,1521,28,1366
6/1/20,1522,28,1368
6/2/20,1522,28,1372
6/3/20,1525,28,1375
6/4/20,1526,28,1376
6/5/20,1526,28,1379
6/6/20,1528,28,1379
6/7/20,1528,28,1389
6/8/20,1530,28,1396
6/9/20,1531,28,1402
6/10/20,1533,28,1404
6/11/20,1541,28,1409
6/12/20,1542,28,1409
6/13/20,1545,28,1410
6/14/20,1548,28,1410
6/15/20,1552,28,1410
6/16/20,1552,28,1426
6/17/20,1561,28,1437
