Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,2,0,0
3/6/20,7,0,0
3/7/20,7,0,0
3/8/20,16,0,0
3/9/20,16,0,0
3/10/20,31,0,0
3/11/20,57,0,0
3/12/20,89,0,0
3/13/20,141,0,0
3/14/20,181,1,0
3/15/20,219,1,0
3/16/20,253,1,0
3/17/20,275,1,0
3/18/20,275,1,0
3/19/20,286,1,0
3/20/20,341,1,0
3/21/20,383,1,0
3/22/20,414,2,0
3/23/20,442,3,0
3/24/20,480,4,0
3/25/20,528,5,10
3/26/20,562,6,10
3/27/20,632,9,10
3/28/20,684,9,10
3/29/20,730,11,10
3/30/20,756,11,10
3/31/20,802,15,10
4/1/20,841,15,10
4/2/20,897,17,70
4/3/20,934,20,70
4/4/20,977,22,79
4/5/20,997,28,79
4/6/20,1021,30,102
4/7/20,1059,36,102
4/8/20,1091,40,120
4/9/20,1124,43,128
4/10/20,1160,45,137
4/11/20,1188,50,148
4/12/20,1205,53,150
4/13/20,1212,55,152
4/14/20,1220,56,152
4/15/20,1248,61,165
4/16/20,1268,61,174
4/17/20,1304,66,174
4/18/20,1317,70,190
4/19/20,1330,74,192
4/20/20,1335,77,193
4/21/20,1344,77,197
4/22/20,1353,79,205
4/23/20,1366,79,211
4/24/20,1373,80,211
4/25/20,1388,81,219
4/26/20,1396,82,221
4/27/20,1402,83,221
4/28/20,1408,86,223
4/29/20,1418,89,230
4/30/20,1429,91,233
5/1/20,1434,92,233
5/2/20,1439,94,239
5/3/20,1439,96,241
5/4/20,1439,97,241
5/5/20,1445,98,244
5/6/20,1448,99,246
5/7/20,1449,99,247
5/8/20,1450,100,252
5/9/20,1454,101,255
5/10/20,1457,102,256
5/11/20,1460,102,256
5/12/20,1461,102,259
5/13/20,1463,103,260
5/14/20,1464,103,267
5/15/20,1465,103,270
5/16/20,1465,103,272
5/17/20,1466,104,273
5/18/20,1466,104,1335
5/19/20,1467,104,1338
5/20/20,1468,105,1340
5/21/20,1468,106,1340
5/22/20,1468,106,1340
5/23/20,1468,106,1340
5/24/20,1468,107,1340
5/25/20,1469,107,1346
5/26/20,1469,108,1346
5/27/20,1471,108,1354
5/28/20,1473,108,1356
5/29/20,1473,108,1357
5/30/20,1473,108,1357
5/31/20,1473,108,1358
6/1/20,1473,109,1358
6/2/20,1475,109,1358
6/3/20,1477,109,1358
6/4/20,1477,109,1359
6/5/20,1479,109,1359
6/6/20,1484,109,1359
6/7/20,1485,109,1359
6/8/20,1485,109,1359
6/9/20,1486,109,1359
6/10/20,1488,109,1359
6/11/20,1488,109,1359
6/12/20,1490,109,1359
6/13/20,1492,109,1359
6/14/20,1495,109,1359
6/15/20,1496,109,1359
6/16/20,1499,109,1359
6/17/20,1503,109,1359
