Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,1,0,0
3/23/20,1,0,0
3/24/20,1,0,0
3/25/20,1,0,0
3/26/20,2,0,0
3/27/20,3,0,0
3/28/20,3,0,0
3/29/20,3,0,0
3/30/20,3,0,0
3/31/20,5,0,1
4/1/20,5,0,1
4/2/20,5,0,1
4/3/20,7,0,1
4/4/20,7,0,1
4/5/20,7,0,1
4/6/20,7,0,1
4/7/20,8,0,1
4/8/20,12,1,1
4/9/20,12,1,1
4/10/20,21,1,1
4/11/20,21,1,1
4/12/20,25,1,2
4/13/20,60,2,2
4/14/20,60,2,2
4/15/20,80,5,2
4/16/20,80,5,2
4/17/20,116,6,2
4/18/20,135,7,2
4/19/20,164,7,3
4/20/20,237,8,4
4/21/20,286,8,4
4/22/20,286,8,4
4/23/20,328,16,8
4/24/20,328,16,8
4/25/20,390,18,8
4/26/20,436,23,10
4/27/20,480,26,10
4/28/20,528,28,19
4/29/20,582,28,20
4/30/20,601,28,31
5/1/20,601,28,31
5/2/20,671,31,34
5/3/20,722,32,44
5/4/20,756,35,61
5/5/20,835,38,75
5/6/20,873,39,87
5/7/20,928,44,106
5/8/20,928,44,106
5/9/20,997,48,110
5/10/20,1054,51,118
5/11/20,1089,52,121
5/12/20,1170,52,126
5/13/20,1219,52,130
5/14/20,1284,53,135
5/15/20,1284,53,135
5/16/20,1357,55,148
5/17/20,1421,56,152
5/18/20,1455,57,163
5/19/20,1502,59,178
5/20/20,1573,61,188
5/21/20,1594,61,204
5/22/20,1594,61,204
5/23/20,1594,61,204
5/24/20,1594,61,204
5/25/20,1689,66,235
5/26/20,1711,67,253
5/27/20,1731,67,265
5/28/20,1828,72,310
5/29/20,1828,72,310
5/30/20,1916,73,327
5/31/20,1976,78,348
6/1/20,2023,79,361
6/2/20,2089,79,361
6/3/20,2146,79,406
6/4/20,2204,79,418
6/5/20,2204,79,418
6/6/20,2289,82,431
6/7/20,2334,83,441
6/8/20,2368,84,470
6/9/20,2416,85,489
6/10/20,2452,85,506
6/11/20,2513,85,532
6/12/20,2513,85,532
6/13/20,2579,87,559
6/14/20,2618,88,577
6/15/20,2642,88,622
6/16/20,2658,88,649
6/17/20,2696,88,685
