Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,3,0,0
3/9/20,3,0,0
3/10/20,7,0,0
3/11/20,13,0,0
3/12/20,17,0,0
3/13/20,24,0,0
3/14/20,38,0,0
3/15/20,51,0,0
3/16/20,62,0,0
3/17/20,62,0,0
3/18/20,116,0,0
3/19/20,150,0,0
3/20/20,202,0,0
3/21/20,240,0,0
3/22/20,274,0,0
3/23/20,402,0,0
3/24/20,554,0,4
3/25/20,709,0,12
3/26/20,927,0,12
3/27/20,1170,1,31
3/28/20,1187,1,31
3/29/20,1280,2,31
3/30/20,1326,3,31
3/31/20,1353,5,31
4/1/20,1380,5,50
4/2/20,1462,5,50
4/3/20,1505,9,95
4/4/20,1585,9,95
4/5/20,1655,11,95
4/6/20,1686,12,95
4/7/20,1749,13,95
4/8/20,1845,18,95
4/9/20,1934,18,95
4/10/20,2003,24,410
4/11/20,2028,25,410
4/12/20,2173,25,410
4/13/20,2272,27,410
4/14/20,2415,27,410
4/15/20,2506,34,410
4/16/20,2605,48,903
4/17/20,2783,50,903
4/18/20,3034,52,903
4/19/20,3158,54,903
4/20/20,3300,58,1055
4/21/20,3465,58,1055
4/22/20,3635,65,1055
4/23/20,3953,75,1473
4/24/20,4220,79,1473
4/25/20,4361,86,1473
4/26/20,4546,87,1473
4/27/20,4793,90,1473
4/28/20,4996,93,2073
4/29/20,5350,103,2073
4/30/20,5647,103,2073
5/1/20,5951,116,2382
5/2/20,6336,123,2549
5/3/20,6783,131,2549
5/4/20,7220,138,2746
5/5/20,7572,148,2746
5/6/20,7808,153,3153
5/7/20,8232,161,3153
5/8/20,8895,178,3153
5/9/20,9420,186,3983
5/10/20,10015,194,4173
5/11/20,10652,206,4357
5/12/20,11350,206,4357
5/13/20,12074,219,4745
5/14/20,12739,238,5676
5/15/20,13524,247,6083
5/16/20,14355,261,6478
5/17/20,15515,264,7006
5/18/20,16433,286,7298
5/19/20,17200,312,7960
5/20/20,18003,339,8950
5/21/20,19137,369,8950
5/22/20,20125,397,10104
5/23/20,21343,407,10104
5/24/20,22583,429,11100
5/25/20,23615,481,11917
5/26/20,24264,524,12741
5/27/20,25937,552,13451
5/28/20,27403,577,14370
5/29/20,29240,611,15093
5/30/20,30967,643,16116
5/31/20,32683,683,16809
6/1/20,34357,705,17291
6/2/20,35812,755,18313
6/3/20,37525,792,19682
6/4/20,40792,848,21311
6/5/20,43434,908,23088
6/6/20,45973,952,24258
6/7/20,48285,998,24364
6/8/20,50879,1080,26099
6/9/20,52991,1162,29006
6/10/20,55421,1210,31505
6/11/20,58568,1284,33252
6/12/20,61927,1354,35006
6/13/20,65736,1423,36850
6/14/20,70038,1480,38531
6/15/20,73533,1568,39867
6/16/20,76334,1625,42063
6/17/20,80412,1674,44331
