Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,1,0,0
1/28/20,1,0,0
1/29/20,1,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,1
2/9/20,1,0,1
2/10/20,1,0,1
2/11/20,1,0,1
2/12/20,1,0,1
2/13/20,1,0,1
2/14/20,1,0,1
2/15/20,1,0,1
2/16/20,1,0,1
2/17/20,1,0,1
2/18/20,1,0,1
2/19/20,1,0,1
2/20/20,1,0,1
2/21/20,1,0,1
2/22/20,1,0,1
2/23/20,1,0,1
2/24/20,1,0,1
2/25/20,1,0,1
2/26/20,1,0,1
2/27/20,1,0,1
2/28/20,1,0,1
2/29/20,1,0,1
3/1/20,1,0,1
3/2/20,1,0,1
3/3/20,1,0,1
3/4/20,1,0,1
3/5/20,1,0,1
3/6/20,1,0,1
3/7/20,1,0,1
3/8/20,1,0,1
3/9/20,1,0,1
3/10/20,1,0,1
3/11/20,2,0,1
3/12/20,2,0,1
3/13/20,6,0,1
3/14/20,10,0,1
3/15/20,18,0,1
3/16/20,28,0,1
3/17/20,44,0,1
3/18/20,51,0,1
3/19/20,60,0,3
3/20/20,73,0,3
3/21/20,77,0,1
3/22/20,82,0,3
3/23/20,97,0,3
3/24/20,102,0,2
3/25/20,102,0,3
3/26/20,106,0,7
3/27/20,106,0,7
3/28/20,113,1,9
3/29/20,117,1,11
3/30/20,122,2,15
3/31/20,143,2,17
4/1/20,146,3,21
4/2/20,151,4,21
4/3/20,159,4,24
4/4/20,166,5,27
4/5/20,176,5,33
4/6/20,178,5,38
4/7/20,185,6,42
4/8/20,189,7,44
4/9/20,190,7,49
4/10/20,190,7,54
4/11/20,198,7,54
4/12/20,210,7,56
4/13/20,217,7,56
4/14/20,233,7,61
4/15/20,238,7,63
4/16/20,238,7,68
4/17/20,244,7,77
4/18/20,254,7,86
4/19/20,271,7,96
4/20/20,304,7,98
4/21/20,310,7,102
4/22/20,330,7,105
4/23/20,368,7,107
4/24/20,420,7,109
4/25/20,460,7,118
4/26/20,523,7,120
4/27/20,588,7,126
4/28/20,619,7,134
4/29/20,649,7,136
4/30/20,663,7,154
5/1/20,690,7,162
5/2/20,705,7,172
5/3/20,718,7,184
5/4/20,751,8,194
5/5/20,771,9,213
5/6/20,797,9,215
5/7/20,824,9,232
5/8/20,835,9,240
5/9/20,847,9,260
5/10/20,863,9,321
5/11/20,869,9,343
5/12/20,889,9,366
5/13/20,915,9,382
5/14/20,925,9,445
5/15/20,935,9,477
5/16/20,960,9,520
5/17/20,981,9,538
5/18/20,992,9,559
5/19/20,1027,9,569
5/20/20,1028,9,584
5/21/20,1055,9,604
5/22/20,1068,9,620
5/23/20,1089,9,660
5/24/20,1141,9,674
5/25/20,1182,10,695
5/26/20,1319,10,712
5/27/20,1469,10,732
5/28/20,1530,10,745
5/29/20,1558,10,754
5/30/20,1620,10,781
5/31/20,1633,10,801
6/1/20,1643,11,811
6/2/20,1683,11,823
6/3/20,1749,11,836
6/4/20,1797,11,839
6/5/20,1801,11,858
6/6/20,1814,11,891
6/7/20,1835,11,941
6/8/20,1857,11,990
6/9/20,1859,11,1057
6/10/20,1869,11,1122
6/11/20,1877,11,1150
6/12/20,1880,11,1196
6/13/20,1884,11,1252
6/14/20,1889,11,1287
6/15/20,1905,11,1342
6/16/20,1915,11,1371
6/17/20,1924,11,1397
