Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,1,0
3/14/20,1,1,0
3/15/20,1,1,0
3/16/20,1,1,0
3/17/20,1,1,0
3/18/20,2,1,0
3/19/20,2,1,0
3/20/20,2,1,0
3/21/20,2,1,0
3/22/20,2,1,0
3/23/20,2,1,0
3/24/20,3,1,0
3/25/20,3,1,0
3/26/20,3,1,0
3/27/20,3,1,0
3/28/20,5,1,0
3/29/20,6,1,0
3/30/20,6,2,0
3/31/20,7,2,1
4/1/20,7,2,2
4/2/20,8,2,2
4/3/20,10,2,2
4/4/20,10,2,2
4/5/20,12,2,2
4/6/20,12,2,2
4/7/20,14,2,2
4/8/20,14,2,2
4/9/20,15,2,2
4/10/20,17,2,2
4/11/20,19,2,2
4/12/20,19,2,2
4/13/20,29,4,4
4/14/20,32,5,4
4/15/20,32,5,4
4/16/20,32,5,4
4/17/20,33,6,4
4/18/20,66,10,6
4/19/20,66,10,6
4/20/20,107,12,8
4/21/20,107,12,8
4/22/20,140,13,12
4/23/20,174,16,14
4/24/20,174,16,14
4/25/20,213,17,19
4/26/20,237,21,20
4/27/20,275,22,21
4/28/20,318,25,31
4/29/20,375,28,32
4/30/20,442,31,39
5/1/20,533,36,46
5/2/20,592,41,52
5/3/20,592,41,52
5/4/20,678,41,61
5/5/20,778,45,70
5/6/20,852,49,80
5/7/20,930,52,92
5/8/20,1111,59,102
5/9/20,1164,64,119
5/10/20,1365,70,149
5/11/20,1526,74,162
5/12/20,1661,80,173
5/13/20,1818,90,198
5/14/20,1818,90,198
5/15/20,1964,91,205
5/16/20,2289,97,222
5/17/20,2289,97,222
5/18/20,2591,105,247
5/19/20,2728,111,286
5/20/20,2728,111,286
5/21/20,3138,121,309
5/22/20,3378,137,372
5/23/20,3628,146,424
5/24/20,3820,165,458
5/25/20,3976,170,503
5/26/20,3976,170,503
5/27/20,4346,195,749
5/28/20,4346,195,749
5/29/20,4521,233,816
5/30/20,4800,262,1272
5/31/20,5026,286,1423
6/1/20,5173,298,1522
6/2/20,5310,307,1625
6/3/20,5499,314,1711
6/4/20,5714,333,1825
6/5/20,5865,347,1924
6/6/20,6081,359,2014
6/7/20,6081,359,2014
6/8/20,6242,372,2059
6/9/20,6427,389,2127
6/10/20,6582,401,2202
6/11/20,6730,413,2278
6/12/20,6879,433,2416
6/13/20,7007,447,2556
6/14/20,7220,459,2610
6/15/20,7435,468,2720
6/16/20,7740,477,2820
6/17/20,8020,487,2966
