Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,4,0,0
3/21/20,4,0,0
3/22/20,5,0,0
3/23/20,5,0,0
3/24/20,7,0,0
3/25/20,8,0,0
3/26/20,8,0,0
3/27/20,8,0,0
3/28/20,8,0,0
3/29/20,8,0,0
3/30/20,8,0,0
3/31/20,9,0,0
4/1/20,10,0,0
4/2/20,10,0,0
4/3/20,10,1,0
4/4/20,10,1,0
4/5/20,10,1,0
4/6/20,10,1,0
4/7/20,10,1,0
4/8/20,10,1,3
4/9/20,10,1,4
4/10/20,10,1,4
4/11/20,10,1,4
4/12/20,10,1,4
4/13/20,10,1,6
4/14/20,10,1,6
4/15/20,10,1,6
4/16/20,10,1,6
4/17/20,10,1,6
4/18/20,10,1,6
4/19/20,10,1,6
4/20/20,10,1,6
4/21/20,10,1,6
4/22/20,10,1,6
4/23/20,10,1,6
4/24/20,10,1,7
4/25/20,10,1,7
4/26/20,10,1,7
4/27/20,10,1,7
4/28/20,10,1,7
4/29/20,10,1,8
4/30/20,10,1,8
5/1/20,10,1,8
5/2/20,10,1,8
5/3/20,10,1,9
5/4/20,10,1,9
5/5/20,10,1,9
5/6/20,10,1,9
5/7/20,10,1,9
5/8/20,10,1,9
5/9/20,10,1,9
5/10/20,10,1,9
5/11/20,10,1,9
5/12/20,10,1,9
5/13/20,10,1,9
5/14/20,10,1,9
5/15/20,10,1,9
5/16/20,10,1,9
5/17/20,10,1,9
5/18/20,11,1,9
5/19/20,11,1,9
5/20/20,11,1,9
5/21/20,11,1,9
5/22/20,11,1,9
5/23/20,11,1,9
5/24/20,11,1,9
5/25/20,11,1,9
5/26/20,11,1,9
5/27/20,12,1,9
5/28/20,12,1,9
5/29/20,12,1,9
5/30/20,14,1,9
5/31/20,23,1,9
6/1/20,44,1,9
6/2/20,54,1,9
6/3/20,74,1,9
6/4/20,82,1,9
6/5/20,90,1,9
6/6/20,100,1,9
6/7/20,122,1,9
6/8/20,128,2,9
6/9/20,137,2,9
6/10/20,144,2,9
6/11/20,168,2,9
6/12/20,187,3,9
6/13/20,196,3,9
6/14/20,208,3,9
6/15/20,229,5,48
6/16/20,236,6,48
6/17/20,261,6,48
