Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,1,0,0
2/3/20,1,0,0
2/4/20,1,0,0
2/5/20,1,0,0
2/6/20,1,0,0
2/7/20,1,0,0
2/8/20,1,0,0
2/9/20,1,0,0
2/10/20,1,0,0
2/11/20,1,0,0
2/12/20,1,0,0
2/13/20,1,0,0
2/14/20,1,0,0
2/15/20,1,0,0
2/16/20,1,0,0
2/17/20,1,0,0
2/18/20,1,0,0
2/19/20,1,0,0
2/20/20,1,0,0
2/21/20,1,0,0
2/22/20,1,0,0
2/23/20,1,0,0
2/24/20,1,0,0
2/25/20,1,0,0
2/26/20,2,0,0
2/27/20,7,0,0
2/28/20,7,0,0
2/29/20,12,0,0
3/1/20,14,0,0
3/2/20,15,0,0
3/3/20,21,0,0
3/4/20,35,0,0
3/5/20,94,0,0
3/6/20,101,0,0
3/7/20,161,0,0
3/8/20,203,0,0
3/9/20,248,0,0
3/10/20,355,0,0
3/11/20,500,1,0
3/12/20,599,1,0
3/13/20,814,1,0
3/14/20,961,2,0
3/15/20,1022,3,0
3/16/20,1103,6,0
3/17/20,1190,7,0
3/18/20,1279,10,0
3/19/20,1439,11,0
3/20/20,1639,16,0
3/21/20,1763,20,0
3/22/20,1934,21,0
3/23/20,2046,25,0
3/24/20,2286,36,0
3/25/20,2526,62,0
3/26/20,2840,77,0
3/27/20,3069,105,0
3/28/20,3447,105,0
3/29/20,3700,110,0
3/30/20,4028,146,0
3/31/20,4435,180,0
4/1/20,4947,239,0
4/2/20,5568,308,0
4/3/20,6131,358,0
4/4/20,6443,373,0
4/5/20,6830,401,0
4/6/20,7206,477,0
4/7/20,7693,591,0
4/8/20,8419,687,0
4/9/20,9141,793,0
4/10/20,9685,870,0
4/11/20,10151,887,0
4/12/20,10483,899,0
4/13/20,10948,919,0
4/14/20,11445,1033,0
4/15/20,11927,1203,0
4/16/20,12540,1333,0
4/17/20,13216,1400,0
4/18/20,13822,1511,0
4/19/20,14385,1540,0
4/20/20,14777,1580,0
4/21/20,15322,1765,0
4/22/20,16004,1937,0
4/23/20,16755,2021,0
4/24/20,17567,2152,0
4/25/20,18177,2192,0
4/26/20,18640,2194,0
4/27/20,18926,2274,0
4/28/20,19621,2355,0
4/29/20,20302,2462,0
4/30/20,21092,2586,0
5/1/20,21520,2653,0
5/2/20,22082,2669,0
5/3/20,22317,2679,0
5/4/20,22721,2769,0
5/5/20,23216,2854,0
5/6/20,23918,2941,0
5/7/20,24623,3040,0
5/8/20,25265,3175,0
5/9/20,25921,3220,0
5/10/20,26322,3225,0
5/11/20,26670,3256,0
5/12/20,27272,3313,0
5/13/20,27909,3460,0
5/14/20,28582,3529,0
5/15/20,29207,3646,0
5/16/20,29677,3674,0
5/17/20,30143,3679,0
5/18/20,30377,3698,0
5/19/20,30799,3743,0
5/20/20,31523,3831,0
5/21/20,32172,3871,0
5/22/20,32809,3925,0
5/23/20,33188,3992,0
5/24/20,33459,3998,0
5/25/20,33843,4029,0
5/26/20,34440,4125,0
5/27/20,35088,4220,0
5/28/20,35727,4266,0
5/29/20,36476,4350,0
5/30/20,37113,4395,0
5/31/20,37542,4395,0
6/1/20,37814,4403,0
6/2/20,38589,4468,0
6/3/20,40803,4542,0
6/4/20,41883,4562,0
6/5/20,42939,4639,0
6/6/20,43887,4656,0
6/7/20,44730,4659,0
6/8/20,45133,4694,0
6/9/20,45924,4717,0
6/10/20,46814,4795,0
6/11/20,48288,4814,0
6/12/20,49684,4854,0
6/13/20,50931,4874,0
6/14/20,51614,4874,0
6/15/20,52383,4891,0
6/16/20,53323,4939,0
6/17/20,54562,5041,0
