Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,1,0,0
2/26/20,1,0,0
2/27/20,8,0,0
2/28/20,8,0,0
2/29/20,18,0,0
3/1/20,27,0,0
3/2/20,42,0,0
3/3/20,56,0,2
3/4/20,90,0,3
3/5/20,114,1,3
3/6/20,214,1,3
3/7/20,268,1,3
3/8/20,337,2,3
3/9/20,374,2,3
3/10/20,491,3,3
3/11/20,652,4,4
3/12/20,652,4,4
3/13/20,1139,11,4
3/14/20,1359,13,4
3/15/20,2200,14,4
3/16/20,2200,14,4
3/17/20,2700,27,4
3/18/20,3028,28,15
3/19/20,4075,41,15
3/20/20,5294,54,15
3/21/20,6575,75,15
3/22/20,7474,98,131
3/23/20,8795,120,131
3/24/20,9877,122,131
3/25/20,10897,153,131
3/26/20,11811,191,131
3/27/20,12928,231,1530
3/28/20,14076,264,1530
3/29/20,14829,300,1595
3/30/20,15922,359,1823
3/31/20,16605,433,1823
4/1/20,17768,488,2967
4/2/20,18827,536,4013
4/3/20,19606,591,4846
4/4/20,20505,666,6415
4/5/20,21100,715,6415
4/6/20,21657,765,8056
4/7/20,22253,821,8704
4/8/20,23280,895,9800
4/9/20,24051,948,10600
4/10/20,24551,1002,11100
4/11/20,25107,1036,12100
4/12/20,25415,1106,12700
4/13/20,25688,1138,13700
4/14/20,25936,1174,13700
4/15/20,26336,1239,15400
4/16/20,26732,1281,15900
4/17/20,27078,1327,16400
4/18/20,27404,1368,17100
4/19/20,27740,1393,17800
4/20/20,27944,1429,18600
4/21/20,28063,1478,19400
4/22/20,28268,1509,19900
4/23/20,28496,1549,20600
4/24/20,28677,1589,21000
4/25/20,28894,1599,21300
4/26/20,29061,1610,21800
4/27/20,29164,1665,22200
4/28/20,29264,1699,22600
4/29/20,29407,1716,22600
4/30/20,29586,1737,23400
5/1/20,29705,1754,23900
5/2/20,29817,1762,24200
5/3/20,29905,1762,24500
5/4/20,29981,1784,25200
5/5/20,30009,1795,25400
5/6/20,30060,1805,25700
5/7/20,30126,1810,25900
5/8/20,30207,1823,26100
5/9/20,30251,1830,26400
5/10/20,30305,1833,26600
5/11/20,30344,1845,26800
5/12/20,30380,1867,26800
5/13/20,30413,1870,27100
5/14/20,30463,1872,27100
5/15/20,30514,1878,27100
5/16/20,30572,1879,27400
5/17/20,30587,1881,27500
5/18/20,30597,1886,27600
5/19/20,30618,1891,27700
5/20/20,30658,1892,27800
5/21/20,30694,1898,27900
5/22/20,30707,1903,27900
5/23/20,30725,1905,28000
5/24/20,30736,1906,28100
5/25/20,30746,1913,28200
5/26/20,30761,1915,28200
5/27/20,30776,1917,28300
5/28/20,30796,1919,28300
5/29/20,30828,1919,28300
5/30/20,30845,1919,28400
5/31/20,30862,1920,28500
6/1/20,30871,1920,28500
6/2/20,30874,1920,28500
6/3/20,30893,1921,28600
6/4/20,30913,1921,28600
6/5/20,30936,1921,28600
6/6/20,30956,1921,28700
6/7/20,30965,1921,28700
6/8/20,30972,1923,28700
6/9/20,30988,1934,28700
6/10/20,31011,1936,28700
6/11/20,31044,1937,28800
6/12/20,31063,1938,28800
6/13/20,31094,1938,28800
6/14/20,31117,1938,28800
6/15/20,31131,1939,28900
6/16/20,31154,1954,28900
6/17/20,31187,1956,28900
