Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,1,0,0
3/23/20,1,0,0
3/24/20,1,0,0
3/25/20,5,0,0
3/26/20,5,0,0
3/27/20,5,0,0
3/28/20,5,0,0
3/29/20,9,1,0
3/30/20,10,2,0
3/31/20,10,2,0
4/1/20,10,2,0
4/2/20,16,2,0
4/3/20,16,2,0
4/4/20,16,2,2
4/5/20,19,2,2
4/6/20,19,2,2
4/7/20,19,2,3
4/8/20,19,2,4
4/9/20,19,2,4
4/10/20,19,2,4
4/11/20,25,2,5
4/12/20,25,2,5
4/13/20,25,2,5
4/14/20,29,2,5
4/15/20,33,2,5
4/16/20,33,2,5
4/17/20,38,2,5
4/18/20,38,2,5
4/19/20,39,3,5
4/20/20,39,3,5
4/21/20,42,3,6
4/22/20,42,3,6
4/23/20,42,3,6
4/24/20,42,3,6
4/25/20,42,3,11
4/26/20,43,3,14
4/27/20,43,3,19
4/28/20,43,3,21
4/29/20,43,3,21
4/30/20,43,3,21
5/1/20,44,3,27
5/2/20,44,3,27
5/3/20,44,3,27
5/4/20,44,3,27
5/5/20,44,3,27
5/6/20,45,3,27
5/7/20,45,3,27
5/8/20,47,3,29
5/9/20,47,3,29
5/10/20,47,3,29
5/11/20,47,3,29
5/12/20,47,3,29
5/13/20,48,3,29
5/14/20,48,3,29
5/15/20,50,3,36
5/16/20,51,3,36
5/17/20,58,3,36
5/18/20,58,3,36
5/19/20,58,3,36
5/20/20,58,3,36
5/21/20,58,3,36
5/22/20,59,4,37
5/23/20,70,4,37
5/24/20,86,4,41
5/25/20,106,4,41
5/26/20,121,4,41
5/27/20,121,4,43
5/28/20,122,4,43
5/29/20,122,4,43
5/30/20,122,4,43
5/31/20,122,5,46
6/1/20,123,5,46
6/2/20,123,6,50
6/3/20,123,6,53
6/4/20,124,6,53
6/5/20,124,6,53
6/6/20,125,6,58
6/7/20,141,6,58
6/8/20,144,6,62
6/9/20,146,6,62
6/10/20,152,6,68
6/11/20,164,6,68
6/12/20,164,6,68
6/13/20,170,6,71
6/14/20,177,6,74
6/15/20,177,6,78
6/16/20,177,6,78
6/17/20,178,7,78
