Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,3,0,0
1/25/20,3,0,0
1/26/20,4,0,0
1/27/20,5,0,0
1/28/20,8,0,0
1/29/20,8,0,0
1/30/20,9,0,0
1/31/20,10,0,0
2/1/20,10,0,0
2/2/20,10,0,0
2/3/20,10,0,0
2/4/20,11,0,0
2/5/20,11,0,0
2/6/20,16,0,1
2/7/20,16,0,1
2/8/20,17,0,1
2/9/20,18,0,1
2/10/20,18,0,1
2/11/20,18,0,1
2/12/20,18,0,1
2/13/20,18,0,1
2/14/20,18,0,2
2/15/20,18,0,2
2/16/20,20,1,2
2/17/20,22,1,2
2/18/20,22,1,2
2/19/20,23,1,2
2/20/20,24,1,2
2/21/20,26,1,2
2/22/20,26,1,2
2/23/20,28,1,2
2/24/20,30,1,5
2/25/20,31,1,5
2/26/20,32,1,5
2/27/20,32,1,5
2/28/20,34,1,6
2/29/20,39,1,9
3/1/20,40,1,9
3/2/20,41,1,12
3/3/20,42,1,12
3/4/20,42,1,12
3/5/20,44,1,12
3/6/20,45,1,12
3/7/20,45,1,12
3/8/20,45,1,13
3/9/20,45,1,15
3/10/20,47,1,17
3/11/20,48,1,17
3/12/20,49,1,20
3/13/20,50,1,20
3/14/20,53,1,20
3/15/20,59,1,20
3/16/20,67,1,20
3/17/20,77,1,22
3/18/20,100,1,22
3/19/20,108,1,26
3/20/20,135,2,26
3/21/20,153,2,28
3/22/20,169,2,28
3/23/20,195,2,28
3/24/20,215,2,29
3/25/20,235,2,29
3/26/20,252,2,29
3/27/20,267,2,29
3/28/20,283,2,30
3/29/20,298,2,30
3/30/20,306,5,39
3/31/20,322,5,39
4/1/20,329,5,39
4/2/20,339,5,45
4/3/20,348,5,50
4/4/20,355,5,50
4/5/20,363,5,50
4/6/20,373,5,57
4/7/20,376,5,57
4/8/20,379,5,61
4/9/20,380,5,67
4/10/20,382,6,91
4/11/20,385,6,99
4/12/20,388,6,109
4/13/20,393,6,109
4/14/20,393,6,124
4/15/20,395,6,124
4/16/20,395,6,155
4/17/20,395,6,166
4/18/20,398,6,178
4/19/20,420,6,189
4/20/20,422,6,203
4/21/20,425,6,217
4/22/20,426,6,236
4/23/20,427,6,253
4/24/20,428,6,264
4/25/20,429,6,275
4/26/20,429,6,281
4/27/20,429,6,290
4/28/20,429,6,307
4/29/20,429,6,311
4/30/20,429,6,322
5/1/20,429,6,324
5/2/20,432,6,324
5/3/20,436,6,332
5/4/20,438,6,334
5/5/20,438,6,334
5/6/20,439,6,339
5/7/20,440,6,347
5/8/20,440,6,355
5/9/20,440,6,361
5/10/20,440,6,366
5/11/20,440,7,368
5/12/20,440,7,372
5/13/20,440,7,375
5/14/20,440,7,383
5/15/20,440,7,387
5/16/20,440,7,389
5/17/20,440,7,395
5/18/20,440,7,398
5/19/20,440,7,398
5/20/20,440,7,398
5/21/20,440,7,398
5/22/20,441,7,408
5/23/20,441,7,411
5/24/20,441,7,414
5/25/20,441,7,415
5/26/20,441,7,416
5/27/20,441,7,419
5/28/20,441,7,420
5/29/20,442,7,420
5/30/20,442,7,421
5/31/20,442,7,423
6/1/20,443,7,427
6/2/20,443,7,427
6/3/20,443,7,428
6/4/20,443,7,428
6/5/20,443,7,429
6/6/20,443,7,429
6/7/20,443,7,430
6/8/20,443,7,430
6/9/20,443,7,431
6/10/20,443,7,431
6/11/20,443,7,431
6/12/20,443,7,431
6/13/20,443,7,431
6/14/20,443,7,431
6/15/20,445,7,433
6/16/20,445,7,433
6/17/20,445,7,434
