Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,0,0,0
3/28/20,0,0,0
3/29/20,0,0,0
3/30/20,0,0,0
3/31/20,0,0,0
4/1/20,0,0,0
4/2/20,0,0,0
4/3/20,0,0,0
4/4/20,0,0,0
4/5/20,0,0,0
4/6/20,0,0,0
4/7/20,0,0,0
4/8/20,0,0,0
4/9/20,0,0,0
4/10/20,0,0,0
4/11/20,0,0,0
4/12/20,0,0,0
4/13/20,0,0,0
4/14/20,0,0,0
4/15/20,0,0,0
4/16/20,0,0,0
4/17/20,0,0,0
4/18/20,0,0,0
4/19/20,0,0,0
4/20/20,0,0,0
4/21/20,0,0,0
4/22/20,0,0,0
4/23/20,0,0,0
4/24/20,0,0,0
4/25/20,0,0,0
4/26/20,0,0,0
4/27/20,0,0,0
4/28/20,0,0,0
4/29/20,0,0,0
4/30/20,15,0,0
5/1/20,15,0,0
5/2/20,76,2,0
5/3/20,128,2,0
5/4/20,230,3,0
5/5/20,293,5,0
5/6/20,379,8,0
5/7/20,461,12,0
5/8/20,522,12,0
5/9/20,612,20,0
5/10/20,612,20,0
5/11/20,661,21,0
5/12/20,729,21,0
5/13/20,801,23,0
5/14/20,907,29,0
5/15/20,1118,33,0
5/16/20,1322,36,0
5/17/20,1524,39,0
5/18/20,1729,41,0
5/19/20,1936,41,641
5/20/20,2140,41,470
5/21/20,2350,44,470
5/22/20,2551,44,1089
5/23/20,2738,44,1223
5/24/20,2929,46,1301
5/25/20,3100,46,1395
5/26/20,3266,47,1417
5/27/20,3424,47,1575
5/28/20,3563,47,1674
5/29/20,3686,47,1769
5/30/20,3807,47,1865
5/31/20,3930,47,2004
6/1/20,4013,47,2089
6/2/20,4100,47,2217
6/3/20,4191,48,2347
6/4/20,4289,48,2401
6/5/20,4370,48,2491
6/6/20,4453,48,2583
6/7/20,4529,48,2673
6/8/20,4609,48,2763
6/9/20,4690,48,2815
6/10/20,4763,48,2947
6/11/20,4834,49,3062
6/12/20,4902,49,3158
6/13/20,4971,50,3288
6/14/20,5035,50,3409
6/15/20,5097,50,3503
6/16/20,5160,50,3624
6/17/20,5221,51,3700
