Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,3,0,0
3/19/20,6,0,0
3/20/20,6,0,0
3/21/20,6,0,0
3/22/20,12,0,0
3/23/20,12,0,0
3/24/20,12,0,0
3/25/20,12,0,0
3/26/20,13,0,0
3/27/20,13,0,1
3/28/20,14,0,1
3/29/20,14,0,1
3/30/20,19,0,1
3/31/20,19,1,1
4/1/20,20,1,1
4/2/20,20,1,2
4/3/20,20,1,3
4/4/20,20,1,3
4/5/20,22,1,3
4/6/20,24,1,3
4/7/20,24,1,5
4/8/20,25,1,5
4/9/20,25,1,5
4/10/20,32,3,5
4/11/20,32,3,5
4/12/20,32,3,5
4/13/20,49,3,7
4/14/20,53,3,7
4/15/20,88,4,11
4/16/20,94,4,11
4/17/20,147,5,11
4/18/20,147,5,11
4/19/20,170,7,11
4/20/20,254,10,11
4/21/20,254,10,11
4/22/20,284,10,11
4/23/20,284,10,11
4/24/20,299,10,48
4/25/20,299,10,48
4/26/20,299,10,48
4/27/20,299,10,48
4/28/20,299,10,48
4/29/20,480,16,167
4/30/20,480,16,167
5/1/20,480,16,167
5/2/20,480,16,167
5/3/20,480,16,167
5/4/20,480,16,167
5/5/20,480,16,167
5/6/20,480,16,167
5/7/20,480,16,167
5/8/20,509,21,183
5/9/20,509,21,183
5/10/20,509,21,183
5/11/20,509,21,183
5/12/20,509,21,183
5/13/20,509,21,183
5/14/20,509,21,183
5/15/20,509,21,183
5/16/20,509,21,183
5/17/20,509,21,183
5/18/20,509,21,183
5/19/20,509,21,183
5/20/20,509,21,183
5/21/20,509,21,183
5/22/20,509,21,183
5/23/20,509,21,183
5/24/20,509,21,183
5/25/20,509,21,183
5/26/20,509,21,183
5/27/20,509,21,183
5/28/20,509,21,183
5/29/20,509,21,183
5/30/20,509,21,183
5/31/20,509,21,183
6/1/20,509,21,183
6/2/20,509,21,183
6/3/20,509,21,183
6/4/20,509,21,183
6/5/20,509,21,183
6/6/20,509,21,183
6/7/20,509,21,183
6/8/20,509,21,183
6/9/20,509,21,183
6/10/20,509,21,183
6/11/20,509,21,183
6/12/20,509,21,183
6/13/20,509,21,183
6/14/20,509,21,183
6/15/20,509,21,183
6/16/20,509,21,183
6/17/20,509,21,183
