Date,Confirmed,Deaths,Recovered
1/22/20,2,0,0
1/23/20,3,0,0
1/24/20,5,0,0
1/25/20,7,0,0
1/26/20,8,0,2
1/27/20,8,0,2
1/28/20,14,0,5
1/29/20,14,0,5
1/30/20,14,0,5
1/31/20,19,0,5
2/1/20,19,0,5
2/2/20,19,0,5
2/3/20,19,0,5
2/4/20,25,0,5
2/5/20,25,0,5
2/6/20,25,0,5
2/7/20,25,0,5
2/8/20,32,0,10
2/9/20,32,0,10
2/10/20,32,0,10
2/11/20,33,0,10
2/12/20,33,0,10
2/13/20,33,0,12
2/14/20,33,0,12
2/15/20,33,0,12
2/16/20,34,0,14
2/17/20,35,0,15
2/18/20,35,0,15
2/19/20,35,0,15
2/20/20,35,0,15
2/21/20,35,0,17
2/22/20,35,0,17
2/23/20,35,0,21
2/24/20,35,0,21
2/25/20,37,0,22
2/26/20,40,0,22
2/27/20,40,0,22
2/28/20,41,0,28
2/29/20,42,0,28
3/1/20,42,1,28
3/2/20,43,1,31
3/3/20,43,1,31
3/4/20,43,1,31
3/5/20,47,1,31
3/6/20,48,1,31
3/7/20,50,1,31
3/8/20,50,1,31
3/9/20,50,1,31
3/10/20,53,1,33
3/11/20,59,1,34
3/12/20,70,1,34
3/13/20,75,1,35
3/14/20,82,1,35
3/15/20,114,1,35
3/16/20,147,1,35
3/17/20,177,1,41
3/18/20,212,1,42
3/19/20,272,1,42
3/20/20,322,1,42
3/21/20,411,1,42
3/22/20,599,1,44
3/23/20,721,1,44
3/24/20,827,4,52
3/25/20,934,4,70
3/26/20,1045,4,88
3/27/20,1136,5,97
3/28/20,1245,6,97
3/29/20,1388,7,97
3/30/20,1524,9,229
3/31/20,1651,10,342
4/1/20,1771,12,505
4/2/20,1875,15,505
4/3/20,1978,19,612
4/4/20,2067,20,674
4/5/20,2169,23,793
4/6/20,2220,26,793
4/7/20,2258,27,888
4/8/20,2369,30,888
4/9/20,2423,32,940
4/10/20,2473,33,1013
4/11/20,2518,35,1135
4/12/20,2551,38,1218
4/13/20,2579,40,1288
4/14/20,2613,41,1405
4/15/20,2643,43,1497
4/16/20,2672,46,1593
4/17/20,2700,47,1689
4/18/20,2733,47,1787
4/19/20,2765,47,1928
4/20/20,2792,47,1999
4/21/20,2811,48,2108
4/22/20,2826,49,2352
4/23/20,2839,50,2430
4/24/20,2907,51,2547
4/25/20,2907,51,2547
4/26/20,2922,51,2594
4/27/20,2931,52,2609
4/28/20,2938,54,2652
4/29/20,2947,54,2665
4/30/20,2954,54,2684
5/1/20,2960,54,2719
5/2/20,2966,54,2732
5/3/20,2969,54,2739
5/4/20,2987,54,2740
5/5/20,2988,54,2747
5/6/20,2989,55,2761
5/7/20,2992,55,2772
5/8/20,3000,55,2784
5/9/20,3004,56,2787
5/10/20,3009,56,2794
5/11/20,3015,56,2796
5/12/20,3017,56,2798
5/13/20,3017,56,2844
5/14/20,3018,56,2850
5/15/20,3025,56,2854
5/16/20,3025,56,2855
5/17/20,3028,56,2856
5/18/20,3031,56,2857
5/19/20,3033,56,2857
5/20/20,3034,56,2888
5/21/20,3037,56,2897
5/22/20,3037,56,2910
5/23/20,3040,56,2916
5/24/20,3040,56,2921
5/25/20,3042,57,2928
5/26/20,3045,57,2929
5/27/20,3054,57,2931
5/28/20,3065,57,2945
5/29/20,3076,57,2945
5/30/20,3077,57,2961
5/31/20,3081,57,2963
6/1/20,3082,57,2965
6/2/20,3083,58,2966
6/3/20,3084,58,2968
6/4/20,3101,58,2968
6/5/20,3102,58,2971
6/6/20,3104,58,2971
6/7/20,3112,58,2972
6/8/20,3119,58,2973
6/9/20,3121,58,2973
6/10/20,3125,58,2981
6/11/20,3125,58,2987
6/12/20,3129,58,2987
6/13/20,3134,58,2987
6/14/20,3135,58,2987
6/15/20,3135,58,2987
6/16/20,3135,58,2993
6/17/20,3135,58,2996
