Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,0,0
3/17/20,1,0,0
3/18/20,1,0,0
3/19/20,1,0,0
3/20/20,9,0,1
3/21/20,16,0,1
3/22/20,16,0,1
3/23/20,18,0,1
3/24/20,20,0,1
3/25/20,23,0,1
3/26/20,23,0,1
3/27/20,25,1,1
3/28/20,25,1,1
3/29/20,25,1,1
3/30/20,30,1,1
3/31/20,34,1,10
4/1/20,36,2,10
4/2/20,39,2,17
4/3/20,40,3,17
4/4/20,41,3,17
4/5/20,44,3,20
4/6/20,58,3,23
4/7/20,65,3,23
4/8/20,70,3,23
4/9/20,73,3,24
4/10/20,76,3,25
4/11/20,76,3,25
4/12/20,76,3,29
4/13/20,77,3,29
4/14/20,77,3,32
4/15/20,81,3,35
4/16/20,81,5,45
4/17/20,83,5,48
4/18/20,84,5,49
4/19/20,84,5,52
4/20/20,84,6,53
4/21/20,86,6,56
4/22/20,88,6,56
4/23/20,88,6,59
4/24/20,90,6,59
4/25/20,96,6,62
4/26/20,98,6,62
4/27/20,98,6,62
4/28/20,99,6,63
4/29/20,109,7,64
4/30/20,116,9,65
5/1/20,123,9,66
5/2/20,123,9,66
5/3/20,124,9,67
5/4/20,126,9,74
5/5/20,128,9,74
5/6/20,128,9,77
5/7/20,135,9,85
5/8/20,145,10,85
5/9/20,153,10,87
5/10/20,174,11,89
5/11/20,181,11,89
5/12/20,199,11,92
5/13/20,219,11,96
5/14/20,238,11,96
5/15/20,263,11,96
5/16/20,298,11,99
5/17/20,301,11,104
5/18/20,330,12,106
5/19/20,338,12,107
5/20/20,340,12,110
5/21/20,354,12,118
5/22/20,363,12,121
5/23/20,373,12,133
5/24/20,381,12,141
5/25/20,386,13,161
5/26/20,391,13,177
5/27/20,395,13,183
5/28/20,422,13,197
5/29/20,428,13,202
5/30/20,433,13,206
5/31/20,442,13,211
6/1/20,443,13,215
6/2/20,445,13,230
6/3/20,452,13,236
6/4/20,465,13,239
6/5/20,485,13,240
6/6/20,487,13,240
6/7/20,495,13,248
6/8/20,497,13,251
6/9/20,501,13,260
6/10/20,522,13,265
6/11/20,524,13,271
6/12/20,525,13,279
6/13/20,530,13,291
6/14/20,530,13,291
6/15/20,531,13,299
6/16/20,537,13,344
6/17/20,544,13,353
