Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,2,0,0
3/15/20,2,0,0
3/16/20,4,0,0
3/17/20,5,0,0
3/18/20,7,0,0
3/19/20,9,0,0
3/20/20,9,0,0
3/21/20,49,0,1
3/22/20,50,0,1
3/23/20,51,0,1
3/24/20,57,0,0
3/25/20,60,1,0
3/26/20,65,1,0
3/27/20,66,2,1
3/28/20,74,3,1
3/29/20,78,3,1
3/30/20,82,3,1
3/31/20,87,3,1
4/1/20,90,5,1
4/2/20,94,5,1
4/3/20,98,6,1
4/4/20,103,6,1
4/5/20,104,7,1
4/6/20,105,8,1
4/7/20,107,8,1
4/8/20,107,8,1
4/9/20,109,8,1
4/10/20,109,8,1
4/11/20,112,8,12
4/12/20,113,8,16
4/13/20,113,8,16
4/14/20,113,8,17
4/15/20,114,8,19
4/16/20,114,8,20
4/17/20,114,8,20
4/18/20,114,8,21
4/19/20,114,8,21
4/20/20,114,8,22
4/21/20,115,8,28
4/22/20,115,8,37
4/23/20,115,8,48
4/24/20,115,8,48
4/25/20,115,8,53
4/26/20,115,8,54
4/27/20,116,8,59
4/28/20,116,8,59
4/29/20,116,8,71
4/30/20,116,8,72
5/1/20,116,8,83
5/2/20,116,8,88
5/3/20,116,8,93
5/4/20,116,8,99
5/5/20,116,8,103
5/6/20,116,8,103
5/7/20,116,8,103
5/8/20,116,8,103
5/9/20,116,8,104
5/10/20,116,8,107
5/11/20,116,8,107
5/12/20,116,8,107
5/13/20,116,8,107
5/14/20,116,8,107
5/15/20,116,8,107
5/16/20,116,8,107
5/17/20,116,8,107
5/18/20,116,8,107
5/19/20,116,8,107
5/20/20,116,8,107
5/21/20,116,8,108
5/22/20,116,8,108
5/23/20,116,8,108
5/24/20,116,8,108
5/25/20,116,8,108
5/26/20,116,8,108
5/27/20,116,8,108
5/28/20,116,8,108
5/29/20,116,8,108
5/30/20,117,8,108
5/31/20,117,8,108
6/1/20,117,8,108
6/2/20,117,8,108
6/3/20,117,8,108
6/4/20,117,8,108
6/5/20,117,8,108
6/6/20,117,8,108
6/7/20,117,8,108
6/8/20,117,8,109
6/9/20,117,8,109
6/10/20,117,8,109
6/11/20,117,8,109
6/12/20,117,8,109
6/13/20,117,8,109
6/14/20,123,8,109
6/15/20,123,8,109
6/16/20,123,8,109
6/17/20,123,8,109
