Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,2,0,0
3/9/20,2,0,0
3/10/20,5,0,0
3/11/20,7,0,0
3/12/20,7,0,0
3/13/20,16,0,0
3/14/20,18,0,0
3/15/20,18,0,0
3/16/20,20,0,0
3/17/20,24,0,0
3/18/20,29,0,0
3/19/20,39,1,0
3/20/20,54,1,0
3/21/20,60,1,0
3/22/20,75,3,1
3/23/20,89,3,1
3/24/20,114,4,1
3/25/20,173,5,2
3/26/20,197,6,2
3/27/20,227,6,2
3/28/20,278,8,2
3/29/20,312,8,2
3/30/20,312,8,3
3/31/20,394,10,3
4/1/20,423,12,5
4/2/20,455,14,5
4/3/20,495,18,5
4/4/20,553,18,5
4/5/20,574,22,5
4/6/20,596,22,5
4/7/20,623,23,25
4/8/20,628,24,25
4/9/20,643,25,25
4/10/20,671,25,25
4/11/20,685,28,43
4/12/20,707,31,43
4/13/20,726,34,43
4/14/20,747,34,43
4/15/20,780,35,43
4/16/20,822,37,43
4/17/20,864,37,43
4/18/20,864,37,43
4/19/20,879,38,43
4/20/20,884,38,148
4/21/20,884,38,148
4/22/20,909,38,190
4/23/20,918,38,190
4/24/20,922,38,194
4/25/20,939,38,207
4/26/20,949,38,216
4/27/20,967,39,279
4/28/20,975,40,279
4/29/20,980,40,294
4/30/20,994,41,305
5/1/20,998,41,316
5/2/20,1009,42,323
5/3/20,1013,42,328
5/4/20,1018,43,406
5/5/20,1022,43,482
5/6/20,1025,43,591
5/7/20,1026,44,600
5/8/20,1030,45,638
5/9/20,1032,45,660
5/10/20,1032,45,700
5/11/20,1032,45,727
5/12/20,1032,45,740
5/13/20,1032,45,759
5/14/20,1032,45,770
5/15/20,1035,45,802
5/16/20,1037,45,807
5/17/20,1037,45,816
5/18/20,1043,46,819
5/19/20,1044,47,826
5/20/20,1045,47,862
5/21/20,1046,47,883
5/22/20,1048,47,903
5/23/20,1048,48,914
5/24/20,1051,48,917
5/25/20,1051,48,919
5/26/20,1051,48,929
5/27/20,1051,48,929
5/28/20,1068,48,938
5/29/20,1071,48,946
5/30/20,1076,48,950
5/31/20,1077,48,960
6/1/20,1084,48,964
6/2/20,1086,48,965
6/3/20,1087,49,965
6/4/20,1087,49,968
6/5/20,1087,49,969
6/6/20,1087,49,977
6/7/20,1087,49,982
6/8/20,1087,49,982
6/9/20,1087,49,982
6/10/20,1087,49,983
6/11/20,1087,49,989
6/12/20,1093,49,995
6/13/20,1094,49,995
6/14/20,1096,49,998
6/15/20,1110,49,999
6/16/20,1125,49,1002
6/17/20,1128,50,1004
