Date,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,5,0,0
1/30/20,5,0,0
1/31/20,7,0,0
2/1/20,8,0,0
2/2/20,8,0,0
2/3/20,11,0,0
2/4/20,11,0,0
2/5/20,11,0,0
2/6/20,11,0,0
2/7/20,11,0,0
2/8/20,11,0,0
2/9/20,11,0,3
2/10/20,11,0,3
2/11/20,12,0,3
2/12/20,12,0,3
2/13/20,13,0,3
2/14/20,13,0,3
2/15/20,13,0,3
2/16/20,13,0,3
2/17/20,13,0,3
2/18/20,13,0,3
2/19/20,13,0,3
2/20/20,13,0,3
2/21/20,15,0,5
2/22/20,15,0,5
2/23/20,15,0,5
2/24/20,15,0,5
2/25/20,15,0,6
2/26/20,15,0,6
2/27/20,16,0,6
2/28/20,16,0,7
2/29/20,24,1,7
3/1/20,30,1,7
3/2/20,53,6,7
3/3/20,73,7,7
3/4/20,104,11,7
3/5/20,174,12,7
3/6/20,222,14,7
3/7/20,337,17,7
3/8/20,451,21,7
3/9/20,519,22,7
3/10/20,711,28,8
3/11/20,1109,32,8
3/12/20,1561,43,12
3/13/20,2157,52,12
3/14/20,2870,59,12
3/15/20,2968,72,12
3/16/20,4360,100,17
3/17/20,6141,134,17
3/18/20,8914,191,105
3/19/20,14153,269,121
3/20/20,19479,366,147
3/21/20,25818,456,176
3/22/20,33756,600,178
3/23/20,43845,784,178
3/24/20,54108,1019,348
3/25/20,66044,1329,361
3/26/20,84080,1736,681
3/27/20,102254,2284,869
3/28/20,122054,2921,1072
3/29/20,141194,3546,2665
3/30/20,162690,4352,5644
3/31/20,188701,5568,7024
4/1/20,214194,6787,8474
4/2/20,244593,8349,9001
4/3/20,276535,9646,9707
4/4/20,309699,10912,14652
4/5/20,337573,12323,17448
4/6/20,367210,13985,19581
4/7/20,397992,16290,21763
4/8/20,429686,18369,23559
4/9/20,464442,20415,25410
4/10/20,497943,22486,28790
4/11/20,527958,24498,31270
4/12/20,556517,26238,32988
4/13/20,581810,28036,43482
4/14/20,608845,30429,47763
4/15/20,637974,32944,52096
4/16/20,669272,35031,54703
4/17/20,701996,37621,58545
4/18/20,730317,39966,64840
4/19/20,756375,41148,70337
4/20/20,783716,42918,72329
4/21/20,809213,45314,75204
4/22/20,837414,47649,77366
4/23/20,871617,49969,80203
4/24/20,907908,51746,99079
4/25/20,940829,54015,100372
4/26/20,968517,55162,106988
4/27/20,990993,56502,111424
4/28/20,1015518,58632,115936
4/29/20,1042926,61252,120720
4/30/20,1072667,63291,153947
5/1/20,1106829,65243,164015
5/2/20,1136024,66668,175382
5/3/20,1161611,67990,180152
5/4/20,1184086,69237,187180
5/5/20,1208271,71387,189791
5/6/20,1233527,73775,189910
5/7/20,1261409,75986,195036
5/8/20,1288566,77495,198993
5/9/20,1314306,79122,212534
5/10/20,1334084,79856,216169
5/11/20,1352962,81018,232733
5/12/20,1374914,82709,230287
5/13/20,1396109,84452,243430
5/14/20,1423726,86229,246414
5/15/20,1449026,87862,250747
5/16/20,1474127,89084,268376
5/17/20,1493131,89893,272265
5/18/20,1514839,90683,283178
5/19/20,1535337,92252,289392
5/20/20,1558949,93775,294312
5/21/20,1584486,95020,298418
5/22/20,1608623,96296,350135
5/23/20,1630450,97406,361239
5/24/20,1651239,98039,366736
5/25/20,1670209,98541,379157
5/26/20,1689057,99239,384902
5/27/20,1707423,100744,391508
5/28/20,1730259,101937,399991
5/29/20,1754747,103113,406446
5/30/20,1778993,104054,416461
5/31/20,1799122,104659,444758
6/1/20,1816476,105430,458231
6/2/20,1837367,106461,463868
6/3/20,1857248,107444,479258
6/4/20,1878543,108479,485002
6/5/20,1903854,109449,491706
6/6/20,1926538,110124,500849
6/7/20,1944309,110575,506367
6/8/20,1961781,111068,518522
6/9/20,1979868,112014,524855
6/10/20,2000702,112935,533504
6/11/20,2023590,113823,540292
6/12/20,2048986,114669,547386
6/13/20,2074526,115436,556606
6/14/20,2094058,115732,561816
6/15/20,2114026,116127,576334
6/16/20,2137731,116963,583503
6/17/20,2163290,117717,592191
