Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,1,0,0
3/22/20,1,0,0
3/23/20,9,0,0
3/24/20,9,0,0
3/25/20,14,0,0
3/26/20,14,0,0
3/27/20,23,0,0
3/28/20,30,0,0
3/29/20,33,0,0
3/30/20,33,0,0
3/31/20,44,0,0
4/1/20,44,0,0
4/2/20,45,0,0
4/3/20,48,0,0
4/4/20,48,0,0
4/5/20,52,0,0
4/6/20,52,0,0
4/7/20,52,0,0
4/8/20,53,0,0
4/9/20,53,0,0
4/10/20,53,0,0
4/11/20,53,0,4
4/12/20,54,0,4
4/13/20,54,0,7
4/14/20,55,0,8
4/15/20,55,0,12
4/16/20,55,0,20
4/17/20,56,0,20
4/18/20,55,0,22
4/19/20,55,0,28
4/20/20,56,0,38
4/21/20,61,0,38
4/22/20,63,0,45
4/23/20,74,0,46
4/24/20,75,0,46
4/25/20,75,0,46
4/26/20,79,0,46
4/27/20,79,0,47
4/28/20,79,0,52
4/29/20,81,0,52
4/30/20,83,0,52
5/1/20,85,0,52
5/2/20,88,0,52
5/3/20,89,0,52
5/4/20,97,0,55
5/5/20,98,0,55
5/6/20,100,0,55
5/7/20,101,0,55
5/8/20,101,0,55
5/9/20,116,0,55
5/10/20,121,0,55
5/11/20,121,0,55
5/12/20,129,0,55
5/13/20,139,0,55
5/14/20,160,0,63
5/15/20,203,0,63
5/16/20,227,0,63
5/17/20,227,0,63
5/18/20,248,0,63
5/19/20,260,0,63
5/20/20,264,0,65
5/21/20,160,0,66
5/22/20,175,0,68
5/23/20,198,0,68
5/24/20,198,0,68
5/25/20,222,0,69
5/26/20,253,0,69
5/27/20,281,0,69
5/28/20,317,0,69
5/29/20,329,0,72
5/30/20,413,0,72
5/31/20,417,0,72
6/1/20,457,0,72
6/2/20,489,0,82
6/3/20,507,0,82
6/4/20,522,0,82
6/5/20,557,0,82
6/6/20,593,0,82
6/7/20,616,0,96
6/8/20,646,0,103
6/9/20,657,0,118
6/10/20,665,0,119
6/11/20,679,0,161
6/12/20,686,0,161
6/13/20,694,0,219
6/14/20,696,0,240
6/15/20,705,0,299
6/16/20,724,0,351
6/17/20,732,0,420
