Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,1,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,0
3/11/20,1,0,0
3/12/20,1,0,0
3/13/20,3,1,0
3/14/20,3,1,0
3/15/20,3,1,0
3/16/20,7,1,0
3/17/20,14,2,0
3/18/20,14,2,0
3/19/20,16,2,0
3/20/20,29,3,0
3/21/20,47,3,1
3/22/20,73,3,1
3/23/20,73,3,1
3/24/20,97,3,1
3/25/20,145,5,1
3/26/20,196,5,1
3/27/20,310,5,5
3/28/20,356,9,5
3/29/20,475,10,6
3/30/20,548,13,8
3/31/20,645,17,10
4/1/20,794,20,13
4/2/20,897,22,19
4/3/20,1072,27,22
4/4/20,1225,32,25
4/5/20,1308,37,28
4/6/20,1319,38,28
4/7/20,1462,45,28
4/8/20,1668,52,35
4/9/20,1892,57,45
4/10/20,2203,69,61
4/11/20,2511,73,79
4/12/20,2777,83,89
4/13/20,3102,93,97
4/14/20,3372,98,119
4/15/20,3764,108,143
4/16/20,4161,116,186
4/17/20,4662,125,246
4/18/20,5106,133,275
4/19/20,5449,141,347
4/20/20,5710,151,359
4/21/20,6125,161,367
4/22/20,6592,174,424
4/23/20,7170,187,504
4/24/20,7647,201,782
4/25/20,8125,201,782
4/26/20,8617,209,840
4/27/20,9009,220,864
4/28/20,9410,239,992
4/29/20,9866,250,1103
4/30/20,10406,261,1238
5/1/20,10861,272,1413
5/2/20,11411,279,1498
5/3/20,11913,288,1548
5/4/20,12331,303,1619
5/5/20,12697,316,1875
5/6/20,13184,327,2097
5/7/20,13691,340,2396
5/8/20,14195,361,2706
5/9/20,14710,376,2909
5/10/20,15232,391,3060
5/11/20,15648,408,3288
5/12/20,16023,425,3373
5/13/20,16425,439,3716
5/14/20,16847,456,4143
5/15/20,17330,476,4473
5/16/20,17858,497,4906
5/17/20,18291,514,5116
5/18/20,18616,535,5276
5/19/20,18876,548,5632
5/20/20,19230,564,5955
5/21/20,19706,579,6227
5/22/20,20148,588,6585
5/23/20,20580,605,6929
5/24/20,20986,617,7108
5/25/20,21245,623,7234
5/26/20,21584,644,7575
5/27/20,21905,658,7995
5/28/20,22382,669,8439
5/29/20,22811,679,8934
5/30/20,23204,696,9311
5/31/20,23672,708,9538
6/1/20,24562,724,10053
6/2/20,24895,733,10461
6/3/20,25385,742,10838
6/4/20,25981,755,11468
6/5/20,26542,770,11815
6/6/20,27101,785,12265
6/7/20,27599,796,12513
6/8/20,28077,805,12657
6/9/20,28479,818,12892
6/10/20,29015,841,13257
6/11/20,29706,864,13642
6/12/20,30415,880,14075
6/13/20,31177,890,14489
6/14/20,31851,899,14596
6/15/20,32536,911,14771
6/16/20,33209,922,15054
6/17/20,33986,953,15485
