Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,4,0,0
1/30/20,4,0,0
1/31/20,4,0,0
2/1/20,4,0,0
2/2/20,5,0,0
2/3/20,5,0,0
2/4/20,5,0,0
2/5/20,5,0,0
2/6/20,5,0,0
2/7/20,5,0,0
2/8/20,7,0,0
2/9/20,7,0,0
2/10/20,8,0,0
2/11/20,8,0,0
2/12/20,8,0,1
2/13/20,8,0,1
2/14/20,8,0,1
2/15/20,8,0,3
2/16/20,9,0,4
2/17/20,9,0,4
2/18/20,9,0,4
2/19/20,9,0,4
2/20/20,9,0,4
2/21/20,9,0,4
2/22/20,13,0,4
2/23/20,13,0,4
2/24/20,13,0,4
2/25/20,13,0,4
2/26/20,13,0,4
2/27/20,13,0,4
2/28/20,19,0,5
2/29/20,21,0,5
3/1/20,21,0,5
3/2/20,21,0,5
3/3/20,27,0,5
3/4/20,27,0,5
3/5/20,29,0,5
3/6/20,29,0,5
3/7/20,45,0,7
3/8/20,45,0,7
3/9/20,45,0,7
3/10/20,74,0,12
3/11/20,74,0,17
3/12/20,85,0,17
3/13/20,85,0,17
3/14/20,85,0,17
3/15/20,98,0,23
3/16/20,98,0,23
3/17/20,98,0,23
3/18/20,113,0,26
3/19/20,140,0,31
3/20/20,140,2,31
3/21/20,153,2,38
3/22/20,153,2,38
3/23/20,198,2,38
3/24/20,248,2,45
3/25/20,333,2,52
3/26/20,333,2,52
3/27/20,405,2,52
3/28/20,468,2,52
3/29/20,570,3,58
3/30/20,611,5,61
3/31/20,664,6,61
4/1/20,814,8,61
4/2/20,1024,8,96
4/3/20,1264,9,108
4/4/20,1505,10,125
4/5/20,1799,10,144
4/6/20,2076,11,167
4/7/20,2359,12,186
4/8/20,2659,12,239
4/9/20,2990,14,268
4/10/20,3360,16,418
4/11/20,3736,20,588
4/12/20,4123,22,680
4/13/20,4521,25,852
4/14/20,4933,28,933
4/15/20,5365,33,1034
4/16/20,5825,35,1095
4/17/20,6302,37,1188
4/18/20,6302,37,1188
4/19/20,6781,41,1286
4/20/20,7265,43,1360
4/21/20,7755,46,1443
4/22/20,8238,52,1546
4/23/20,8756,56,1637
4/24/20,9281,64,1760
4/25/20,9813,71,1887
4/26/20,10349,76,1978
4/27/20,10839,82,2090
4/28/20,11380,89,2181
4/29/20,11929,98,2329
4/30/20,12481,105,2429
5/1/20,13038,111,2543
5/2/20,13599,119,2664
5/3/20,14163,126,2763
5/4/20,14730,137,2966
5/5/20,15192,146,3153
5/6/20,15738,157,3359
5/7/20,16240,165,3572
5/8/20,16793,174,3837
5/9/20,17417,185,4295
5/10/20,18198,198,4804
5/11/20,18878,201,5381
5/12/20,19661,203,6012
5/13/20,20386,206,6523
5/14/20,21084,208,6930
5/15/20,21831,210,7328
5/16/20,22627,214,7931
5/17/20,23358,220,8512
5/18/20,24190,224,9577
5/19/20,25063,227,10791
5/20/20,26004,233,11809
5/21/20,26898,237,12755
5/22/20,27892,241,13798
5/23/20,28704,244,14495
5/24/20,29485,245,15056
5/25/20,30307,248,15657
5/26/20,31086,253,15982
5/27/20,31969,255,16371
5/28/20,32532,258,16685
5/29/20,33170,260,17097
5/30/20,33896,262,17546
5/31/20,34557,264,17932
6/1/20,35192,266,18338
6/2/20,35788,269,18726
6/3/20,36359,270,19153
6/4/20,37018,273,19572
6/5/20,37642,274,20337
6/6/20,38268,275,21061
6/7/20,38808,276,21806
6/8/20,39376,281,22275
6/9/20,39904,283,22740
6/10/20,40507,284,24017
6/11/20,40986,286,25234
6/12/20,41499,287,25946
6/13/20,41990,288,26761
6/14/20,42294,289,27462
6/15/20,42636,291,28129
6/16/20,42982,293,28861
6/17/20,43364,295,29537
