Date,Confirmed,Deaths,Recovered
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,2,0,0
2/1/20,2,0,0
2/2/20,2,0,0
2/3/20,2,0,0
2/4/20,2,0,0
2/5/20,2,0,0
2/6/20,2,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,8,0,0
2/11/20,8,0,0
2/12/20,9,0,1
2/13/20,9,0,1
2/14/20,9,0,1
2/15/20,9,0,1
2/16/20,9,0,8
2/17/20,9,0,8
2/18/20,9,0,8
2/19/20,9,0,8
2/20/20,9,0,8
2/21/20,9,0,8
2/22/20,9,0,8
2/23/20,9,0,8
2/24/20,13,0,8
2/25/20,13,0,8
2/26/20,13,0,8
2/27/20,15,0,8
2/28/20,20,0,8
2/29/20,23,0,8
3/1/20,36,0,8
3/2/20,40,0,8
3/3/20,51,0,8
3/4/20,86,0,8
3/5/20,116,0,8
3/6/20,164,1,8
3/7/20,207,2,18
3/8/20,274,2,18
3/9/20,322,3,18
3/10/20,384,7,19
3/11/20,459,7,19
3/12/20,459,9,19
3/13/20,802,10,19
3/14/20,1144,28,19
3/15/20,1145,43,19
3/16/20,1551,66,21
3/17/20,1960,82,53
3/18/20,2642,116,67
3/19/20,2716,159,67
3/20/20,4014,195,67
3/21/20,5067,251,67
3/22/20,5745,286,67
3/23/20,6726,360,67
3/24/20,8164,509,140
3/25/20,9640,695,140
3/26/20,11812,879,150
3/27/20,14745,1163,151
3/28/20,17312,1457,151
3/29/20,19780,1672,151
3/30/20,22453,2046,171
3/31/20,25481,2429,179
4/1/20,29865,3100,179
4/2/20,34173,3752,192
4/3/20,38689,4467,208
4/4/20,42477,5228,215
4/5/20,48436,5874,229
4/6/20,52279,6445,287
4/7/20,55949,7483,325
4/8/20,61474,8519,345
4/9/20,65872,9623,359
4/10/20,74605,10776,588
4/11/20,79874,11616,622
4/12/20,85206,12302,626
4/13/20,89570,13047,304
4/14/20,94845,14095,323
4/15/20,99483,14941,368
4/16/20,104145,15974,375
4/17/20,109769,16910,394
4/18/20,115314,18028,414
4/19/20,121172,18527,436
4/20/20,125856,19092,446
4/21/20,130172,20264,638
4/22/20,134638,21111,683
4/23/20,139246,21840,712
4/24/20,144640,22853,724
4/25/20,149569,23697,774
4/26/20,154037,24117,778
4/27/20,158348,24458,807
4/28/20,162350,25369,813
4/29/20,166441,26166,857
4/30/20,172481,26842,859
5/1/20,178685,27583,892
5/2/20,183500,28205,896
5/3/20,187842,28520,901
5/4/20,191832,28809,910
5/5/20,196243,29501,926
5/6/20,202359,30150,934
5/7/20,207977,30689,970
5/8/20,212629,31316,997
5/9/20,216525,31662,1001
5/10/20,220449,31930,1002
5/11/20,224332,32141,1015
5/12/20,227741,32769,1023
5/13/20,230985,33264,1032
5/14/20,234440,33693,1043
5/15/20,238004,34078,1047
5/16/20,241461,34546,1058
5/17/20,244995,34716,1058
5/18/20,247709,34876,1090
5/19/20,250138,35422,1099
5/20/20,249619,35786,1116
5/21/20,252246,36124,1134
5/22/20,255544,36475,1142
5/23/20,258504,36757,1149
5/24/20,260916,36875,1151
5/25/20,262547,36996,1161
5/26/20,266599,37130,1161
5/27/20,268619,37542,1166
5/28/20,270508,37919,1167
5/29/20,272607,38243,1172
5/30/20,274219,38458,1187
5/31/20,276156,38571,1190
6/1/20,277736,39127,1221
6/2/20,279392,39452,1224
6/3/20,281270,39811,1212
6/4/20,283079,39987,1219
6/5/20,284734,40344,1228
6/6/20,286294,40548,1230
6/7/20,287621,40625,1239
6/8/20,288834,40680,1255
6/9/20,290581,40968,1257
6/10/20,291588,41213,1269
6/11/20,292860,41364,1278
6/12/20,294402,41566,1282
6/13/20,295828,41747,1283
6/14/20,297342,41783,1283
6/15/20,298315,41821,1284
6/16/20,299600,42054,1293
6/17/20,300717,42238,1304
