Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,6,0,0
3/23/20,6,0,0
3/24/20,6,0,0
3/25/20,7,0,0
3/26/20,15,0,2
3/27/20,17,0,2
3/28/20,17,0,2
3/29/20,22,0,2
3/30/20,27,0,2
3/31/20,32,0,10
4/1/20,32,0,10
4/2/20,35,0,11
4/3/20,35,0,14
4/4/20,35,0,14
4/5/20,37,0,14
4/6/20,39,2,17
4/7/20,39,2,17
4/8/20,39,3,23
4/9/20,48,4,25
4/10/20,48,4,25
4/11/20,48,4,25
4/12/20,57,4,29
4/13/20,57,5,30
4/14/20,57,5,30
4/15/20,81,5,33
4/16/20,81,5,33
4/17/20,83,5,35
4/18/20,83,5,35
4/19/20,86,5,35
4/20/20,86,5,37
4/21/20,86,5,37
4/22/20,99,5,39
4/23/20,99,5,39
4/24/20,99,5,39
4/25/20,109,5,39
4/26/20,109,5,39
4/27/20,110,6,44
4/28/20,110,6,44
4/29/20,111,6,48
4/30/20,114,6,48
5/1/20,114,6,48
5/2/20,114,7,51
5/3/20,115,7,51
5/4/20,115,7,54
5/5/20,115,7,54
5/6/20,118,7,59
5/7/20,118,7,61
5/8/20,118,7,61
5/9/20,118,7,64
5/10/20,118,7,64
5/11/20,119,8,66
5/12/20,121,8,66
5/13/20,121,8,66
5/14/20,122,9,66
5/15/20,122,9,66
5/16/20,123,9,73
5/17/20,123,9,73
5/18/20,125,9,77
5/19/20,125,9,78
5/20/20,125,9,80
5/21/20,125,9,80
5/22/20,128,9,81
5/23/20,128,9,81
5/24/20,133,9,81
5/25/20,133,9,89
5/26/20,139,9,91
5/27/20,139,9,91
5/28/20,140,9,92
5/29/20,140,9,92
5/30/20,140,9,92
5/31/20,140,9,92
6/1/20,141,9,112
6/2/20,141,9,113
6/3/20,141,9,113
6/4/20,141,9,113
6/5/20,141,9,114
6/6/20,141,9,114
6/7/20,141,9,114
6/8/20,141,9,120
6/9/20,141,9,120
6/10/20,141,9,125
6/11/20,141,9,127
6/12/20,141,9,127
6/13/20,142,9,127
6/14/20,142,9,127
6/15/20,144,9,127
6/16/20,144,9,128
6/17/20,144,9,128
