Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,1,0,0
3/14/20,1,0,0
3/15/20,1,0,0
3/16/20,1,1,0
3/17/20,1,1,0
3/18/20,1,1,0
3/19/20,3,1,0
3/20/20,3,1,0
3/21/20,3,1,0
3/22/20,3,1,0
3/23/20,5,1,0
3/24/20,6,1,0
3/25/20,8,1,0
3/26/20,8,1,0
3/27/20,8,1,0
3/28/20,8,1,0
3/29/20,8,1,0
3/30/20,12,1,0
3/31/20,14,1,0
4/1/20,22,1,0
4/2/20,28,1,0
4/3/20,28,1,0
4/4/20,35,1,1
4/5/20,35,1,1
4/6/20,39,1,1
4/7/20,45,1,6
4/8/20,45,1,6
4/9/20,45,1,6
4/10/20,45,1,6
4/11/20,45,1,6
4/12/20,53,1,6
4/13/20,53,1,6
4/14/20,54,1,6
4/15/20,54,1,6
4/16/20,60,1,6
4/17/20,61,1,7
4/18/20,61,1,7
4/19/20,61,1,7
4/20/20,66,1,7
4/21/20,66,1,7
4/22/20,66,1,7
4/23/20,66,1,7
4/24/20,70,1,8
4/25/20,70,1,8
4/26/20,70,1,8
4/27/20,70,1,8
4/28/20,70,1,10
4/29/20,73,1,10
4/30/20,73,1,10
5/1/20,74,1,10
5/2/20,74,1,10
5/3/20,74,1,10
5/4/20,75,1,14
5/5/20,78,1,30
5/6/20,78,1,30
5/7/20,80,1,35
5/8/20,81,1,41
5/9/20,81,1,41
5/10/20,81,1,41
5/11/20,84,1,47
5/12/20,85,1,50
5/13/20,86,1,54
5/14/20,93,1,54
5/15/20,94,1,55
5/16/20,94,1,55
5/17/20,94,1,55
5/18/20,94,1,55
5/19/20,111,1,55
5/20/20,111,1,55
5/21/20,121,1,55
5/22/20,129,1,61
5/23/20,129,1,61
5/24/20,129,1,61
5/25/20,134,1,61
5/26/20,137,1,63
5/27/20,140,1,67
5/28/20,140,1,67
5/29/20,141,1,68
5/30/20,141,1,68
5/31/20,141,1,68
6/1/20,150,1,75
6/2/20,151,1,77
6/3/20,156,1,78
6/4/20,160,1,85
6/5/20,164,1,93
6/6/20,164,1,93
6/7/20,164,1,93
6/8/20,171,1,102
6/9/20,176,1,104
6/10/20,180,1,107
6/11/20,186,1,112
6/12/20,187,1,115
6/13/20,187,1,115
6/14/20,187,1,115
6/15/20,187,1,115
6/16/20,193,1,123
6/17/20,193,1,132
