Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,1,0,0
3/11/20,2,0,0
3/12/20,2,0,0
3/13/20,2,0,0
3/14/20,2,0,0
3/15/20,3,0,0
3/16/20,6,0,0
3/17/20,6,0,0
3/18/20,6,0,0
3/19/20,11,0,0
3/20/20,14,0,0
3/21/20,32,0,0
3/22/20,32,0,0
3/23/20,36,0,0
3/24/20,36,0,0
3/25/20,46,0,0
3/26/20,66,1,0
3/27/20,88,1,0
3/28/20,97,1,0
3/29/20,108,2,0
3/30/20,141,2,0
3/31/20,141,3,0
4/1/20,172,3,0
4/2/20,193,3,0
4/3/20,232,4,13
4/4/20,262,5,13
4/5/20,309,6,27
4/6/20,323,7,27
4/7/20,335,7,34
4/8/20,351,8,38
4/9/20,361,8,40
4/10/20,398,9,40
4/11/20,407,9,48
4/12/20,431,9,48
4/13/20,436,9,48
4/14/20,440,13,48
4/15/20,447,15,69
4/16/20,457,19,73
4/17/20,470,20,73
4/18/20,484,21,73
4/19/20,488,21,73
4/20/20,488,24,73
4/21/20,496,24,256
4/22/20,498,28,285
4/23/20,521,29,295
4/24/20,523,34,295
4/25/20,525,35,332
4/26/20,525,35,332
4/27/20,525,35,352
4/28/20,530,36,352
4/29/20,537,38,386
4/30/20,537,40,386
5/1/20,538,41,406
5/2/20,543,41,406
5/3/20,544,41,406
5/4/20,544,41,406
5/5/20,545,40,406
5/6/20,545,40,406
5/7/20,545,40,430
5/8/20,545,41,447
5/9/20,545,41,447
5/10/20,545,41,447
5/11/20,546,41,452
5/12/20,547,42,455
5/13/20,548,43,456
5/14/20,549,43,456
5/15/20,549,43,457
5/16/20,554,43,458
5/17/20,554,43,458
5/18/20,555,43,475
5/19/20,555,44,479
5/20/20,558,45,492
5/21/20,558,45,508
5/22/20,558,45,508
5/23/20,558,45,515
5/24/20,558,45,517
5/25/20,559,45,517
5/26/20,559,45,512
5/27/20,560,45,512
5/28/20,560,45,512
5/29/20,560,45,512
5/30/20,560,45,525
5/31/20,560,45,528
6/1/20,560,45,528
6/2/20,560,46,528
6/3/20,561,46,512
6/4/20,561,46,512
6/5/20,561,46,512
6/6/20,563,46,512
6/7/20,563,46,512
6/8/20,564,46,512
6/9/20,565,48,512
6/10/20,565,48,512
6/11/20,565,48,512
6/12/20,565,48,512
6/13/20,565,48,512
6/14/20,565,48,512
6/15/20,568,48,512
6/16/20,568,48,512
6/17/20,570,48,512
