Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,1,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,1,0,0
3/8/20,1,0,0
3/9/20,1,0,0
3/10/20,1,0,1
3/11/20,1,0,1
3/12/20,1,0,1
3/13/20,1,0,1
3/14/20,1,0,1
3/15/20,1,0,1
3/16/20,1,0,1
3/17/20,3,0,1
3/18/20,8,0,2
3/19/20,10,0,2
3/20/20,10,0,2
3/21/20,10,0,2
3/22/20,15,0,2
3/23/20,15,0,2
3/24/20,15,0,5
3/25/20,26,0,5
3/26/20,35,0,13
3/27/20,55,0,14
3/28/20,56,0,14
3/29/20,65,0,14
3/30/20,69,0,34
3/31/20,69,0,34
4/1/20,81,0,34
4/2/20,88,0,46
4/3/20,95,0,46
4/4/20,98,0,52
4/5/20,103,0,52
4/6/20,109,0,52
4/7/20,113,0,60
4/8/20,120,0,60
4/9/20,123,0,60
4/10/20,127,0,69
4/11/20,129,0,84
4/12/20,129,0,84
4/13/20,129,0,84
4/14/20,129,0,93
4/15/20,131,0,104
4/16/20,131,0,104
4/17/20,132,0,105
4/18/20,132,0,111
4/19/20,132,0,120
4/20/20,132,0,120
4/21/20,132,0,120
4/22/20,132,0,127
4/23/20,133,0,129
4/24/20,133,0,131
4/25/20,136,0,131
4/26/20,141,0,131
4/27/20,141,0,131
4/28/20,141,0,131
4/29/20,141,0,131
4/30/20,144,0,131
5/1/20,144,0,131
5/2/20,144,0,132
5/3/20,144,0,132
5/4/20,144,0,133
5/5/20,144,0,133
5/6/20,144,0,136
5/7/20,144,0,141
5/8/20,146,0,142
5/9/20,146,0,142
5/10/20,146,0,143
5/11/20,147,0,143
5/12/20,148,0,144
5/13/20,147,0,144
5/14/20,147,0,144
5/15/20,147,0,144
5/16/20,147,0,145
5/17/20,147,0,145
5/18/20,147,0,145
5/19/20,147,0,145
5/20/20,149,0,145
5/21/20,151,0,146
5/22/20,151,0,147
5/23/20,152,0,147
5/24/20,154,0,147
5/25/20,154,0,147
5/26/20,154,0,147
5/27/20,157,0,147
5/28/20,158,0,147
5/29/20,161,0,148
5/30/20,169,0,149
5/31/20,170,0,149
6/1/20,170,0,151
6/2/20,172,0,151
6/3/20,173,0,153
6/4/20,173,0,153
6/5/20,174,0,153
6/6/20,175,0,155
6/7/20,176,0,164
6/8/20,176,0,165
6/9/20,176,0,165
6/10/20,176,0,169
6/11/20,176,0,171
6/12/20,176,0,172
6/13/20,176,0,173
6/14/20,176,0,173
6/15/20,176,0,174
6/16/20,176,0,174
6/17/20,176,0,176
