Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,1,0,0
3/22/20,5,0,0
3/23/20,13,0,0
3/24/20,23,0,0
3/25/20,23,0,0
3/26/20,25,0,0
3/27/20,29,0,0
3/28/20,32,0,0
3/29/20,42,0,0
3/30/20,49,0,0
3/31/20,60,0,0
4/1/20,68,1,0
4/2/20,95,1,0
4/3/20,114,1,0
4/4/20,126,1,0
4/5/20,127,1,0
4/6/20,139,1,55
4/7/20,150,1,73
4/8/20,158,1,82
4/9/20,190,1,92
4/10/20,201,1,103
4/11/20,226,2,112
4/12/20,228,2,112
4/13/20,242,2,131
4/14/20,254,2,141
4/15/20,256,4,151
4/16/20,284,4,154
4/17/20,291,4,169
4/18/20,297,6,180
4/19/20,298,6,193
4/20/20,300,9,200
4/21/20,307,9,209
4/22/20,307,15,212
4/23/20,307,16,221
4/24/20,308,18,230
4/25/20,308,18,243
4/26/20,308,18,247
4/27/20,308,20,248
4/28/20,309,21,252
4/29/20,313,21,258
4/30/20,315,21,260
5/1/20,316,22,271
5/2/20,320,22,271
5/3/20,321,22,271
5/4/20,325,23,271
5/5/20,326,23,271
5/6/20,327,23,271
5/7/20,329,23,271
5/8/20,329,23,271
5/9/20,329,23,271
5/10/20,330,23,271
5/11/20,330,23,271
5/12/20,331,23,272
5/13/20,332,23,274
5/14/20,332,23,285
5/15/20,334,24,285
5/16/20,335,24,285
5/17/20,335,24,285
5/18/20,335,24,296
5/19/20,335,24,300
5/20/20,336,24,302
5/21/20,336,24,303
5/22/20,336,24,303
5/23/20,336,24,303
5/24/20,336,24,303
5/25/20,336,24,305
5/26/20,336,24,306
5/27/20,336,24,306
5/28/20,336,24,306
5/29/20,336,24,309
5/30/20,336,24,309
5/31/20,336,24,309
6/1/20,336,24,311
6/2/20,336,24,311
6/3/20,336,24,312
6/4/20,336,24,312
6/5/20,336,24,312
6/6/20,336,24,312
6/7/20,336,24,312
6/8/20,336,24,312
6/9/20,336,24,312
6/10/20,336,24,312
6/11/20,336,24,312
6/12/20,336,24,312
6/13/20,336,24,312
6/14/20,336,24,312
6/15/20,336,24,312
6/16/20,336,24,312
6/17/20,336,24,312
