Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,4,0,0
3/14/20,6,0,0
3/15/20,8,0,0
3/16/20,29,0,0
3/17/20,50,0,0
3/18/20,79,0,0
3/19/20,94,0,0
3/20/20,110,0,0
3/21/20,135,0,0
3/22/20,158,0,0
3/23/20,162,0,0
3/24/20,189,0,0
3/25/20,217,0,0
3/26/20,238,0,0
3/27/20,274,0,0
3/28/20,303,1,0
3/29/20,309,1,0
3/30/20,320,1,0
3/31/20,338,1,41
4/1/20,350,2,62
4/2/20,369,4,68
4/3/20,386,4,86
4/4/20,400,5,93
4/5/20,406,6,104
4/6/20,415,6,123
4/7/20,424,7,150
4/8/20,456,7,192
4/9/20,473,7,206
4/10/20,494,7,214
4/11/20,501,7,224
4/12/20,480,7,231
4/13/20,483,8,248
4/14/20,492,8,260
4/15/20,493,9,272
4/16/20,502,9,286
4/17/20,508,9,294
4/18/20,517,9,298
4/19/20,528,10,298
4/20/20,535,10,313
4/21/20,543,12,324
4/22/20,549,12,337
4/23/20,557,12,354
4/24/20,563,12,369
4/25/20,596,14,370
4/26/20,606,15,375
4/27/20,620,15,386
4/28/20,625,15,394
4/29/20,630,15,412
4/30/20,643,17,417
5/1/20,648,17,435
5/2/20,652,17,440
5/3/20,655,17,442
5/4/20,657,17,447
5/5/20,670,17,468
5/6/20,673,17,486
5/7/20,684,17,492
5/8/20,694,18,506
5/9/20,702,18,513
5/10/20,707,19,517
5/11/20,711,19,523
5/12/20,717,19,532
5/13/20,719,19,545
5/14/20,724,19,547
5/15/20,732,19,553
5/16/20,733,19,558
5/17/20,734,20,564
5/18/20,737,20,569
5/19/20,738,20,579
5/20/20,746,20,588
5/21/20,749,20,594
5/22/20,753,20,603
5/23/20,764,22,616
5/24/20,769,22,618
5/25/20,787,22,629
5/26/20,789,22,638
5/27/20,803,22,650
5/28/20,811,22,654
5/29/20,816,22,680
5/30/20,821,22,682
5/31/20,823,22,685
6/1/20,825,23,689
6/2/20,826,23,691
6/3/20,828,23,698
6/4/20,832,23,709
6/5/20,834,23,721
6/6/20,845,23,726
6/7/20,845,23,730
6/8/20,845,23,738
6/9/20,846,23,754
6/10/20,847,23,758
6/11/20,847,23,772
6/12/20,847,23,780
6/13/20,847,23,784
6/14/20,848,23,788
6/15/20,848,23,792
6/16/20,849,24,801
6/17/20,849,24,810
