Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,1,0,0
3/16/20,6,0,0
3/17/20,10,0,0
3/18/20,15,0,0
3/19/20,23,0,0
3/20/20,33,0,0
3/21/20,43,0,0
3/22/20,43,0,0
3/23/20,46,0,0
3/24/20,50,0,0
3/25/20,60,0,0
3/26/20,75,0,0
3/27/20,88,1,5
3/28/20,104,2,5
3/29/20,144,2,7
3/30/20,149,2,7
3/31/20,172,2,7
4/1/20,181,2,12
4/2/20,205,2,25
4/3/20,227,2,25
4/4/20,266,2,25
4/5/20,342,2,30
4/6/20,457,2,30
4/7/20,520,2,30
4/8/20,545,3,30
4/9/20,582,3,38
4/10/20,624,3,42
4/11/20,767,4,42
4/12/20,865,4,66
4/13/20,998,4,85
4/14/20,1165,4,99
4/15/20,1302,4,107
4/16/20,1349,4,129
4/17/20,1405,4,156
4/18/20,1490,5,194
4/19/20,1565,5,225
4/20/20,1627,5,261
4/21/20,1678,6,357
4/22/20,1716,7,450
4/23/20,1758,7,561
4/24/20,1804,8,621
4/25/20,1862,8,707
4/26/20,1869,8,789
4/27/20,1904,8,892
4/28/20,1939,8,992
4/29/20,2002,9,1096
4/30/20,2039,9,1133
5/1/20,2086,9,1212
5/2/20,2118,9,1271
5/3/20,2149,10,1319
5/4/20,2189,10,1405
5/5/20,2207,10,1501
5/6/20,2233,10,1577
5/7/20,2298,10,1656
5/8/20,2325,10,1775
5/9/20,2349,10,1846
5/10/20,2418,10,1881
5/11/20,2486,10,1988
5/12/20,2519,10,2010
5/13/20,2612,11,2076
5/14/20,2645,11,2136
5/15/20,2686,11,2158
5/16/20,2738,11,2213
5/17/20,2753,12,2247
5/18/20,2791,13,2314
5/19/20,2855,13,2338
5/20/20,2939,13,2372
5/21/20,2964,13,2407
5/22/20,3028,13,2492
5/23/20,3115,13,2532
5/24/20,3164,13,2565
5/25/20,3189,13,2607
5/26/20,3290,14,2636
5/27/20,3369,14,2668
5/28/20,3444,14,2694
5/29/20,3468,14,2728
5/30/20,3546,14,2783
5/31/20,3623,15,2837
6/1/20,3702,15,2859
6/2/20,3760,15,2908
6/3/20,3843,16,3014
6/4/20,3939,16,3087
6/5/20,4007,16,3247
6/6/20,4094,17,3268
6/7/20,4331,17,3354
6/8/20,4440,18,3357
6/9/20,4520,18,3459
6/10/20,4623,19,3532
6/11/20,4741,19,3637
6/12/20,4869,19,3758
6/13/20,4966,19,3874
6/14/20,5080,19,3943
6/15/20,5263,19,4019
6/16/20,5493,19,4096
6/17/20,5682,19,4131
