Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,2,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,2,0,0
1/27/20,2,0,0
1/28/20,2,0,0
1/29/20,2,0,0
1/30/20,2,0,0
1/31/20,2,0,0
2/1/20,6,0,1
2/2/20,6,0,1
2/3/20,8,0,1
2/4/20,8,0,1
2/5/20,8,0,1
2/6/20,10,0,1
2/7/20,10,0,1
2/8/20,13,0,1
2/9/20,13,0,1
2/10/20,14,0,1
2/11/20,15,0,6
2/12/20,15,0,6
2/13/20,16,0,7
2/14/20,16,0,7
2/15/20,16,0,7
2/16/20,16,0,7
2/17/20,16,0,7
2/18/20,16,0,7
2/19/20,16,0,7
2/20/20,16,0,7
2/21/20,16,0,14
2/22/20,16,0,14
2/23/20,16,0,14
2/24/20,16,0,14
2/25/20,16,0,16
2/26/20,16,0,16
2/27/20,16,0,16
2/28/20,16,0,16
2/29/20,16,0,16
3/1/20,16,0,16
3/2/20,16,0,16
3/3/20,16,0,16
3/4/20,16,0,16
3/5/20,16,0,16
3/6/20,16,0,16
3/7/20,18,0,16
3/8/20,30,0,16
3/9/20,30,0,16
3/10/20,31,0,16
3/11/20,38,0,16
3/12/20,39,0,16
3/13/20,47,0,16
3/14/20,53,0,16
3/15/20,56,0,16
3/16/20,61,0,16
3/17/20,66,0,16
3/18/20,75,0,16
3/19/20,85,0,16
3/20/20,91,0,16
3/21/20,94,0,17
3/22/20,113,0,17
3/23/20,123,0,17
3/24/20,134,0,17
3/25/20,141,0,17
3/26/20,153,0,20
3/27/20,163,0,20
3/28/20,174,0,21
3/29/20,188,0,25
3/30/20,203,0,55
3/31/20,212,0,58
4/1/20,218,0,63
4/2/20,233,0,75
4/3/20,237,0,85
4/4/20,240,0,90
4/5/20,241,0,90
4/6/20,245,0,95
4/7/20,249,0,123
4/8/20,251,0,126
4/9/20,255,0,128
4/10/20,257,0,144
4/11/20,258,0,144
4/12/20,262,0,144
4/13/20,265,0,146
4/14/20,266,0,169
4/15/20,267,0,171
4/16/20,268,0,177
4/17/20,268,0,198
4/18/20,268,0,201
4/19/20,268,0,202
4/20/20,268,0,214
4/21/20,268,0,216
4/22/20,268,0,223
4/23/20,268,0,224
4/24/20,270,0,220
4/25/20,270,0,225
4/26/20,270,0,225
4/27/20,270,0,225
4/28/20,270,0,222
4/29/20,270,0,222
4/30/20,270,0,219
5/1/20,270,0,219
5/2/20,270,0,219
5/3/20,271,0,219
5/4/20,271,0,219
5/5/20,271,0,232
5/6/20,271,0,232
5/7/20,288,0,233
5/8/20,288,0,241
5/9/20,288,0,241
5/10/20,288,0,241
5/11/20,288,0,249
5/12/20,288,0,252
5/13/20,288,0,252
5/14/20,312,0,260
5/15/20,314,0,260
5/16/20,318,0,260
5/17/20,320,0,260
5/18/20,324,0,263
5/19/20,324,0,263
5/20/20,324,0,263
5/21/20,324,0,266
5/22/20,324,0,267
5/23/20,325,0,267
5/24/20,325,0,267
5/25/20,326,0,272
5/26/20,327,0,272
5/27/20,327,0,278
5/28/20,327,0,278
5/29/20,328,0,279
5/30/20,328,0,279
5/31/20,328,0,279
6/1/20,328,0,293
6/2/20,328,0,298
6/3/20,328,0,302
6/4/20,328,0,302
6/5/20,328,0,307
6/6/20,329,0,307
6/7/20,331,0,307
6/8/20,332,0,316
6/9/20,332,0,316
6/10/20,332,0,320
6/11/20,332,0,321
6/12/20,333,0,323
6/13/20,334,0,323
6/14/20,334,0,323
6/15/20,334,0,323
6/16/20,334,0,325
6/17/20,335,0,325
