Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,4,0,0
3/6/20,7,0,0
3/7/20,16,0,0
3/8/20,16,0,0
3/9/20,19,0,0
3/10/20,26,0,0
3/11/20,30,0,0
3/12/20,30,0,0
3/13/20,31,0,0
3/14/20,35,0,0
3/15/20,38,0,0
3/16/20,38,0,0
3/17/20,39,0,0
3/18/20,41,0,0
3/19/20,44,0,0
3/20/20,47,0,17
3/21/20,48,0,17
3/22/20,52,0,17
3/23/20,59,0,17
3/24/20,59,0,17
3/25/20,59,0,17
3/26/20,84,1,17
3/27/20,91,1,17
3/28/20,98,1,18
3/29/20,109,1,18
3/30/20,116,1,18
3/31/20,119,1,18
4/1/20,134,1,18
4/2/20,161,1,18
4/3/20,194,1,21
4/4/20,217,1,21
4/5/20,237,1,25
4/6/20,254,1,24
4/7/20,261,1,42
4/8/20,263,1,44
4/9/20,263,1,44
4/10/20,267,2,45
4/11/20,268,2,57
4/12/20,271,2,58
4/13/20,273,2,58
4/14/20,284,2,62
4/15/20,291,2,63
4/16/20,294,2,63
4/17/20,307,2,69
4/18/20,313,2,69
4/19/20,319,2,71
4/20/20,329,2,71
4/21/20,329,2,71
4/22/20,335,2,71
4/23/20,336,2,74
4/24/20,340,2,81
4/25/20,342,2,83
4/26/20,342,2,83
4/27/20,342,2,83
4/28/20,343,2,71
4/29/20,344,2,71
4/30/20,344,2,76
5/1/20,353,2,76
5/2/20,353,2,76
5/3/20,353,2,77
5/4/20,362,2,102
5/5/20,371,2,127
5/6/20,374,2,174
5/7/20,375,2,176
5/8/20,375,2,228
5/9/20,375,2,228
5/10/20,375,2,263
5/11/20,375,2,301
5/12/20,375,2,308
5/13/20,375,2,310
5/14/20,375,2,310
5/15/20,375,2,315
5/16/20,376,2,329
5/17/20,381,2,335
5/18/20,388,2,337
5/19/20,391,2,346
5/20/20,398,2,346
5/21/20,423,2,346
5/22/20,423,2,346
5/23/20,423,3,348
5/24/20,423,3,357
5/25/20,423,3,357
5/26/20,429,3,365
5/27/20,434,3,365
5/28/20,446,3,368
5/29/20,446,3,368
5/30/20,447,3,368
5/31/20,448,3,372
6/1/20,449,3,372
6/2/20,451,3,372
6/3/20,457,3,372
6/4/20,464,3,377
6/5/20,464,3,377
6/6/20,464,3,400
6/7/20,472,3,403
6/8/20,473,3,404
6/9/20,481,3,404
6/10/20,485,3,410
6/11/20,487,3,410
6/12/20,489,3,414
6/13/20,489,3,415
6/14/20,492,3,415
6/15/20,505,3,415
6/16/20,514,3,415
6/17/20,555,3,415
